NED-Eredivisie
2223
Vitesse
Alois Oroz
CRO
DF
21
2000
16
11
1018
11.3
1
0
1
1
0
0
3
0
1.0
1.0
0.0
1.0
2
19
1
0.09
0.0
0.09
0.09
0.09
0.09
0.0
0.09
0.09
0.09
