General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alex Oxlade-Chamberlain,ENG,"FW,MF",28,1993,3.7,5,4,1,2,2,1,5,20.0,4,5,2,3,1,6,4,0
Alisson,BRA,GK,29,1992,37.0,0,0,0,0,0,0,3,0.0,3,3,0,3,0,0,20,0
Andrew Robertson,SCO,DF,28,1994,28.7,38,21,12,16,10,21,41,51.2,20,32,5,27,18,56,50,3
Ben Doak,SCO,FW,16,2005,0.3,3,2,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0
Bobby Clark,ENG,MF,17,2005,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Caoimhín Kelleher,IRL,GK,23,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cody Gakpo,NED,"FW,MF",23,1999,16.2,26,15,4,13,9,13,38,34.2,25,13,1,12,4,30,2,0
Curtis Jones,ENG,MF,21,2001,11.5,34,17,8,12,14,18,31,58.1,13,12,2,10,3,37,9,0
Darwin Núñez,URU,FW,23,1999,18.8,11,5,2,4,5,4,17,23.5,13,10,0,10,3,14,13,0
Diogo Jota,POR,FW,25,1996,12.6,23,15,8,8,7,12,37,32.4,25,5,0,5,3,26,11,0
Fabinho,BRA,MF,28,1993,29.7,65,38,18,40,7,24,62,38.7,38,38,11,27,37,102,40,0
Fabio Carvalho,POR,"MF,FW",19,2002,3.9,8,8,3,3,2,3,6,50.0,3,6,0,6,6,14,0,0
Harvey Elliott,ENG,"MF,FW",19,2003,17.9,27,18,6,12,9,9,37,24.3,28,26,1,25,15,42,8,0
Ibrahima Konaté,FRA,DF,23,1999,17.2,38,26,25,13,0,16,27,59.3,11,12,5,7,26,64,61,4
James Milner,ENG,"MF,DF",36,1986,10.1,26,16,11,11,4,15,34,44.1,19,14,2,12,12,38,15,0
Joe Gomez,ENG,DF,25,1997,16.3,28,21,15,11,2,11,19,57.9,8,17,11,6,24,52,51,2
Jordan Henderson,ENG,MF,32,1990,23.0,32,23,10,18,4,15,36,41.7,21,21,3,18,21,53,16,1
Joël Matip,CMR,DF,30,1991,12.1,14,8,12,2,0,11,23,47.8,12,8,3,5,21,35,45,3
Kostas Tsimikas,GRE,DF,26,1996,8.6,14,9,10,2,2,10,16,62.5,6,8,1,7,12,26,15,0
Luis Díaz,COL,FW,25,1997,11.1,17,11,4,8,5,8,15,53.3,7,8,0,8,6,23,2,0
Mohamed Salah,EGY,FW,30,1992,36.6,21,12,4,5,12,10,26,38.5,16,21,0,21,6,27,4,0
Naby Keïta,GUI,MF,27,1995,3.3,5,4,2,3,0,1,4,25.0,3,1,0,1,2,7,3,0
Nathaniel Phillips,ENG,DF,25,1997,0.7,2,1,0,2,0,2,2,100.0,0,0,0,0,2,4,1,0
Roberto Firmino,BRA,"FW,MF",30,1991,13.5,17,12,2,12,3,4,22,18.2,18,16,1,15,7,24,2,0
Stefan Bajcetic,ESP,MF,17,2004,5.8,9,6,5,3,1,8,27,29.6,19,7,0,7,9,18,4,0
Thiago Alcántara,ESP,MF,31,1991,13.9,43,24,20,21,2,14,23,60.9,9,15,3,12,21,64,13,2
Trent Alexander-Arnold,ENG,DF,23,1998,32.5,57,40,32,16,9,42,80,52.5,38,25,7,18,43,100,41,2
Virgil van Dijk,NED,DF,31,1991,31.5,27,14,13,11,3,8,19,42.1,11,24,16,8,31,58,138,3
