General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Aarón Martín,ESP,DF,25,1997,20.5,42,27,25,11,6,21,40,52.5,19,22,1,21,15,57,31,0
Alexander Hack,GER,DF,28,1993,12.6,30,18,21,9,0,19,33,57.6,14,18,5,13,24,54,45,1
Andreas Hanche-Olsen,NOR,DF,25,1997,16.6,35,23,24,7,4,22,39,56.4,17,16,8,8,33,68,77,2
Angelo Fulgini,FRA,MF,25,1996,5.8,6,5,2,3,1,5,12,41.7,7,5,0,5,5,11,7,0
Anthony Caci,FRA,DF,25,1997,22.6,58,33,32,20,6,28,42,66.7,14,28,4,24,54,112,40,0
Anton Stach,GER,MF,23,1998,23.0,27,21,10,15,2,16,38,42.1,22,28,2,26,41,68,25,0
Aymen Barkok,MAR,MF,24,1998,6.5,18,8,10,5,3,5,10,50.0,5,7,0,7,3,21,9,0
Brajan Gruda,GER,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Danny da Costa,GER,DF,29,1993,13.7,20,16,7,8,5,12,20,60.0,8,22,3,19,9,29,26,0
Delano Burgzorg,NED,"FW,MF",23,1998,2.7,3,3,1,1,1,2,3,66.7,1,2,0,2,0,3,2,0
Dominik Kohr,GER,MF,28,1994,25.5,59,33,23,31,5,29,61,47.5,32,46,9,37,34,93,26,1
Edimilson Fernandes,SUI,DF,26,1996,27.1,35,25,26,5,4,18,34,52.9,16,37,16,21,54,89,87,2
Eniss Shabani,ALB,MF,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Finn Dahmen,GER,GK,24,1998,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Jonathan Burkardt,GER,"MF,FW",22,2000,5.9,3,1,0,1,2,1,4,25.0,3,6,1,5,1,4,1,0
Karim Onisiwo,AUT,"FW,MF",30,1992,28.2,19,12,3,10,6,4,21,19.0,17,19,0,19,2,21,7,0
Leandro Barreiro Martins,LUX,MF,22,2000,23.8,60,38,19,28,13,22,49,44.9,27,38,13,25,41,101,39,1
Lee Jae-sung,KOR,MF,29,1992,21.0,38,17,9,21,8,16,36,44.4,20,29,5,24,17,55,21,0
Ludovic Ajorque,FRA,"FW,MF",28,1994,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0
Marcus Ingvartsen,DEN,"FW,MF",26,1996,14.6,4,1,0,2,2,1,10,10.0,9,9,1,8,4,8,10,0
Marlon Mustapha,AUT,"FW,MF",21,2001,0.8,2,2,0,2,0,0,0,,0,4,0,4,0,2,0,0
Maxim Leitsch,GER,DF,24,1998,7.4,9,7,6,3,0,4,5,80.0,1,7,4,3,18,27,26,1
Nelson Weiper,GER,"FW,DF",17,2005,1.1,2,0,0,0,2,1,3,33.3,2,2,0,2,0,2,1,0
Niklas Tauer,GER,"DF,MF",21,2001,1.0,2,1,2,0,0,1,3,33.3,2,2,1,1,2,4,4,0
Robin Zentner,GER,GK,27,1994,26.0,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,17,1
Silvan Widmer,SUI,DF,29,1993,18.8,26,17,15,10,1,20,39,51.3,19,22,8,14,31,57,28,0
Stefan Bell,GER,DF,30,1991,26.6,43,28,32,10,1,22,44,50.0,22,42,15,27,44,87,133,0
