General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aarón Martín,ESP,DF,25,1997,20.5,1028,730,293,39,0,4,145,195,59,42,16,0,761,5,29
Alexander Hack,GER,DF,28,1993,12.6,586,550,33,30,0,7,2,3,0,0,0,0,430,3,12
Andreas Hanche-Olsen,NOR,DF,25,1997,16.6,754,737,14,12,1,5,6,2,0,0,0,0,536,3,10
Angelo Fulgini,FRA,MF,25,1996,5.8,238,230,7,0,1,1,7,5,1,0,0,0,188,1,3
Anthony Caci,FRA,DF,25,1997,22.6,1140,939,197,27,0,24,71,153,17,9,6,0,815,4,24
Anton Stach,GER,MF,23,1998,23.0,897,832,60,29,6,5,62,5,26,20,3,0,619,5,23
Aymen Barkok,MAR,MF,24,1998,6.5,264,249,12,2,2,1,12,7,3,1,1,0,181,3,10
Brajan Gruda,GER,MF,18,2004,0.0,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0
Danny da Costa,GER,DF,29,1993,13.7,607,460,144,0,0,3,52,143,1,0,1,0,372,3,20
Delano Burgzorg,NED,"FW,MF",23,1998,2.7,55,50,3,1,0,0,1,1,1,0,0,0,40,2,4
Dominik Kohr,GER,MF,28,1994,25.5,1183,1139,39,34,4,8,5,5,0,0,0,0,865,5,24
Edimilson Fernandes,SUI,DF,26,1996,27.1,1190,1051,133,44,0,16,80,42,47,24,22,0,832,6,26
Eniss Shabani,ALB,MF,19,2003,0.1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Finn Dahmen,GER,GK,24,1998,8.0,280,203,77,23,0,0,0,0,0,0,0,0,185,0,0
Jonathan Burkardt,GER,"MF,FW",22,2000,5.9,109,106,1,0,2,2,11,0,0,0,0,0,71,2,5
Karim Onisiwo,AUT,"FW,MF",30,1992,28.2,608,538,67,0,2,1,57,7,0,0,0,0,343,3,44
Leandro Barreiro Martins,LUX,MF,22,2000,23.8,557,547,7,7,2,0,6,0,0,0,0,0,379,3,21
Lee Jae-sung,KOR,MF,29,1992,21.0,785,766,12,4,2,5,32,5,0,0,0,0,564,7,30
Ludovic Ajorque,FRA,"FW,MF",28,1994,13.5,415,398,14,1,1,5,4,2,0,0,0,0,243,3,11
Marcus Ingvartsen,DEN,"FW,MF",26,1996,14.6,350,336,12,1,1,0,6,1,0,0,0,0,231,2,15
Marlon Mustapha,AUT,"FW,MF",21,2001,0.8,23,21,2,0,0,0,0,1,0,0,0,0,13,0,1
Maxim Leitsch,GER,DF,24,1998,7.4,328,319,9,6,0,2,0,1,0,0,0,0,249,0,2
Nelson Weiper,GER,"FW,DF",17,2005,1.1,40,38,2,0,0,0,2,0,0,0,0,0,27,0,3
Niklas Tauer,GER,"DF,MF",21,2001,1.0,56,55,1,0,0,0,1,1,0,0,0,0,50,0,1
Robin Zentner,GER,GK,27,1994,26.0,868,611,255,61,0,1,0,0,0,0,0,0,532,2,0
Silvan Widmer,SUI,DF,29,1993,18.8,873,642,226,12,0,2,32,214,0,0,0,0,597,5,25
Stefan Bell,GER,DF,30,1991,26.6,1248,1207,34,32,1,5,15,2,0,0,0,0,945,7,13
