General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aarón Martín,ESP,DF,25,1997,20.5,761,1028,74.0,12672,5222,385,424,90.8,283,356,79.5,73,187,39.0,3,2.8,3.4,0.2,27,68,29,16,86
Alexander Hack,GER,DF,28,1993,12.6,430,586,73.4,9125,4776,144,171,84.2,191,236,80.9,87,149,58.4,0,0.1,0.8,-0.1,4,35,4,1,52
Andreas Hanche-Olsen,NOR,DF,25,1997,16.6,536,754,71.1,10059,4036,218,260,83.8,251,319,78.7,62,149,41.6,3,1.2,0.5,1.8,5,45,4,0,43
Angelo Fulgini,FRA,MF,25,1996,5.8,188,238,79.0,2496,683,123,139,88.5,48,69,69.6,6,15,40.0,1,0.8,0.4,0.2,8,13,10,1,29
Anthony Caci,FRA,DF,25,1997,22.6,815,1140,71.5,16732,7645,304,360,84.4,341,461,74.0,150,262,57.3,1,2.6,2.3,-1.6,21,85,29,15,90
Anton Stach,GER,MF,23,1998,23.0,619,897,69.0,9824,3597,321,423,75.9,218,298,73.2,50,105,47.6,4,3.6,4.0,0.4,31,70,25,6,106
Aymen Barkok,MAR,MF,24,1998,6.5,181,264,68.6,2801,919,92,119,77.3,64,91,70.3,14,20,70.0,1,0.9,1.2,0.1,8,18,7,1,40
Brajan Gruda,GER,MF,18,2004,0.0,2,4,50.0,49,17,1,3,33.3,0,0,,1,1,100.0,0,0.1,0.0,-0.1,1,0,1,1,0
Danny da Costa,GER,DF,29,1993,13.7,372,607,61.3,6633,3228,140,181,77.3,191,298,64.1,27,85,31.8,2,1.0,1.3,1.0,11,37,21,8,62
Delano Burgzorg,NED,"FW,MF",23,1998,2.7,40,55,72.7,473,76,28,34,82.4,7,7,100.0,1,2,50.0,1,0.1,0.2,0.9,1,1,2,0,4
Dominik Kohr,GER,MF,28,1994,25.5,865,1183,73.1,14381,4919,413,494,83.6,361,467,77.3,64,141,45.4,0,1.0,1.5,-1.0,16,111,16,0,144
Edimilson Fernandes,SUI,DF,26,1996,27.1,832,1190,69.9,17686,6806,286,323,88.5,372,456,81.6,157,352,44.6,3,1.3,2.0,1.7,15,67,14,5,67
Eniss Shabani,ALB,MF,19,2003,0.1,5,6,83.3,72,22,3,3,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
Finn Dahmen,GER,GK,24,1998,8.0,185,280,66.1,5576,4122,32,32,100.0,87,87,100.0,65,160,40.6,0,0.0,0.0,0.0,0,10,0,0,0
Jonathan Burkardt,GER,"MF,FW",22,2000,5.9,71,109,65.1,1119,317,37,46,80.4,23,32,71.9,8,14,57.1,2,1.1,1.6,0.9,7,3,9,2,14
Karim Onisiwo,AUT,"FW,MF",30,1992,28.2,343,608,56.4,4970,1063,189,300,63.0,111,179,62.0,16,32,50.0,2,3.4,4.2,-1.4,33,23,22,7,48
Leandro Barreiro Martins,LUX,MF,22,2000,23.8,379,557,68.0,5320,1806,226,285,79.3,118,170,69.4,16,44,36.4,3,2.2,1.3,0.8,16,48,5,1,54
Lee Jae-sung,KOR,MF,29,1992,21.0,564,785,71.8,8491,2102,298,371,80.3,198,255,77.6,37,78,47.4,5,2.8,3.6,2.2,27,44,26,7,69
Ludovic Ajorque,FRA,"FW,MF",28,1994,13.5,243,415,58.6,3550,613,153,231,66.2,55,104,52.9,22,28,78.6,1,1.7,1.6,-0.7,13,17,8,0,31
Marcus Ingvartsen,DEN,"FW,MF",26,1996,14.6,231,350,66.0,3193,735,133,186,71.5,80,112,71.4,6,11,54.5,0,0.7,0.7,-0.7,6,17,6,1,30
Marlon Mustapha,AUT,"FW,MF",21,2001,0.8,13,23,56.5,182,76,7,12,58.3,5,9,55.6,0,0,,0,0.3,0.0,-0.3,1,1,1,0,2
Maxim Leitsch,GER,DF,24,1998,7.4,249,328,75.9,4691,1687,105,127,82.7,114,142,80.3,27,50,54.0,0,0.0,0.1,0.0,1,16,1,0,25
Nelson Weiper,GER,"FW,DF",17,2005,1.1,27,40,67.5,339,47,17,21,81.0,8,13,61.5,0,0,,0,0.1,0.1,-0.1,2,0,1,1,1
Niklas Tauer,GER,"DF,MF",21,2001,1.0,50,56,89.3,757,260,30,33,90.9,19,20,95.0,1,2,50.0,0,0.0,0.1,0.0,0,5,2,1,6
Robin Zentner,GER,GK,27,1994,26.0,532,868,61.3,17507,13349,63,63,100.0,237,244,97.1,232,559,41.5,0,0.1,0.2,-0.1,1,26,1,0,6
Silvan Widmer,SUI,DF,29,1993,18.8,597,873,68.4,9838,4441,314,374,84.0,222,323,68.7,47,122,38.5,2,2.0,1.6,0.0,15,43,17,5,54
Stefan Bell,GER,DF,30,1991,26.6,945,1248,75.7,18036,8543,356,419,85.0,453,519,87.3,124,260,47.7,1,0.6,0.8,0.4,8,67,9,1,92
