General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Aarón Martín,ESP,DF,25,1997,20.5,5,18,7,38.9,0.88,0.34,0.28,0.71,25.9,8,0,1,2.2,1.4,0.08,2.8,3.6
Alexander Hack,GER,DF,28,1993,12.6,0,3,0,0.0,0.24,0.0,0.0,,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Andreas Hanche-Olsen,NOR,DF,25,1997,16.6,1,7,2,28.6,0.42,0.12,0.14,0.5,13.5,0,0,0,0.4,0.4,0.06,0.6,0.6
Angelo Fulgini,FRA,MF,25,1996,5.8,0,8,4,50.0,1.37,0.69,0.0,0.0,18.6,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Anthony Caci,FRA,DF,25,1997,22.6,2,10,4,40.0,0.44,0.18,0.2,0.5,16.1,0,0,0,0.6,0.6,0.06,1.4,1.4
Anton Stach,GER,MF,23,1998,23.0,1,36,10,27.8,1.57,0.43,0.03,0.1,22.6,4,0,0,2.2,2.2,0.06,-1.2,-1.2
Aymen Barkok,MAR,MF,24,1998,6.5,0,11,2,18.2,1.7,0.31,0.0,0.0,23.3,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Brajan Gruda,GER,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Danny da Costa,GER,DF,29,1993,13.7,0,7,1,14.3,0.51,0.07,0.0,0.0,14.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Delano Burgzorg,NED,"FW,MF",23,1998,2.7,0,4,2,50.0,1.48,0.74,0.0,0.0,25.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Dominik Kohr,GER,MF,28,1994,25.5,3,39,8,20.5,1.53,0.31,0.08,0.38,20.5,0,0,0,2.3,2.3,0.06,0.7,0.7
Edimilson Fernandes,SUI,DF,26,1996,27.1,0,15,3,20.0,0.55,0.11,0.0,0.0,25.0,4,0,0,0.7,0.7,0.04,-0.7,-0.7
Eniss Shabani,ALB,MF,19,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Finn Dahmen,GER,GK,24,1998,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Jonathan Burkardt,GER,"MF,FW",22,2000,5.9,1,20,6,30.0,3.38,1.01,0.05,0.17,12.6,0,0,1,3.0,2.2,0.11,-2.0,-1.2
Karim Onisiwo,AUT,"FW,MF",30,1992,28.2,10,68,32,47.1,2.41,1.13,0.15,0.31,15.6,0,0,0,8.2,8.2,0.12,1.8,1.8
Leandro Barreiro Martins,LUX,MF,22,2000,23.8,4,32,14,43.8,1.35,0.59,0.13,0.29,16.0,0,0,0,3.9,3.9,0.12,0.1,0.1
Lee Jae-sung,KOR,MF,29,1992,21.0,7,35,17,48.6,1.66,0.81,0.2,0.41,14.7,0,0,0,4.3,4.3,0.12,2.7,2.7
Ludovic Ajorque,FRA,"FW,MF",28,1994,13.5,6,32,14,43.8,2.38,1.04,0.19,0.43,14.8,0,0,0,4.6,4.6,0.14,1.4,1.4
Marcus Ingvartsen,DEN,"FW,MF",26,1996,14.6,10,32,13,40.6,2.19,0.89,0.19,0.46,15.5,1,4,4,8.4,5.2,0.16,1.6,0.8
Marlon Mustapha,AUT,"FW,MF",21,2001,0.8,0,3,0,0.0,3.91,0.0,0.0,,16.3,0,0,0,0.5,0.5,0.18,-0.5,-0.5
Maxim Leitsch,GER,DF,24,1998,7.4,0,2,1,50.0,0.27,0.14,0.0,0.0,19.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Nelson Weiper,GER,"FW,DF",17,2005,1.1,2,5,4,80.0,4.55,3.64,0.4,0.5,7.3,0,0,0,1.7,1.7,0.33,0.3,0.3
Niklas Tauer,GER,"DF,MF",21,2001,1.0,0,1,0,0.0,0.97,0.0,0.0,,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Robin Zentner,GER,GK,27,1994,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Silvan Widmer,SUI,DF,29,1993,18.8,2,19,6,31.6,1.01,0.32,0.11,0.33,10.8,0,0,0,2.5,2.5,0.13,-0.5,-0.5
Stefan Bell,GER,DF,30,1991,26.6,0,7,2,28.6,0.26,0.08,0.0,0.0,10.4,0,0,0,0.7,0.7,0.09,-0.7,-0.7
