General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Aaron Zehnter,GER,DF,17,2004,1,1,1,0.0,0.0,0,,0,1,1,6,3.0,0,0,0,0.0,0.62,0.0,0.0,0.0,-2.98,-2.27
André Hahn,GER,"FW,MF",31,1990,7,391,56,12.8,4.3,4,82,3,3,21,0,1.71,6,6,0,0.0,0.71,4.7,8.2,-3.4,-0.79,-0.1
Arne Engels,BEL,MF,18,2003,18,1440,80,47.1,16.0,18,80,11,0,,0,1.06,18,32,-14,-0.87,-0.49,13.8,28.7,-15.0,-0.94,-0.44
Arne Maier,GER,MF,23,1999,30,1960,65,64.1,21.8,24,77,7,6,19,3,0.9,23,44,-21,-0.96,-0.96,18.4,37.0,-18.7,-0.86,-0.43
Carlos Gruezo,ECU,MF,27,1995,13,961,74,31.4,10.7,12,79,7,1,11,1,1.08,15,17,-2,-0.19,0.63,11.7,19.9,-8.2,-0.77,-0.09
Daniel Caligiuri,ITA,"DF,MF",34,1988,13,290,22,9.5,3.2,2,74,1,11,13,20,0.85,2,10,-8,-2.48,-2.06,1.7,7.7,-6.0,-1.86,-1.28
Daniel Katić,CRO,DF,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Daniel Klein,GER,GK,21,2001,0,,,,,0,,0,0,,19,,,,,,,,,,,
David Čolina,CRO,"DF,FW",22,2000,7,166,24,5.4,1.8,0,,0,7,24,5,0.14,1,6,-5,-2.71,-2.21,2.7,4.4,-1.7,-0.91,-0.21
Dion Drena Beljo,CRO,FW,20,2002,18,1128,63,36.9,12.5,16,69,2,2,16,1,1.06,18,27,-9,-0.72,-0.16,12.2,23.0,-10.8,-0.86,-0.25
Elvis Rexhbeçaj,GER,MF,24,1997,31,2524,81,82.5,28.0,30,83,17,1,45,0,1.0,34,47,-13,-0.46,0.88,27.4,47.7,-20.3,-0.72,-0.12
Ermedin Demirović,BIH,"FW,MF",24,1998,30,2366,79,77.3,26.3,30,79,15,0,,0,1.0,32,47,-15,-0.57,0.21,27.3,41.0,-13.6,-0.52,0.82
Felix Götze,GER,"DF,MF",24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Florian Niederlechner,GER,"FW,MF",31,1990,14,910,65,29.7,10.1,10,80,4,4,28,1,1.07,15,15,0,0.0,0.88,13.3,16.0,-2.7,-0.27,0.62
Frederik Winther,DEN,DF,21,2001,1,90,90,2.9,1.0,1,90,1,0,,7,0.0,2,3,-1,-1.0,-0.39,0.4,1.5,-1.0,-1.04,-0.35
Fredrik Jensen,FIN,"FW,MF",24,1997,20,924,46,30.2,10.3,8,78,1,12,25,3,1.2,13,17,-4,-0.39,0.33,11.6,17.7,-6.1,-0.59,0.16
Iago,BRA,"DF,MF",25,1997,22,1600,73,52.3,17.8,19,80,11,3,28,0,1.09,26,30,-4,-0.23,0.82,19.8,28.8,-9.0,-0.51,0.41
Irvin Cardona,FRA,"MF,FW",24,1997,10,318,32,10.4,3.5,0,,0,10,32,2,0.4,6,9,-3,-0.85,-0.26,4.8,8.4,-3.6,-1.03,-0.36
Jeffrey Gouweleeuw,NED,DF,31,1991,32,2795,87,91.3,31.1,32,87,30,0,,0,1.03,39,56,-17,-0.55,0.81,31.9,54.1,-22.2,-0.71,-0.11
Josué-Emanuel M'bila,ANG,MF,22,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Julian Baumgartlinger,AUT,MF,34,1988,16,554,35,18.1,6.2,3,90,3,13,22,11,0.69,11,17,-6,-0.97,-0.44,8.4,10.7,-2.4,-0.38,0.39
Kelvin Yeboah,ITA,"FW,MF",22,2000,13,353,27,11.5,3.9,3,53,0,10,19,2,1.23,3,2,1,0.25,0.99,4.2,5.1,-0.9,-0.22,0.55
Lukas Petkov,BUL,"MF,FW",21,2000,7,146,21,4.8,1.6,0,,0,7,21,6,0.57,0,3,-3,-1.85,-1.29,1.4,4.3,-2.8,-1.77,-1.12
Mads Pedersen,DEN,"DF,MF",25,1996,28,1838,66,60.1,20.4,20,83,12,8,22,1,0.96,26,36,-10,-0.49,0.32,20.3,35.1,-14.7,-0.72,-0.04
Maurice Malone,GER,"FW,MF",21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Maximilian Bauer,GER,DF,22,2000,27,1846,68,60.3,20.5,20,84,17,7,25,6,1.11,25,41,-16,-0.78,-0.41,21.0,36.5,-15.5,-0.75,-0.12
Mergim Berisha,GER,FW,24,1998,23,1679,73,54.9,18.7,20,81,9,3,19,0,1.22,24,32,-8,-0.43,0.42,22.1,27.1,-5.0,-0.27,0.97
Mert Kömür,GER,MF,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Nathanael Mbuku,FRA,"MF,FW",20,2002,2,34,17,1.1,0.4,0,,0,2,17,11,0.0,1,0,1,2.65,3.3,1.1,0.3,0.8,2.15,2.89
Niklas Dorsch,GER,MF,24,1998,11,483,44,15.8,5.4,5,75,3,6,18,1,1.18,4,11,-7,-1.3,-0.82,4.4,10.9,-6.5,-1.22,-0.61
Noah Joel Sarenren Bazee,NGA,"MF,FW",25,1996,2,20,10,0.7,0.2,0,,0,2,10,8,1.5,0,0,0,0.0,0.62,0.2,0.1,0.0,0.16,0.87
Ohis Felix Uduokhai,GER,DF,24,1997,19,1450,76,47.4,16.1,16,86,14,3,25,1,0.95,18,27,-9,-0.56,0.11,17.1,23.2,-6.2,-0.38,0.61
Rafał Gikiewicz,POL,GK,34,1987,23,2070,90,67.6,23.0,23,90,23,0,,0,1.17,28,41,-13,-0.57,0.16,24.3,38.9,-14.6,-0.63,0.22
Raphael Framberger,GER,"DF,FW",26,1995,3,176,59,5.8,2.0,2,80,0,1,17,8,0.33,2,6,-4,-2.05,-1.51,1.0,3.9,-2.9,-1.46,-0.8
Reece Oxford,ENG,DF,23,1998,3,94,31,3.1,1.0,1,75,0,2,10,0,0.33,0,1,-1,-0.96,-0.35,2.1,1.3,0.8,0.73,1.48
Renato Veiga,POR,DF,19,2003,13,639,49,20.9,7.1,7,71,3,6,24,2,1.0,5,16,-11,-1.55,-1.18,4.6,15.4,-10.9,-1.53,-1.04
Ricardo Pepi,USA,FW,19,2003,4,95,24,3.1,1.1,1,55,0,3,13,0,0.75,0,3,-3,-2.84,-2.3,0.5,1.7,-1.2,-1.15,-0.46
Robert Gumny,POL,DF,24,1998,29,2015,69,65.8,22.4,23,82,17,6,22,1,1.14,30,42,-12,-0.54,0.24,23.1,39.9,-16.8,-0.75,-0.13
Ruben Vargas,SUI,"MF,FW",23,1998,23,1130,49,36.9,12.6,13,59,1,10,37,3,0.7,20,20,0,0.0,0.98,13.4,20.2,-6.8,-0.54,0.26
Tomáš Koubek,CZE,GK,29,1992,11,990,90,32.4,11.0,11,90,11,0,,15,0.64,14,22,-8,-0.73,-0.16,10.5,19.8,-9.4,-0.85,-0.22
