General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aaron Zehnter,GER,DF,17,2004,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
André Hahn,GER,"FW,MF",31,1990,4.3,83,80,2,0,0,2,6,2,0,0,0,0,33,1,5
Arne Engels,BEL,MF,18,2003,16.0,619,507,108,39,2,8,101,5,64,29,33,1,397,4,24
Arne Maier,GER,MF,23,1999,21.8,658,588,68,21,6,2,64,11,32,13,17,0,421,2,27
Carlos Gruezo,ECU,MF,27,1995,10.7,276,270,5,5,1,5,2,0,0,0,0,0,199,1,3
Daniel Caligiuri,ITA,"DF,MF",34,1988,3.2,166,116,50,9,0,2,11,35,6,5,1,0,107,0,3
David Čolina,CRO,"DF,FW",22,2000,1.8,71,53,18,1,0,1,6,17,0,0,0,0,41,0,5
Dion Drena Beljo,CRO,FW,20,2002,12.5,250,242,5,0,0,0,5,1,0,0,0,0,159,3,4
Elvis Rexhbeçaj,GER,MF,24,1997,28.0,911,862,44,20,4,2,17,3,4,3,0,0,622,5,29
Ermedin Demirović,BIH,"FW,MF",24,1998,26.3,533,501,27,0,2,2,19,5,0,0,0,0,268,5,32
Florian Niederlechner,GER,"FW,MF",31,1990,10.1,200,175,24,1,2,0,4,3,0,0,0,0,118,1,9
Frederik Winther,DEN,DF,21,2001,1.0,35,33,2,2,0,1,0,0,0,0,0,0,22,0,0
Fredrik Jensen,FIN,"FW,MF",24,1997,10.3,297,259,35,3,0,1,31,18,13,4,9,0,160,3,17
Iago,BRA,"DF,MF",25,1997,17.8,725,520,202,4,1,1,43,197,1,1,0,0,449,3,27
Irvin Cardona,FRA,"MF,FW",24,1997,3.5,74,71,2,0,1,0,9,1,0,0,0,0,36,1,2
Jeffrey Gouweleeuw,NED,DF,31,1991,31.1,1481,1375,95,89,7,12,8,5,0,0,0,0,1036,11,16
Julian Baumgartlinger,AUT,MF,34,1988,6.2,228,219,9,4,0,2,2,1,0,0,0,0,189,0,2
Kelvin Yeboah,ITA,"FW,MF",22,2000,3.9,59,58,0,0,0,1,6,0,0,0,0,0,28,1,8
Lukas Petkov,BUL,"MF,FW",21,2000,1.6,34,32,2,0,0,0,0,1,0,0,0,0,18,0,2
Mads Pedersen,DEN,"DF,MF",25,1996,20.4,696,506,187,16,0,7,46,162,9,2,5,0,473,3,22
Maximilian Bauer,GER,DF,22,2000,20.5,758,722,34,28,0,7,2,6,0,0,0,0,551,2,11
Mergim Berisha,GER,FW,24,1998,18.7,342,267,73,18,1,1,77,0,34,18,16,0,161,2,18
Nathanael Mbuku,FRA,"MF,FW",20,2002,0.4,7,7,0,0,0,0,1,0,0,0,0,0,3,0,2
Niklas Dorsch,GER,MF,24,1998,5.4,183,172,11,11,1,0,1,0,0,0,0,0,140,0,2
Noah Joel Sarenren Bazee,NGA,"MF,FW",25,1996,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Ohis Felix Uduokhai,GER,DF,24,1997,16.1,734,702,29,25,0,6,1,3,0,0,0,0,558,3,13
Rafał Gikiewicz,POL,GK,34,1987,23.0,1152,829,321,87,0,3,0,0,0,0,0,0,846,2,1
Raphael Framberger,GER,"DF,FW",26,1995,2.0,64,44,20,0,0,0,4,20,0,0,0,0,33,0,3
Reece Oxford,ENG,DF,23,1998,1.0,52,50,1,1,0,0,0,0,0,0,0,0,28,1,0
Renato Veiga,POR,DF,19,2003,7.1,318,271,47,9,0,2,7,38,0,0,0,0,210,0,3
Ricardo Pepi,USA,FW,19,2003,1.1,27,25,2,0,0,0,0,0,0,0,0,0,18,0,1
Robert Gumny,POL,DF,24,1998,22.4,823,624,196,4,0,2,27,192,0,0,0,0,533,3,19
Ruben Vargas,SUI,"MF,FW",23,1998,12.6,372,346,25,2,2,3,48,19,3,3,0,0,215,1,21
Tomáš Koubek,CZE,GK,29,1992,11.0,510,385,125,29,0,0,0,0,0,0,0,0,349,0,0
