General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Aaron Zehnter,GER,DF,17,2004,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
André Hahn,GER,"FW,MF",31,1990,4.3,1,0,0,8,3,1,6,4,5,0,0,0,19,13,15,46.4
Arne Engels,BEL,MF,18,2003,16.0,5,0,0,26,20,0,101,15,9,0,0,0,74,10,15,40.0
Arne Maier,GER,MF,23,1999,21.8,3,0,0,12,18,2,64,15,22,0,1,0,118,12,17,41.4
Carlos Gruezo,ECU,MF,27,1995,10.7,5,0,0,12,9,0,2,10,12,0,1,0,71,9,13,40.9
Daniel Caligiuri,ITA,"DF,MF",34,1988,3.2,1,0,0,5,4,0,11,3,5,0,0,0,33,5,5,50.0
David Čolina,CRO,"DF,FW",22,2000,1.8,0,0,0,1,4,0,6,4,1,0,0,0,20,1,4,20.0
Dion Drena Beljo,CRO,FW,20,2002,12.5,2,0,0,26,10,7,5,1,6,0,0,0,38,47,56,45.6
Elvis Rexhbeçaj,GER,MF,24,1997,28.0,6,0,0,27,49,0,17,17,30,0,0,1,152,35,33,51.5
Ermedin Demirović,BIH,"FW,MF",24,1998,26.3,7,1,0,49,31,11,19,14,14,1,0,0,83,66,106,38.4
Florian Niederlechner,GER,"FW,MF",31,1990,10.1,1,0,0,13,12,8,4,1,5,0,0,0,28,29,39,42.6
Frederik Winther,DEN,DF,21,2001,1.0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,3,66.7
Fredrik Jensen,FIN,"FW,MF",24,1997,10.3,1,0,0,15,7,3,31,4,10,0,0,0,29,19,33,36.5
Iago,BRA,"DF,MF",25,1997,17.8,6,1,1,13,13,1,43,17,16,0,0,0,97,13,25,34.2
Irvin Cardona,FRA,"MF,FW",24,1997,3.5,2,0,0,2,5,1,9,4,1,1,0,0,9,3,8,27.3
Jeffrey Gouweleeuw,NED,DF,31,1991,31.1,12,0,0,36,8,2,8,50,27,0,1,1,214,81,65,55.5
Julian Baumgartlinger,AUT,MF,34,1988,6.2,1,0,0,5,9,0,2,4,4,0,0,0,39,7,9,43.8
Kelvin Yeboah,ITA,"FW,MF",22,2000,3.9,0,0,0,11,11,1,6,1,4,0,0,0,19,14,22,38.9
Lukas Petkov,BUL,"MF,FW",21,2000,1.6,1,0,0,4,1,0,0,1,1,0,0,0,6,5,15,25.0
Mads Pedersen,DEN,"DF,MF",25,1996,20.4,6,0,0,23,23,0,46,20,23,0,0,0,122,7,23,23.3
Maximilian Bauer,GER,DF,22,2000,20.5,8,0,0,24,23,1,2,23,17,0,1,0,105,71,51,58.2
Mergim Berisha,GER,FW,24,1998,18.7,9,1,1,28,31,16,77,0,6,0,0,0,47,39,64,37.9
Nathanael Mbuku,FRA,"MF,FW",20,2002,0.4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,
Niklas Dorsch,GER,MF,24,1998,5.4,1,0,0,10,6,0,1,6,12,0,0,0,38,5,7,41.7
Noah Joel Sarenren Bazee,NGA,"MF,FW",25,1996,0.2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0
Ohis Felix Uduokhai,GER,DF,24,1997,16.1,3,1,0,21,13,0,1,29,20,0,0,0,85,43,46,48.3
Rafał Gikiewicz,POL,GK,34,1987,23.0,3,0,0,0,4,0,0,0,2,0,0,0,58,6,1,85.7
Raphael Framberger,GER,"DF,FW",26,1995,2.0,0,0,0,4,0,0,4,2,6,0,0,0,8,5,2,71.4
Reece Oxford,ENG,DF,23,1998,1.0,0,0,0,0,2,0,0,1,1,0,0,0,6,7,7,50.0
Renato Veiga,POR,DF,19,2003,7.1,3,0,0,9,4,0,7,7,6,0,0,0,60,12,14,46.2
Ricardo Pepi,USA,FW,19,2003,1.1,0,0,0,0,0,0,0,0,1,0,0,0,5,3,8,27.3
Robert Gumny,POL,DF,24,1998,22.4,5,1,0,32,18,1,27,26,24,0,0,0,107,45,44,50.6
Ruben Vargas,SUI,"MF,FW",23,1998,12.6,4,0,0,16,16,3,48,6,7,1,0,0,70,14,23,37.8
Tomáš Koubek,CZE,GK,29,1992,11.0,0,0,0,0,1,0,0,0,0,0,0,0,27,8,0,100.0
