General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Albert Sambi Lokonga,BEL,MF,22,1999,6.0,13,10,7,4,2,8,12,66.7,4,8,3,5,7,20,10,0
Cheick Doucouré,MLI,MF,22,2000,30.8,77,46,40,33,4,29,52,55.8,23,47,13,34,56,133,48,0
Chris Richards,USA,DF,22,2000,5.0,9,6,8,1,0,5,7,71.4,2,10,1,9,8,17,31,0
David Ozoh,ENG,FW,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Eberechi Eze,ENG,"MF,FW",24,1998,29.3,42,24,17,18,7,18,38,47.4,20,22,0,22,13,55,10,0
James McArthur,SCO,MF,34,1987,0.6,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,2,0
James Tomkins,ENG,DF,33,1989,3.8,4,2,2,1,1,1,3,33.3,2,3,2,1,5,9,19,0
Jaïro Riedewald,NED,"DF,MF",25,1996,0.7,2,1,2,0,0,0,1,0.0,1,2,0,2,0,2,4,0
Jean-Philippe Mateta,FRA,FW,25,1997,8.6,7,1,2,4,1,1,3,33.3,2,3,1,2,3,10,18,0
Jeffrey Schlupp,GHA,"MF,FW",29,1992,28.1,66,46,28,29,9,22,43,51.2,21,39,8,31,23,89,38,0
Joachim Andersen,DEN,DF,26,1996,30.9,42,22,30,12,0,16,32,50.0,16,28,13,15,24,66,188,1
Joel Ward,ENG,DF,32,1989,25.1,50,36,30,11,9,30,41,73.2,11,32,16,16,25,75,80,1
Jordan Ayew,GHA,"FW,MF",30,1991,30.2,66,41,23,20,23,21,53,39.6,32,35,4,31,15,81,31,0
Joseph Whitworth,ENG,GK,18,2004,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Luka Milivojević,SRB,MF,31,1991,5.7,13,7,7,4,2,7,10,70.0,3,13,4,9,12,25,10,1
Malcolm Ebiowei,ENG,"MF,FW",18,2003,0.4,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,0,0
Marc Guéhi,ENG,DF,22,2000,37.0,52,27,39,11,2,26,42,61.9,16,45,24,21,45,97,134,3
Michael Olise,FRA,"FW,MF",20,2001,30.5,58,34,28,26,4,25,60,41.7,35,46,1,45,26,84,17,0
Naouirou Ahamada,FRA,"MF,FW",20,2002,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0
Nathaniel Clyne,ENG,DF,31,1991,18.2,27,16,13,9,5,14,23,60.9,9,22,4,18,19,46,34,0
Odsonne Édouard,FRA,FW,24,1998,20.0,25,13,7,12,6,7,13,53.8,6,17,5,12,3,28,22,0
Sam Johnstone,ENG,GK,29,1993,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Tyrick Mitchell,ENG,DF,22,1999,32.1,71,49,43,23,5,30,53,56.6,23,48,11,37,42,113,78,0
Vicente Guaita,ESP,GK,35,1987,27.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
Wilfried Zaha,CIV,"FW,MF",29,1992,25.4,32,20,12,12,8,8,21,38.1,13,21,1,20,16,48,9,0
Will Hughes,ENG,MF,27,1995,9.4,29,16,11,16,2,11,20,55.0,9,16,7,9,16,45,9,0
