General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Albert Sambi Lokonga,BEL,MF,22,1999,6.0,0,2,1,50.0,0.34,0.17,0.0,0.0,17.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Cheick Doucouré,MLI,MF,22,2000,30.8,0,36,7,19.4,1.17,0.23,0.0,0.0,24.6,0,0,0,1.4,1.4,0.04,-1.4,-1.4
Chris Richards,USA,DF,22,2000,5.0,0,4,0,0.0,0.81,0.0,0.0,,9.1,0,0,0,0.7,0.7,0.18,-0.7,-0.7
David Ozoh,ENG,FW,17,2005,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Eberechi Eze,ENG,"MF,FW",24,1998,29.3,10,70,25,35.7,2.39,0.85,0.13,0.36,21.9,14,1,1,7.3,6.5,0.09,2.7,2.5
James McArthur,SCO,MF,34,1987,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
James Tomkins,ENG,DF,33,1989,3.8,1,3,2,66.7,0.8,0.53,0.33,0.5,12.7,0,0,0,1.0,1.0,0.34,0.0,0.0
Jaïro Riedewald,NED,"DF,MF",25,1996,0.7,0,1,0,0.0,1.41,0.0,0.0,,14.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jean-Philippe Mateta,FRA,FW,25,1997,8.6,2,27,7,25.9,3.16,0.82,0.07,0.29,12.2,0,0,0,3.4,3.4,0.13,-1.4,-1.4
Jeffrey Schlupp,GHA,"MF,FW",29,1992,28.1,3,28,9,32.1,1.0,0.32,0.11,0.33,17.5,0,0,0,3.2,3.2,0.12,-0.2,-0.2
Joachim Andersen,DEN,DF,26,1996,30.9,1,22,9,40.9,0.71,0.29,0.05,0.11,13.9,1,0,0,1.8,1.8,0.08,-0.8,-0.8
Joel Ward,ENG,DF,32,1989,25.1,1,8,2,25.0,0.32,0.08,0.13,0.5,16.5,0,0,0,1.1,1.1,0.19,-0.1,-0.1
Jordan Ayew,GHA,"FW,MF",30,1991,30.2,4,32,10,31.3,1.06,0.33,0.13,0.4,16.1,0,0,0,3.2,3.2,0.1,0.8,0.8
Joseph Whitworth,ENG,GK,18,2004,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luka Milivojević,SRB,MF,31,1991,5.7,0,7,0,0.0,1.23,0.0,0.0,,25.1,1,0,0,0.3,0.3,0.05,-0.3,-0.3
Malcolm Ebiowei,ENG,"MF,FW",18,2003,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marc Guéhi,ENG,DF,22,2000,37.0,1,14,6,42.9,0.38,0.16,0.07,0.17,8.3,0,0,0,1.5,1.5,0.1,-0.5,-0.5
Michael Olise,FRA,"FW,MF",20,2001,30.5,2,51,14,27.5,1.67,0.46,0.04,0.14,21.1,7,0,0,2.9,2.9,0.06,-0.9,-0.9
Naouirou Ahamada,FRA,"MF,FW",20,2002,1.0,0,3,0,0.0,2.87,0.0,0.0,,15.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Nathaniel Clyne,ENG,DF,31,1991,18.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Odsonne Édouard,FRA,FW,24,1998,20.0,5,39,15,38.5,1.95,0.75,0.13,0.33,12.5,0,0,0,4.2,4.2,0.11,0.8,0.8
Sam Johnstone,ENG,GK,29,1993,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Tyrick Mitchell,ENG,DF,22,1999,32.1,0,6,1,16.7,0.19,0.03,0.0,0.0,11.6,0,0,0,0.6,0.6,0.1,-0.6,-0.6
Vicente Guaita,ESP,GK,35,1987,27.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Wilfried Zaha,CIV,"FW,MF",29,1992,25.4,7,64,21,32.8,2.52,0.83,0.11,0.33,16.8,0,0,2,6.5,4.8,0.08,0.5,2.2
Will Hughes,ENG,MF,27,1995,9.4,1,6,4,66.7,0.64,0.43,0.17,0.25,17.2,0,0,0,0.3,0.3,0.06,0.7,0.7
