General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Achraf Dari,MAR,DF,23,1999,14.6,21,14,15,5,1,14,20,70.0,6,16,10,6,19,40,65,2
Alberth Elis,HON,"MF,FW",26,1996,2.9,4,3,1,2,1,1,7,14.3,6,1,0,1,1,5,2,0
Axel Camblan,FRA,"FW,MF",18,2003,0.8,2,2,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0
Bradley Locko,FRA,DF,20,2002,3.0,4,3,2,1,1,2,3,66.7,1,4,0,4,2,6,13,0
Brendan Chardonnet,FRA,DF,27,1994,27.7,45,27,27,18,0,20,38,52.6,18,40,19,21,63,108,86,1
Christophe Hérelle,MTQ,DF,29,1992,11.8,10,4,7,2,1,4,13,30.8,9,16,11,5,20,30,48,0
Franck Honorat,FRA,"FW,MF",25,1996,28.2,41,29,20,8,13,19,34,55.9,15,22,2,20,21,62,18,0
Félix Lemaréchal,FRA,MF,18,2003,3.2,5,5,2,1,2,0,3,0.0,3,6,0,6,1,6,2,0
Haris Belkebla,ALG,MF,28,1994,29.5,80,48,35,40,5,44,85,51.8,41,32,6,26,52,132,21,3
Hianga Mananga Mbock,FRA,MF,22,1999,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Hugo Magnetti,FRA,MF,24,1998,18.8,43,27,18,23,2,23,63,36.5,40,21,1,20,25,68,12,0
Irvin Cardona,FRA,"FW,MF",24,1997,2.6,2,0,1,1,0,0,3,0.0,3,3,0,3,2,4,2,0
Islam Slimani,ALG,FW,34,1988,11.0,5,3,2,2,1,0,3,0.0,3,2,0,2,1,6,11,0
Jean-Kevin Duverne,HAI,DF,25,1997,27.9,72,38,44,24,4,42,73,57.5,31,33,5,28,28,100,65,1
Jere Uronen,FIN,DF,28,1994,3.3,8,5,4,4,0,7,12,58.3,5,6,2,4,7,15,5,0
Joaquín Blázquez,ARG,GK,21,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Jérémy Le Douaron,FRA,"MF,FW",24,1998,23.0,15,9,5,9,1,3,27,11.1,24,29,2,27,11,26,30,0
Karamoko Dembele,SCO,"FW,MF",19,2003,2.0,2,0,1,1,0,2,2,100.0,0,1,0,1,1,3,0,0
Kenny Lala,MAD,DF,30,1991,15.7,36,19,19,15,2,22,38,57.9,16,15,5,10,21,57,28,0
Lilian Brassier,FRA,DF,22,1999,34.4,42,30,31,8,3,23,32,71.9,9,42,19,23,53,95,132,1
Mahdi Camara,FRA,MF,24,1998,20.2,63,36,18,38,7,25,43,58.1,18,35,4,31,40,103,16,0
Marco Bizot,NED,GK,31,1991,37.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,24,4
Mathias Pereira Lage,POR,"MF,FW",25,1996,14.0,20,7,5,14,1,11,29,37.9,18,10,1,9,14,34,12,0
Noah Fadiga,SEN,DF,22,1999,14.5,30,21,18,9,3,14,26,53.8,12,17,7,10,26,56,18,0
Pierre Lees-Melou,FRA,MF,29,1993,30.7,97,55,55,37,5,57,123,46.3,66,48,13,35,52,149,46,1
Romain Del Castillo,FRA,"MF,FW",26,1996,15.8,39,24,13,17,9,16,36,44.4,20,14,1,13,11,50,5,0
Steve Mounié,BEN,FW,27,1994,18.4,13,5,1,7,5,5,14,35.7,9,18,7,11,3,16,20,0
Taïryk Arconte,FRA,FW,18,2003,1.4,1,1,0,0,1,0,3,0.0,3,1,0,1,0,1,2,0
Youcef Belaïli,ALG,"FW,MF",30,1992,4.0,5,2,3,2,0,2,7,28.6,5,2,0,2,1,6,1,0
