General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Achraf Dari,MAR,DF,23,1999,14.6,7,0.48,3,2,0,0,1,1,2,0.14,1,0,0,0,1,0
Alberth Elis,HON,"MF,FW",26,1996,2.9,12,4.2,6,0,1,1,3,1,0,0.0,0,0,0,0,0,0
Axel Camblan,FRA,"FW,MF",18,2003,0.8,3,3.97,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Bradley Locko,FRA,DF,20,2002,3.0,5,1.67,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Brendan Chardonnet,FRA,DF,27,1994,27.7,20,0.72,17,1,0,2,0,0,1,0.04,1,0,0,0,0,0
Christophe Hérelle,MTQ,DF,29,1992,11.8,6,0.51,4,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Franck Honorat,FRA,"FW,MF",25,1996,28.2,132,4.69,80,37,5,7,3,0,11,0.39,5,4,1,1,0,0
Félix Lemaréchal,FRA,MF,18,2003,3.2,12,3.75,10,1,1,0,0,0,0,0.0,0,0,0,0,0,0
Haris Belkebla,ALG,MF,28,1994,29.5,39,1.32,33,0,0,0,4,2,2,0.07,1,0,0,0,1,0
Hianga Mananga Mbock,FRA,MF,22,1999,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Hugo Magnetti,FRA,MF,24,1998,18.8,34,1.81,29,0,2,2,0,1,5,0.27,3,0,0,1,0,1
Irvin Cardona,FRA,"FW,MF",24,1997,2.6,3,1.16,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Islam Slimani,ALG,FW,34,1988,11.0,23,2.1,22,0,0,1,0,0,3,0.27,3,0,0,0,0,0
Jean-Kevin Duverne,HAI,DF,25,1997,27.9,48,1.72,32,4,5,0,7,0,4,0.14,0,0,0,0,4,0
Jere Uronen,FIN,DF,28,1994,3.3,4,1.2,4,0,0,0,0,0,1,0.3,1,0,0,0,0,0
Joaquín Blázquez,ARG,GK,21,2001,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jérémy Le Douaron,FRA,"MF,FW",24,1998,23.0,46,2.0,26,0,2,9,6,3,6,0.26,3,0,0,3,0,0
Karamoko Dembele,SCO,"FW,MF",19,2003,2.0,8,4.02,5,2,0,0,1,0,0,0.0,0,0,0,0,0,0
Kenny Lala,MAD,DF,30,1991,15.7,40,2.54,20,16,1,1,2,0,3,0.19,3,0,0,0,0,0
Lilian Brassier,FRA,DF,22,1999,34.4,29,0.84,23,2,0,2,1,1,2,0.06,0,1,0,0,0,1
Mahdi Camara,FRA,MF,24,1998,20.2,38,1.87,25,0,6,3,2,2,2,0.1,0,0,1,0,1,0
Marco Bizot,NED,GK,31,1991,37.0,5,0.14,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Mathias Pereira Lage,POR,"MF,FW",25,1996,14.0,28,1.99,19,3,2,1,3,0,3,0.21,2,0,0,0,1,0
Noah Fadiga,SEN,DF,22,1999,14.5,15,1.03,8,0,3,0,3,1,2,0.14,1,0,1,0,0,0
Pierre Lees-Melou,FRA,MF,29,1993,30.7,56,1.82,42,2,2,6,1,3,7,0.23,5,0,0,1,0,1
Romain Del Castillo,FRA,"MF,FW",26,1996,15.8,68,4.31,40,18,3,3,2,2,13,0.82,8,3,1,0,1,0
Steve Mounié,BEN,FW,27,1994,18.4,37,2.01,24,0,0,10,1,2,4,0.22,2,0,0,2,0,0
Taïryk Arconte,FRA,FW,18,2003,1.4,3,2.11,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Youcef Belaïli,ALG,"FW,MF",30,1992,4.0,15,3.79,8,6,0,0,1,0,2,0.51,0,2,0,0,0,0
