General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Achraf Dari,MAR,DF,23,1999,14.6,1,0,0,13,13,2,1,19,14,1,1,0,78,35,24,59.3
Alberth Elis,HON,"MF,FW",26,1996,2.9,0,0,0,8,5,1,2,1,3,0,0,0,17,3,12,20.0
Axel Camblan,FRA,"FW,MF",18,2003,0.8,0,0,0,4,1,0,2,0,2,0,0,0,5,7,3,70.0
Bradley Locko,FRA,DF,20,2002,3.0,0,0,0,0,2,0,6,2,3,0,0,0,18,3,2,60.0
Brendan Chardonnet,FRA,DF,27,1994,27.7,6,0,0,39,26,0,6,63,27,0,1,1,149,92,42,68.7
Christophe Hérelle,MTQ,DF,29,1992,11.8,2,0,0,13,14,0,2,20,4,0,2,1,58,11,10,52.4
Franck Honorat,FRA,"FW,MF",25,1996,28.2,1,0,0,23,18,9,214,21,29,0,1,0,134,13,36,26.5
Félix Lemaréchal,FRA,MF,18,2003,3.2,2,0,0,6,0,0,7,1,5,0,0,0,13,6,3,66.7
Haris Belkebla,ALG,MF,28,1994,29.5,3,0,0,33,50,0,11,52,48,0,0,0,197,20,30,40.0
Hianga Mananga Mbock,FRA,MF,22,1999,0.2,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,50.0
Hugo Magnetti,FRA,MF,24,1998,18.8,2,0,0,17,26,0,20,25,27,0,0,0,127,7,18,28.0
Irvin Cardona,FRA,"FW,MF",24,1997,2.6,0,0,0,5,2,5,1,2,0,0,0,0,7,4,5,44.4
Islam Slimani,ALG,FW,34,1988,11.0,5,0,0,19,14,10,9,1,3,0,0,0,16,22,25,46.8
Jean-Kevin Duverne,HAI,DF,25,1997,27.9,2,0,0,39,20,4,85,28,38,2,0,0,159,33,22,60.0
Jere Uronen,FIN,DF,28,1994,3.3,0,0,0,3,7,0,13,7,5,0,0,0,14,2,6,25.0
Joaquín Blázquez,ARG,GK,21,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Jérémy Le Douaron,FRA,"MF,FW",24,1998,23.0,1,0,0,33,36,10,32,11,9,0,0,0,61,61,71,46.2
Karamoko Dembele,SCO,"FW,MF",19,2003,2.0,0,0,0,5,9,0,14,1,0,0,0,0,13,0,4,0.0
Kenny Lala,MAD,DF,30,1991,15.7,4,0,0,18,16,1,64,21,19,0,1,0,119,8,14,36.4
Lilian Brassier,FRA,DF,22,1999,34.4,5,0,0,42,16,0,33,53,30,0,0,0,201,61,37,62.2
Mahdi Camara,FRA,MF,24,1998,20.2,4,1,0,22,32,0,15,40,36,1,0,0,114,19,24,44.2
Marco Bizot,NED,GK,31,1991,37.0,4,0,0,0,4,0,0,0,0,0,0,0,29,5,1,83.3
Mathias Pereira Lage,POR,"MF,FW",25,1996,14.0,2,0,0,23,27,1,34,14,7,1,0,0,69,21,28,42.9
Noah Fadiga,SEN,DF,22,1999,14.5,2,0,0,22,18,1,10,26,21,1,1,0,80,8,8,50.0
Pierre Lees-Melou,FRA,MF,29,1993,30.7,10,1,0,43,47,1,41,52,55,0,2,0,278,18,10,64.3
Romain Del Castillo,FRA,"MF,FW",26,1996,15.8,2,0,0,19,24,1,101,11,24,1,0,0,86,18,24,42.9
Steve Mounié,BEN,FW,27,1994,18.4,2,0,0,37,25,10,9,3,5,0,0,0,49,150,105,58.8
Taïryk Arconte,FRA,FW,18,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0
Youcef Belaïli,ALG,"FW,MF",30,1992,4.0,3,0,0,11,8,2,21,1,2,0,0,0,19,2,1,66.7
