General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Agustín Rogel,URU,DF,24,1997,15.8,426,572,74.5,8612,3341,117,155,75.5,251,298,84.2,51,100,51.0,1,0.0,0.1,1.0,1,11,0,0,23
Chidera Ejuke,NGA,"FW,MF",24,1998,9.9,227,292,77.7,3432,773,127,152,83.6,66,82,80.5,23,31,74.2,3,1.3,0.9,1.7,10,28,10,1,39
Davie Selke,GER,FW,27,1995,3.1,41,68,60.3,456,160,25,33,75.8,9,16,56.3,0,1,0.0,1,0.9,0.6,0.1,4,5,0,0,5
Derry Scherhant,GER,"FW,MF",19,2002,3.2,33,50,66.0,400,64,16,21,76.2,12,21,57.1,0,0,,0,0.1,0.0,-0.1,1,0,0,0,1
Dodi Lukebakio,BEL,"FW,MF",24,1997,26.6,422,613,68.8,6794,1573,224,296,75.7,117,165,70.9,52,86,60.5,3,4.4,4.8,-1.4,29,18,26,6,42
Filip Uremović,CRO,DF,25,1997,19.2,514,658,78.1,9661,2828,165,203,81.3,317,363,87.3,27,74,36.5,0,0.4,0.3,-0.4,4,16,2,1,17
Florian Niederlechner,GER,FW,31,1990,8.7,95,146,65.1,1480,258,50,65,76.9,35,50,70.0,6,11,54.5,0,0.2,0.4,-0.2,4,10,2,0,11
Ibrahim Maza,GER,"MF,FW",16,2005,0.8,11,15,73.3,141,46,9,10,90.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Ivan Šunjić,CRO,MF,25,1996,11.0,270,361,74.8,4449,1498,144,172,83.7,92,118,78.0,24,45,53.3,0,0.2,0.4,-0.2,4,34,4,0,30
Jean-Paul Boëtius,NED,MF,28,1994,11.7,303,421,72.0,5386,2162,127,158,80.4,117,154,76.0,41,68,60.3,0,0.7,0.9,-0.7,13,38,10,1,61
Jessic Ngankam,GER,"FW,MF",22,2000,9.2,70,113,61.9,881,201,50,64,78.1,12,25,48.0,3,7,42.9,0,0.3,0.3,-0.3,6,7,3,0,7
Jonjoe Kenny,ENG,DF,25,1997,24.9,879,1207,72.8,16249,7774,356,424,84.0,406,526,77.2,98,192,51.0,1,2.1,1.7,-1.1,17,89,13,9,98
Julian Eitschberger,GER,FW,18,2004,0.0,1,1,100.0,10,4,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Kevin-Prince Boateng,GHA,MF,35,1987,5.2,185,252,73.4,3113,971,90,114,78.9,66,86,76.7,23,34,67.6,0,0.2,0.3,-0.2,3,19,2,0,24
Lucas Tousart,FRA,MF,25,1997,32.7,530,885,59.9,8426,3235,268,402,66.7,197,282,69.9,36,94,38.3,2,2.0,2.1,0.0,18,72,9,3,93
Marc-Oliver Kempf,GER,DF,27,1995,30.1,1011,1303,77.6,19044,8004,379,441,85.9,518,608,85.2,99,197,50.3,0,1.1,0.9,-1.1,9,57,6,0,81
Marco Richter,GER,"MF,FW",24,1997,20.4,461,747,61.7,8175,3008,206,264,78.0,170,260,65.4,62,149,41.6,5,2.9,2.7,2.1,20,38,26,5,68
Marvin Plattenhardt,GER,DF,30,1992,26.7,794,1208,65.7,13900,7002,385,431,89.3,306,457,67.0,88,258,34.1,2,3.0,3.9,-1.0,30,38,8,6,84
Maximilian Mittelstädt,GER,"DF,MF",25,1997,9.4,326,472,69.1,5021,2310,182,206,88.3,113,168,67.3,21,74,28.4,0,0.8,1.2,-0.8,11,29,7,4,37
Myziane Maolida,COM,"FW,MF",23,1999,1.1,8,15,53.3,129,30,4,7,57.1,3,6,50.0,1,1,100.0,0,0.2,0.5,-0.2,1,1,0,0,0
Márton Dárdai,HUN,"DF,MF",20,2002,10.5,225,378,59.5,4843,2114,66,91,72.5,120,162,74.1,38,115,33.0,0,0.2,0.2,-0.2,4,19,2,0,21
Oliver Christensen,DEN,GK,23,1999,33.0,777,1218,63.8,23464,18548,132,132,100.0,346,353,98.0,299,727,41.1,0,0.0,0.1,0.0,0,13,0,0,2
Pascal Klemens,GER,DF,17,2005,1.0,28,33,84.8,546,302,11,11,100.0,11,15,73.3,5,6,83.3,0,0.0,0.0,0.0,0,1,0,0,1
Peter Pekarík,SVK,DF,35,1986,2.3,89,115,77.4,1465,603,43,47,91.5,35,46,76.1,9,17,52.9,0,0.0,0.1,0.0,1,4,1,1,7
Stevan Jovetić,MNE,"FW,MF",32,1989,9.9,200,316,63.3,3381,1339,101,144,70.1,61,100,61.0,24,32,75.0,2,1.1,1.0,0.9,14,37,9,2,40
Suat Serdar,GER,MF,25,1997,22.5,431,615,70.1,7626,2154,196,249,78.7,175,231,75.8,50,77,64.9,2,1.6,1.8,0.4,18,50,14,0,78
Tjark Ernst,GER,GK,19,2003,1.0,26,35,74.3,680,539,7,7,100.0,10,10,100.0,9,18,50.0,0,0.0,0.0,0.0,0,0,0,0,0
