General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Agustín Rogel,URU,DF,24,1997,20,1426,71,46.6,15.8,14,87,13,6,35,4,0.8,21,36,-15,-0.95,-0.29,16.7,30.1,-13.4,-0.84,-0.45
Chidera Ejuke,NGA,"FW,MF",24,1998,20,890,45,29.1,9.9,9,69,1,11,24,0,0.9,9,12,-3,-0.3,0.69,10.1,14.2,-4.1,-0.41,0.27
Davie Selke,GER,FW,27,1995,13,282,22,9.2,3.1,3,59,0,10,10,1,0.92,4,9,-5,-1.6,-0.88,4.0,5.7,-1.8,-0.57,0.04
Derry Scherhant,GER,"FW,MF",19,2002,10,285,29,9.3,3.2,2,54,0,8,22,5,0.7,4,11,-7,-2.21,-1.56,5.1,8.3,-3.2,-1.0,-0.44
Deyovaisio Zeefuik,NED,"DF,MF",24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Dodi Lukebakio,BEL,"FW,MF",24,1997,32,2397,75,78.3,26.6,27,83,14,5,32,0,0.81,34,55,-21,-0.79,0.03,29.2,47.2,-17.9,-0.67,-0.32
Filip Uremović,CRO,DF,25,1997,22,1726,78,56.4,19.2,21,80,14,1,45,5,0.82,22,38,-16,-0.83,-0.09,22.0,28.8,-6.7,-0.35,0.58
Florian Niederlechner,GER,FW,31,1990,16,781,49,25.5,8.7,11,64,0,5,16,1,0.94,14,16,-2,-0.23,0.76,10.7,16.3,-5.6,-0.65,-0.06
Ibrahim Maza,GER,"MF,FW",16,2005,2,71,36,2.3,0.8,0,,0,2,36,4,1.5,2,2,0,0.0,0.81,1.9,2.4,-0.5,-0.63,-0.02
Ivan Šunjić,CRO,MF,25,1996,18,993,55,32.5,11.0,12,74,6,6,18,7,1.0,14,23,-9,-0.82,-0.03,12.8,17.1,-4.3,-0.39,0.32
Jean-Paul Boëtius,NED,MF,28,1994,21,1050,50,34.3,11.7,10,74,3,11,28,3,1.05,13,23,-10,-0.86,-0.1,12.4,22.2,-9.9,-0.85,-0.37
Jessic Ngankam,GER,"FW,MF",22,2000,18,826,46,27.0,9.2,8,64,1,10,31,0,0.78,10,21,-11,-1.2,-0.55,11.8,17.6,-5.8,-0.63,-0.04
Joel Kiala,ANG,DF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jonjoe Kenny,ENG,DF,25,1997,29,2244,77,73.3,24.9,25,87,22,4,18,4,0.9,29,44,-15,-0.6,0.72,27.3,45.5,-18.2,-0.73,-0.47
Julian Eitschberger,GER,FW,18,2004,1,1,1,0.0,0.0,0,,0,1,1,2,3.0,0,0,0,0.0,0.79,0.0,0.7,-0.7,-65.87,-65.29
Kevin-Prince Boateng,GHA,MF,35,1987,16,467,29,15.3,5.2,5,61,0,11,15,13,0.44,5,12,-7,-1.35,-0.65,6.1,7.8,-1.7,-0.33,0.33
Linus Gechter,GER,DF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Lucas Tousart,FRA,MF,25,1997,33,2944,89,96.2,32.7,33,89,29,0,,0,0.88,41,65,-24,-0.73,1.59,38.9,58.0,-19.1,-0.58,0.54
Marc-Oliver Kempf,GER,DF,27,1995,31,2709,87,88.5,30.1,31,87,27,0,,0,0.9,40,62,-22,-0.73,0.55,37.0,52.2,-15.2,-0.5,0.87
Marco Richter,GER,"MF,FW",24,1997,29,1836,63,60.0,20.4,21,78,7,8,26,1,0.93,30,51,-21,-1.03,-0.59,24.7,38.7,-14.0,-0.69,-0.21
Marvin Plattenhardt,GER,DF,30,1992,31,2402,77,78.5,26.7,29,81,22,2,25,1,0.9,34,58,-24,-0.9,-0.49,29.5,47.3,-17.8,-0.67,-0.3
Maximilian Mittelstädt,GER,"DF,MF",25,1997,17,849,50,27.7,9.4,7,79,4,10,30,14,0.94,9,15,-6,-0.64,0.22,11.5,17.4,-5.9,-0.63,-0.03
Myziane Maolida,COM,"FW,MF",23,1999,3,95,32,3.1,1.1,1,55,0,2,20,7,0.0,1,3,-2,-1.89,-1.14,0.6,1.2,-0.7,-0.62,-0.01
Márton Dárdai,HUN,"DF,MF",20,2002,17,947,56,30.9,10.5,11,78,6,6,15,9,1.06,12,20,-8,-0.76,0.05,12.2,18.3,-6.0,-0.57,0.04
Oliver Christensen,DEN,GK,23,1999,33,2970,90,97.1,33.0,33,90,33,0,,1,0.79,40,68,-28,-0.85,-1.85,37.4,56.6,-19.2,-0.58,0.75
Pascal Klemens,GER,DF,17,2005,1,90,90,2.9,1.0,1,90,1,0,,4,3.0,2,1,1,1.0,1.85,2.1,3.4,-1.3,-1.33,-0.75
Peter Pekarík,SVK,DF,35,1986,5,206,41,6.7,2.3,2,83,1,3,13,19,0.8,3,7,-4,-1.75,-1.02,2.5,4.4,-1.9,-0.82,-0.23
Robert Kwasigroch,GER,GK,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Rune Jarstein,NOR,GK,37,1984,0,,,,,0,,0,0,,1,,,,,,,,,,,
Stevan Jovetić,MNE,"FW,MF",32,1989,17,892,52,29.2,9.9,8,81,5,9,27,2,0.76,16,20,-4,-0.4,0.55,13.8,18.4,-4.6,-0.46,0.2
Suat Serdar,GER,MF,25,1997,32,2021,63,66.0,22.5,24,74,5,8,30,0,0.88,26,44,-18,-0.8,-0.02,25.5,39.1,-13.5,-0.6,0.01
Tjark Ernst,GER,GK,19,2003,1,90,90,2.9,1.0,1,90,1,0,,30,3.0,2,1,1,1.0,1.85,2.1,3.4,-1.3,-1.33,-0.75
Tolga Ciğerci,TUR,MF,30,1992,11,672,61,22.0,7.5,10,63,1,1,45,1,0.73,7,17,-10,-1.34,-0.7,8.3,10.9,-2.6,-0.35,0.32
Tony Rölke,GER,FW,19,2003,1,20,20,0.7,0.2,0,,0,1,20,0,3.0,0,0,0,0.0,0.8,0.5,0.9,-0.4,-1.74,-1.15
Veit Stange,GER,MF,18,2004,1,8,8,0.3,0.1,0,,0,1,8,1,0.0,0,0,0,0.0,0.8,0.1,0.3,-0.2,-2.45,-1.85
Vladimír Darida,CZE,MF,31,1990,3,31,10,1.0,0.3,0,,0,3,10,7,0.67,1,1,0,0.0,0.8,0.1,0.5,-0.4,-1.14,-0.54
Wilfried Kanga,CIV,FW,24,1998,23,1417,62,46.3,15.7,15,80,4,8,28,1,0.65,17,24,-7,-0.44,0.65,16.7,24.1,-7.4,-0.47,0.25
