General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Agustín Rogel,URU,DF,24,1997,15.8,18,9,13,5,0,11,17,64.7,6,15,8,7,11,29,74,1
Chidera Ejuke,NGA,"FW,MF",24,1998,9.9,5,4,1,4,0,1,5,20.0,4,4,0,4,4,9,1,0
Davie Selke,GER,FW,27,1995,3.1,2,1,1,1,0,0,1,0.0,1,3,1,2,1,3,5,0
Derry Scherhant,GER,"FW,MF",19,2002,3.2,7,6,3,3,1,4,8,50.0,4,3,0,3,0,7,5,0
Dodi Lukebakio,BEL,"FW,MF",24,1997,26.6,18,11,7,8,3,6,27,22.2,21,23,5,18,13,31,17,0
Filip Uremović,CRO,DF,25,1997,19.2,38,23,29,8,1,14,22,63.6,8,18,13,5,36,74,88,2
Florian Niederlechner,GER,FW,31,1990,8.7,9,7,2,4,3,2,8,25.0,6,7,0,7,3,12,10,0
Ibrahim Maza,GER,"MF,FW",16,2005,0.8,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0
Ivan Šunjić,CRO,MF,25,1996,11.0,38,20,16,21,1,16,24,66.7,8,17,5,12,13,51,19,1
Jean-Paul Boëtius,NED,MF,28,1994,11.7,30,16,19,9,2,8,25,32.0,17,25,5,20,14,44,10,0
Jessic Ngankam,GER,"FW,MF",22,2000,9.2,14,9,7,4,3,6,14,42.9,8,6,1,5,1,15,4,0
Jonjoe Kenny,ENG,DF,25,1997,24.9,46,34,27,16,3,24,42,57.1,18,38,9,29,46,92,74,0
Julian Eitschberger,GER,FW,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kevin-Prince Boateng,GHA,MF,35,1987,5.2,8,6,4,2,2,3,9,33.3,6,11,3,8,3,11,5,0
Lucas Tousart,FRA,MF,25,1997,32.7,73,38,35,28,10,27,60,45.0,33,42,6,36,48,121,75,1
Marc-Oliver Kempf,GER,DF,27,1995,30.1,44,27,29,14,1,16,22,72.7,6,42,32,10,51,95,143,0
Marco Richter,GER,"MF,FW",24,1997,20.4,43,23,18,17,8,19,48,39.6,29,29,2,27,24,67,25,0
Marvin Plattenhardt,GER,DF,30,1992,26.7,43,33,24,15,4,29,47,61.7,18,25,11,14,15,58,82,0
Maximilian Mittelstädt,GER,"DF,MF",25,1997,9.4,39,20,31,6,2,17,39,43.6,22,13,2,11,26,65,27,0
Myziane Maolida,COM,"FW,MF",23,1999,1.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0
Márton Dárdai,HUN,"DF,MF",20,2002,10.5,17,8,9,8,0,9,18,50.0,9,14,9,5,11,28,45,1
Oliver Christensen,DEN,GK,23,1999,33.0,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,22,2
Pascal Klemens,GER,DF,17,2005,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0
Peter Pekarík,SVK,DF,35,1986,2.3,4,3,4,0,0,4,6,66.7,2,6,2,4,4,8,7,0
Stevan Jovetić,MNE,"FW,MF",32,1989,9.9,3,2,2,1,0,1,11,9.1,10,2,1,1,2,5,10,0
Suat Serdar,GER,MF,25,1997,22.5,51,23,14,30,7,20,41,48.8,21,48,12,36,29,80,24,0
Tjark Ernst,GER,GK,19,2003,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Tolga Ciğerci,TUR,MF,30,1992,7.5,16,13,6,9,1,10,16,62.5,6,6,2,4,8,24,5,0
Tony Rölke,GER,FW,19,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Veit Stange,GER,MF,18,2004,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Vladimír Darida,CZE,MF,31,1990,0.3,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0
Wilfried Kanga,CIV,FW,24,1998,15.7,5,4,2,1,2,2,4,50.0,2,14,3,11,2,7,13,0
