General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Agustín Rogel,URU,DF,24,1997,15.8,572,538,31,29,0,6,0,2,0,0,0,0,426,3,7
Chidera Ejuke,NGA,"FW,MF",24,1998,9.9,292,282,8,1,3,2,16,4,3,1,1,0,227,2,6
Davie Selke,GER,FW,27,1995,3.1,68,67,1,0,0,0,2,0,0,0,0,0,41,0,6
Derry Scherhant,GER,"FW,MF",19,2002,3.2,50,49,1,0,0,0,3,1,0,0,0,0,33,0,2
Dodi Lukebakio,BEL,"FW,MF",24,1997,26.6,613,565,47,12,4,7,65,3,25,15,6,0,422,1,16
Filip Uremović,CRO,DF,25,1997,19.2,658,603,53,30,0,2,1,23,0,0,0,0,514,2,4
Florian Niederlechner,GER,FW,31,1990,8.7,146,139,7,0,0,1,4,0,0,0,0,0,95,0,6
Ibrahim Maza,GER,"MF,FW",16,2005,0.8,15,12,2,0,0,0,0,0,0,0,0,0,11,1,1
Ivan Šunjić,CRO,MF,25,1996,11.0,361,350,11,4,2,3,1,0,0,0,0,0,270,0,11
Jean-Paul Boëtius,NED,MF,28,1994,11.7,421,390,26,19,4,7,5,0,0,0,0,0,303,5,7
Jessic Ngankam,GER,"FW,MF",22,2000,9.2,113,108,5,1,0,2,2,1,0,0,0,0,70,0,5
Jonjoe Kenny,ENG,DF,25,1997,24.9,1207,955,245,9,0,3,54,235,1,0,0,0,879,7,35
Julian Eitschberger,GER,FW,18,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Kevin-Prince Boateng,GHA,MF,35,1987,5.2,252,224,27,9,1,0,7,10,0,0,0,0,185,1,1
Lucas Tousart,FRA,MF,25,1997,32.7,885,869,12,9,1,3,28,2,0,0,0,0,530,4,39
Marc-Oliver Kempf,GER,DF,27,1995,30.1,1303,1230,68,67,2,17,2,0,0,0,0,0,1011,5,15
Marco Richter,GER,"MF,FW",24,1997,20.4,747,609,134,18,1,9,82,80,28,4,21,0,461,4,33
Marvin Plattenhardt,GER,DF,30,1992,26.7,1208,801,403,81,0,9,156,262,60,19,33,0,794,4,26
Maximilian Mittelstädt,GER,"DF,MF",25,1997,9.4,472,347,123,5,1,5,39,105,13,4,8,0,326,2,11
Myziane Maolida,COM,"FW,MF",23,1999,1.1,15,14,0,0,0,0,1,0,0,0,0,0,8,1,0
Márton Dárdai,HUN,"DF,MF",20,2002,10.5,378,359,17,14,1,7,1,2,1,1,0,0,225,2,6
Oliver Christensen,DEN,GK,23,1999,33.0,1218,858,354,119,0,3,0,0,0,0,0,0,777,6,0
Pascal Klemens,GER,DF,17,2005,1.0,33,33,0,0,0,1,0,0,0,0,0,0,28,0,0
Peter Pekarík,SVK,DF,35,1986,2.3,115,94,21,0,0,1,4,21,0,0,0,0,89,0,2
Stevan Jovetić,MNE,"FW,MF",32,1989,9.9,316,297,17,4,3,4,8,4,1,0,0,0,200,2,12
Suat Serdar,GER,MF,25,1997,22.5,615,583,30,8,3,7,5,0,4,1,2,0,431,2,27
Tjark Ernst,GER,GK,19,2003,1.0,35,19,16,3,0,1,0,0,0,0,0,0,26,0,0
Tolga Ciğerci,TUR,MF,30,1992,7.5,420,369,48,25,1,0,22,1,10,0,8,0,326,3,9
Tony Rölke,GER,FW,19,2003,0.2,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Veit Stange,GER,MF,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimír Darida,CZE,MF,31,1990,0.3,12,10,2,1,0,0,0,0,1,0,0,0,8,0,0
Wilfried Kanga,CIV,FW,24,1998,15.7,251,239,11,0,1,0,8,0,0,0,0,0,154,1,5
