General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Ionuț Radu,ROU,GK,25,1997,9.0,19,3,0,3,0,21.0,0.29,2.0,0.22,38,143,26.6,265,34,41.1,37.3,67,50.7,46.3,107,6,5.6,9,1.0,14.5
Marco Carnesecchi,ITA,GK,22,2000,27.0,47,2,3,7,1,44.2,0.28,-1.8,-0.07,157,523,30.0,745,135,52.2,41.4,203,66.0,53.1,402,29,7.2,29,1.07,14.1
Mouhamadou Sarr,SEN,GK,25,1997,2.0,3,0,0,1,0,2.9,0.36,-0.1,-0.05,19,38,50.0,71,12,40.8,35.7,12,75.0,53.6,18,0,0.0,1,0.5,8.6
