General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Alberto Basso,ITA,MF,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Ferrari,ITA,DF,28,1994,11.2,40,23,32,7,1,28,42,66.7,14,19,4,15,25,65,45,1
Charles Pickel,COD,MF,25,1997,27.6,55,23,25,26,4,32,57,56.1,25,37,5,32,24,79,36,1
Christian Acella,ITA,MF,20,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0
Cristian Buonaiuto,ITA,"MF,FW",29,1992,10.9,25,16,8,11,6,12,26,46.2,14,11,0,11,14,39,7,0
Cyriel Dessers,NGA,FW,27,1994,17.6,11,4,4,4,3,2,6,33.3,4,14,2,12,3,14,5,0
Daniel Ciofani,ITA,FW,37,1985,11.8,6,3,1,2,3,4,7,57.1,3,7,1,6,2,8,10,0
David Okereke,NGA,"FW,MF",24,1997,25.2,12,8,4,5,3,3,16,18.8,13,23,3,20,10,22,12,0
Emanuel Aiwum,AUT,DF,21,2000,18.4,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3
Emanuele Valeri,ITA,DF,23,1998,30.9,54,27,29,21,4,29,69,42.0,40,17,3,14,22,76,44,1
Felix Afena-Gyan,GHA,"FW,MF",19,2003,9.1,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0
Frank Tsadjout,ITA,FW,23,1999,11.7,10,8,3,6,1,3,9,33.3,6,7,1,6,8,18,9,0
Giacomo Quagliata,ITA,DF,22,2000,7.8,10,8,7,1,2,5,11,45.5,6,7,2,5,11,21,8,0
Gonzalo Escalante,ARG,MF,29,1993,6.2,16,8,8,8,0,10,13,76.9,3,7,1,6,10,26,4,0
Ionuț Radu,ROU,GK,25,1997,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,3
Jack Hendry,SCO,DF,27,1995,2.4,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,7,0
Jaime Báez,URU,DF,27,1995,1.1,4,2,3,0,1,3,6,50.0,3,0,0,0,0,4,2,1
Johan Vásquez,MEX,DF,23,1998,20.1,41,26,34,7,0,18,39,46.2,21,27,20,7,45,86,93,1
Leonardo Sernicola,ITA,DF,25,1997,25.7,45,33,25,13,7,29,43,67.4,14,23,6,17,38,83,55,0
Luca Zanimacchia,ITA,"MF,FW",24,1998,8.3,21,13,11,6,4,8,21,38.1,13,9,0,9,9,30,5,0
Luka Lochoshvili,GEO,DF,24,1998,20.4,45,19,30,11,4,22,31,71.0,9,31,10,21,22,67,89,0
Marco Benassi,ITA,MF,27,1994,11.1,26,15,9,11,6,15,24,62.5,9,13,1,12,12,38,19,0
Marco Carnesecchi,ITA,GK,22,2000,27.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2
Matteo Bianchetti,ITA,DF,29,1993,23.7,32,19,21,9,2,20,32,62.5,12,31,17,14,20,52,111,0
Michele Castagnetti,ITA,MF,32,1989,15.7,46,21,20,24,2,18,54,33.3,36,14,4,10,15,61,22,0
Mouhamadou Sarr,SEN,GK,25,1997,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Pablo Galdames Millán,CHI,MF,25,1996,8.2,14,10,8,3,3,5,33,15.2,28,13,2,11,10,24,13,0
Paolo Ghiglione,ITA,DF,25,1997,7.9,16,11,10,3,3,10,23,43.5,13,9,4,5,4,20,12,0
Samuel Di Carmine,ITA,"FW,MF",33,1988,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Santiago Ascacíbar,ARG,MF,25,1997,8.1,29,14,17,10,2,14,35,40.0,21,14,2,12,13,42,11,0
Soualiho Meïté,FRA,MF,28,1994,26.3,47,31,25,15,7,22,46,47.8,24,27,6,21,27,74,36,0
Tommaso Milanese,ITA,MF,20,2002,0.3,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Vlad Chiricheș,ROU,DF,32,1989,10.9,35,20,27,7,1,16,24,66.7,8,36,23,13,22,57,44,0
