General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Forshaw,ENG,MF,30,1991,5.3,12,9,5,7,0,7,17,41.2,10,9,1,8,4,16,2,0
Brenden Aaronson,USA,"MF,FW",21,2000,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1
Cody Drameh,ENG,DF,20,2001,0.8,5,4,0,4,1,2,3,66.7,1,0,0,0,1,6,1,0
Crysencio Summerville,NED,FW,20,2001,15.8,30,20,14,14,2,11,23,47.8,12,20,2,18,13,43,11,0
Daniel James,WAL,FW,24,1997,2.2,6,2,1,3,2,3,6,50.0,3,4,0,4,2,8,2,0
Darko Gyabi,ENG,FW,18,2004,0.1,2,2,1,1,0,0,0,,0,2,0,2,0,2,0,0
Diego Llorente,ESP,DF,28,1993,7.2,13,10,8,5,0,4,8,50.0,4,6,2,4,15,28,24,2
Georginio Rutter,FRA,"FW,MF",20,2002,3.0,10,9,5,3,2,5,8,62.5,3,5,0,5,3,13,3,0
Illan Meslier,FRA,GK,22,2000,34.0,2,1,2,0,0,2,4,50.0,2,0,0,0,1,3,30,3
Jack Harrison,ENG,"FW,MF",25,1996,30.1,41,17,5,15,21,12,52,23.1,40,47,2,45,22,63,25,0
Joe Gelhardt,ENG,FW,20,2002,2.4,6,2,1,3,2,3,5,60.0,2,5,0,5,0,6,4,0
Joel Robles,ESP,GK,32,1990,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1
Junior Firpo,DOM,DF,25,1996,15.2,47,25,27,15,5,24,46,52.2,22,23,7,16,24,71,40,0
Liam Cooper,SCO,DF,30,1991,15.8,38,23,27,9,2,23,36,63.9,13,16,8,8,34,72,57,3
Luis Sinisterra,COL,FW,23,1999,9.6,21,14,8,9,4,11,18,61.1,7,11,1,10,8,29,2,0
Luke Ayling,ENG,DF,30,1991,22.8,66,37,42,15,9,42,85,49.4,43,34,11,23,26,92,52,2
Marc Roca,ESP,MF,25,1996,25.7,66,40,27,34,5,20,65,30.8,45,34,10,24,23,89,24,2
Mateo Joseph,ESP,"FW,MF",18,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Mateusz Klich,POL,"MF,FW",32,1990,3.1,12,8,3,4,5,7,13,53.8,6,4,0,4,0,12,1,0
Maximilian Wöber,AUT,DF,24,1998,14.1,25,18,9,15,1,16,24,66.7,8,32,14,18,27,52,67,1
Pascal Struijk,NED,DF,22,1999,24.4,84,57,43,31,10,49,75,65.3,26,32,12,20,32,116,70,1
Patrick Bamford,ENG,FW,28,1993,16.8,9,6,0,6,3,4,20,20.0,16,12,5,7,5,14,13,0
Rasmus Kristensen,DEN,DF,25,1997,21.8,62,35,35,21,6,42,76,55.3,34,32,14,18,35,97,61,0
Robin Koch,GER,DF,26,1996,35.3,53,30,32,16,5,24,56,42.9,32,44,21,23,43,96,152,1
Rodrigo,ESP,"FW,MF",31,1991,21.5,24,10,2,15,7,8,19,42.1,11,16,4,12,6,30,21,1
Sam Greenwood,ENG,"MF,FW",20,2002,4.7,15,7,7,8,0,8,21,38.1,13,10,2,8,1,16,1,0
Tyler Adams,USA,MF,23,1999,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0
Weston McKennie,USA,MF,23,1998,16.0,30,13,5,18,7,10,29,34.5,19,22,3,19,22,52,26,0
Wilfried Gnonto,ITA,"FW,MF",18,2003,15.0,27,17,7,15,5,10,30,33.3,20,24,1,23,5,32,7,0
