General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Buksa,POL,"FW,MF",26,1996,1.1,1,0,0,0,1,0,3,0.0,3,0,0,0,0,1,0,0
Adrien Thomasson,FRA,"MF,FW",28,1993,14.2,24,17,8,11,5,12,45,26.7,33,25,2,23,4,28,17,0
Alexis Claude-Maurice,FRA,"MF,FW",24,1998,6.7,14,9,5,8,1,6,16,37.5,10,6,0,6,2,16,1,0
Angelo Fulgini,FRA,"MF,FW",25,1996,9.5,14,7,2,4,8,5,14,35.7,9,11,0,11,8,22,2,0
Brice Samba,FRA,GK,28,1994,37.0,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,12,2
Christopher Wooh,CMR,MF,20,2001,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
David Pereira da Costa,POR,"MF,FW",21,2001,15.6,13,7,1,10,2,7,19,36.8,12,19,1,18,11,24,6,0
Deiver Machado,COL,"DF,MF",28,1993,24.3,45,26,18,20,7,21,34,61.8,13,21,4,17,21,66,27,0
Facundo Medina,ARG,DF,23,1999,30.9,31,20,16,15,0,13,35,37.1,22,25,9,16,26,57,62,1
Florian Sotoca,FRA,"MF,FW",31,1990,33.9,39,19,11,17,11,15,40,37.5,25,41,2,39,29,68,51,0
Gaël Kakuta,COD,FW,31,1991,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ignatius Ganago,CMR,FW,23,1999,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Ismaëlben Boura,COM,"DF,FW",21,2000,1.0,6,4,4,2,0,5,6,83.3,1,2,1,1,2,8,3,0
Jean Onana,CMR,"MF,DF",22,2000,9.0,28,17,8,17,3,10,22,45.5,12,15,5,10,18,46,20,0
Jean-Louis Leca,FRA,GK,36,1985,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Jimmy Cabot,FRA,"DF,MF",28,1994,5.7,20,12,10,8,2,12,26,46.2,14,5,0,5,4,24,12,0
Jonathan Gradit,FRA,DF,29,1992,31.4,62,40,30,25,7,31,53,58.5,22,40,26,14,38,100,83,0
Julien Le Cardinal,FRA,DF,24,1997,1.8,6,4,5,0,1,4,6,66.7,2,3,0,3,2,8,5,0
Kevin Danso,AUT,DF,23,1998,35.9,37,19,25,11,1,19,30,63.3,11,48,34,14,33,70,124,0
Loïs Openda,BEL,FW,22,2000,28.0,11,9,2,6,3,2,13,15.4,11,9,0,9,2,13,6,0
Massadio Haïdara,MLI,"DF,MF",29,1992,18.6,24,16,9,9,6,12,24,50.0,12,26,9,17,36,60,39,1
Patrick Berg,NOR,"MF,FW",24,1997,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0
Przemysław Frankowski,POL,"DF,MF",27,1995,31.5,77,51,37,31,9,39,80,48.8,41,38,6,32,41,118,42,2
Rémy Labeau Lascary,GLP,"FW,MF",19,2003,1.4,4,2,4,0,0,0,0,,0,4,0,4,1,5,0,0
Salis Abdul Samed,GHA,MF,22,2000,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0
Seko Fofana,CIV,MF,27,1995,34.1,28,13,8,18,2,15,39,38.5,24,17,4,13,19,47,14,0
Steven Fortes,CPV,DF,30,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Wesley Saïd,FRA,"FW,MF",27,1995,7.2,4,1,1,2,1,2,6,33.3,4,4,0,4,1,5,2,0
Łukasz Poręba,POL,MF,22,2000,2.9,5,4,2,1,2,2,3,66.7,1,3,0,3,4,9,2,0
