General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Adam Buksa,POL,"FW,MF",26,1996,1.1,1,0.89,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Adrien Thomasson,FRA,"MF,FW",28,1993,14.2,42,2.96,37,1,0,2,1,1,9,0.63,8,0,0,0,1,0
Alexis Claude-Maurice,FRA,"MF,FW",24,1998,6.7,15,2.23,9,1,2,2,0,1,3,0.45,2,0,1,0,0,0
Angelo Fulgini,FRA,"MF,FW",25,1996,9.5,45,4.72,23,17,2,2,1,0,4,0.42,3,1,0,0,0,0
Brice Samba,FRA,GK,28,1994,37.0,3,0.08,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Christopher Wooh,CMR,MF,20,2001,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
David Pereira da Costa,POR,"MF,FW",21,2001,15.6,63,4.02,51,1,6,3,1,1,7,0.45,6,0,1,0,0,0
Deiver Machado,COL,"DF,MF",28,1993,24.3,42,1.73,26,4,2,0,8,2,6,0.25,3,2,0,0,0,1
Facundo Medina,ARG,DF,23,1999,30.9,46,1.49,40,2,0,4,0,0,6,0.19,4,1,0,1,0,0
Florian Sotoca,FRA,"MF,FW",31,1990,33.9,135,3.98,110,0,3,13,6,3,21,0.62,19,0,0,1,1,0
Gaël Kakuta,COD,FW,31,1991,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ignatius Ganago,CMR,FW,23,1999,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ismaëlben Boura,COM,"DF,FW",21,2000,1.0,2,1.94,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Jean Onana,CMR,"MF,DF",22,2000,9.0,12,1.33,9,0,0,2,0,1,0,0.0,0,0,0,0,0,0
Jean-Louis Leca,FRA,GK,36,1985,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jimmy Cabot,FRA,"DF,MF",28,1994,5.7,31,5.45,23,7,0,0,0,1,1,0.18,1,0,0,0,0,0
Jonathan Gradit,FRA,DF,29,1992,31.4,49,1.56,40,1,1,0,4,3,8,0.25,8,0,0,0,0,0
Julien Le Cardinal,FRA,DF,24,1997,1.8,7,3.82,4,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Kevin Danso,AUT,DF,23,1998,35.9,41,1.14,38,0,1,0,2,0,5,0.14,4,0,0,0,1,0
Loïs Openda,BEL,FW,22,2000,28.0,67,2.4,39,1,10,10,6,1,12,0.43,6,0,3,3,0,0
Massadio Haïdara,MLI,"DF,MF",29,1992,18.6,18,0.97,15,0,1,0,1,1,3,0.16,1,0,0,0,1,1
Patrick Berg,NOR,"MF,FW",24,1997,0.3,2,7.2,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Przemysław Frankowski,POL,"DF,MF",27,1995,31.5,123,3.91,69,44,3,3,2,2,12,0.38,8,4,0,0,0,0
Rémy Labeau Lascary,GLP,"FW,MF",19,2003,1.4,1,0.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Salis Abdul Samed,GHA,MF,22,2000,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0
Seko Fofana,CIV,MF,27,1995,34.1,94,2.75,78,0,7,2,5,2,13,0.38,10,0,2,0,1,0
Steven Fortes,CPV,DF,30,1992,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Wesley Saïd,FRA,"FW,MF",27,1995,7.2,23,3.21,11,0,9,3,0,0,3,0.42,0,0,2,1,0,0
Łukasz Poręba,POL,MF,22,2000,2.9,9,3.1,8,0,0,0,0,1,2,0.69,1,0,0,0,0,1
