General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Adam Buksa,POL,"FW,MF",26,1996,1.1,35,0,1,19,15,7,35,0,0,,0,,27,115,25,1,0,1,7,2,29,9
Adrien Thomasson,FRA,"MF,FW",28,1993,14.2,707,24,124,342,246,47,707,18,12,66.7,2,11.1,554,2720,956,17,18,2,26,17,518,98
Alexis Claude-Maurice,FRA,"MF,FW",24,1998,6.7,332,7,44,168,124,27,332,30,12,40.0,14,46.7,259,1533,580,11,6,7,18,13,263,43
Angelo Fulgini,FRA,"MF,FW",25,1996,9.5,600,6,52,280,276,19,600,32,13,40.6,16,50.0,471,2562,1039,20,33,5,18,11,445,70
Brice Samba,FRA,GK,28,1994,37.0,1307,942,1291,18,0,0,1307,1,1,100.0,0,0.0,987,5296,3117,0,0,0,1,0,712,0
Christopher Wooh,CMR,MF,20,2001,0.0,3,0,1,2,0,0,3,0,0,,0,,2,4,2,0,0,0,0,0,2,0
David Pereira da Costa,POR,"MF,FW",21,2001,15.6,906,5,58,441,419,45,906,48,27,56.3,16,33.3,773,5249,2537,61,73,9,32,28,736,133
Deiver Machado,COL,"DF,MF",28,1993,24.3,1105,46,269,484,364,30,1105,54,17,31.5,23,42.6,737,4668,2043,59,41,10,30,11,649,131
Facundo Medina,ARG,DF,23,1999,30.9,2728,164,806,1714,237,23,2728,38,24,63.2,9,23.7,2278,14430,8259,81,63,1,22,21,2100,30
Florian Sotoca,FRA,"MF,FW",31,1990,33.9,1887,55,212,915,775,140,1884,40,16,40.0,18,45.0,1446,7373,2546,53,61,16,44,25,1434,302
Gaël Kakuta,COD,FW,31,1991,0.2,18,0,4,11,4,0,18,0,0,,0,,16,103,53,2,2,0,0,0,16,1
Ignatius Ganago,CMR,FW,23,1999,0.7,17,0,2,13,3,0,17,1,0,0.0,1,100.0,13,120,30,0,1,0,2,2,11,3
Ismaëlben Boura,COM,"DF,FW",21,2000,1.0,88,5,21,40,27,1,88,6,4,66.7,2,33.3,58,372,159,6,4,1,6,0,50,11
Jean Onana,CMR,"MF,DF",22,2000,9.0,583,39,138,373,76,9,583,7,7,100.0,0,0.0,433,2452,1007,12,14,2,9,9,397,18
Jean-Louis Leca,FRA,GK,36,1985,1.0,42,40,42,0,0,0,42,0,0,,0,,29,130,31,0,0,0,0,0,19,0
Jimmy Cabot,FRA,"DF,MF",28,1994,5.7,432,13,88,162,193,19,432,24,12,50.0,11,45.8,282,2002,887,26,17,8,26,6,247,65
Jonathan Gradit,FRA,DF,29,1992,31.4,2369,159,749,1452,183,7,2369,26,12,46.2,12,46.2,1860,10993,6399,41,68,2,18,9,1756,9
Julien Le Cardinal,FRA,DF,24,1997,1.8,153,8,28,69,57,5,153,4,2,50.0,1,25.0,103,593,232,4,9,0,4,2,96,13
Kevin Danso,AUT,DF,23,1998,35.9,2686,246,1036,1566,105,32,2686,37,19,51.4,12,32.4,2008,13114,7379,34,32,1,17,17,1820,2
Loïs Openda,BEL,FW,22,2000,28.0,712,7,24,247,458,166,711,54,19,35.2,28,51.9,501,3638,1505,61,40,39,59,24,490,206
Massadio Haïdara,MLI,"DF,MF",29,1992,18.6,1188,76,345,611,237,29,1188,20,8,40.0,6,30.0,823,4538,2253,23,29,5,25,5,751,58
Patrick Berg,NOR,"MF,FW",24,1997,0.3,23,0,5,15,3,0,23,1,0,0.0,1,100.0,17,83,29,0,0,0,1,0,16,4
Przemysław Frankowski,POL,"DF,MF",27,1995,31.5,2129,79,428,815,904,57,2126,32,13,40.6,15,46.9,1364,7257,2684,51,49,10,30,15,1242,237
Rémy Labeau Lascary,GLP,"FW,MF",19,2003,1.4,55,1,9,15,31,12,55,7,2,28.6,5,71.4,40,294,98,3,1,0,8,3,40,16
Salis Abdul Samed,GHA,MF,22,2000,32.2,2224,66,404,1502,340,16,2224,49,29,59.2,13,26.5,1849,9645,3457,33,56,3,39,32,1705,44
Seko Fofana,CIV,MF,27,1995,34.1,2163,32,242,1237,709,108,2161,109,59,54.1,40,36.7,1873,11603,4763,117,95,32,61,42,1763,233
Steven Fortes,CPV,DF,30,1992,0.1,3,0,2,1,0,0,3,0,0,,0,,1,2,2,0,0,0,0,0,1,0
Wesley Saïd,FRA,"FW,MF",27,1995,7.2,270,2,11,145,121,41,270,26,17,65.4,9,34.6,220,1330,491,19,12,6,18,6,217,67
Łukasz Poręba,POL,MF,22,2000,2.9,170,4,20,93,57,1,170,2,1,50.0,1,50.0,126,625,223,3,8,0,5,2,120,18
