General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adrien Thomasson,FRA,MF,28,1993,10.4,19,9,8,6,5,9,30,30.0,21,18,0,18,3,22,2,0
Alexander Djiku,GHA,DF,27,1994,29.7,53,36,37,16,0,26,46,56.5,20,45,19,26,66,119,151,3
Colin Dagba,FRA,"DF,MF",23,1998,10.6,32,20,17,10,5,19,26,73.1,7,18,2,16,17,49,19,0
Dany Jean,HAI,"DF,MF",19,2002,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Dimitri Liénard,FRA,"DF,MF",34,1988,17.1,46,29,20,18,8,34,57,59.6,23,28,4,24,16,62,24,0
Eduard Sobol,UKR,DF,27,1995,9.7,19,10,10,6,3,9,13,69.2,4,10,1,9,8,27,19,0
Franci Bouebari,FRA,DF,18,2003,0.8,3,0,1,2,0,3,5,60.0,2,0,0,0,2,5,2,0
Frederic Guilbert,FRA,DF,27,1994,16.2,47,29,18,23,6,25,43,58.1,18,24,3,21,43,90,33,1
Gerzino Nyamsi,FRA,DF,25,1997,17.5,28,20,14,12,2,10,12,83.3,2,19,11,8,10,38,63,1
Habib Diallo,SEN,FW,27,1995,32.0,18,10,8,7,3,6,16,37.5,10,19,4,15,12,30,26,0
Habib Diarra,SEN,"MF,FW",18,2004,18.1,24,16,10,11,3,15,29,51.7,14,17,1,16,11,35,13,0
Ibrahima Sissoko,MLI,MF,24,1997,14.6,40,22,18,17,5,22,42,52.4,20,20,6,14,10,50,19,0
Ismaël Doukouré,FRA,"DF,MF",19,2003,25.5,48,24,23,21,4,20,34,58.8,14,26,8,18,27,75,54,0
Jean-Eudes Aholou,CIV,MF,28,1994,14.4,34,20,10,20,4,12,31,38.7,19,25,0,25,24,58,15,0
Jean-Ricner Bellegarde,FRA,"MF,FW",24,1998,26.9,47,25,15,21,11,11,25,44.0,14,26,3,23,26,73,22,0
Karol Fila,POL,DF,24,1998,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Kévin Gameiro,FRA,FW,35,1987,23.3,20,10,6,10,4,8,28,28.6,20,10,1,9,9,29,0,0
Lebo Mothiba,RSA,"FW,MF",26,1996,4.8,1,0,1,0,0,0,1,0.0,1,6,1,5,0,1,4,0
Lucas Perrin,FRA,DF,23,1998,19.6,44,27,28,14,2,25,49,51.0,24,13,5,8,36,80,53,0
Ludovic Ajorque,FRA,FW,28,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0
Marvin Senaya,TOG,DF,21,2001,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
Matz Sels,BEL,GK,30,1992,38.0,4,3,4,0,0,4,4,100.0,0,0,0,0,4,8,23,0
Maxime Le Marchand,FRA,DF,32,1989,22.4,39,24,23,14,2,19,31,61.3,12,22,14,8,37,76,74,0
Morgan Sanson,FRA,MF,27,1994,15.8,36,25,10,16,10,17,56,30.4,39,21,1,20,22,58,9,0
Nordine Kandil,FRA,"MF,FW",20,2001,1.1,3,2,1,2,0,0,3,0.0,3,2,0,2,1,4,1,0
Ronaël Pierre-Gabriel,FRA,DF,24,1998,7.3,25,18,11,12,2,15,17,88.2,2,16,3,13,9,34,22,0
Sanjin Prcić,BIH,MF,28,1993,18.1,27,12,6,16,5,19,31,61.3,12,22,7,15,25,52,22,0
Thomas Delaine,FRA,"DF,MF",30,1992,11.9,28,14,16,6,6,13,26,50.0,13,8,3,5,16,44,9,0
Yuito Suzuki,JPN,"FW,MF",20,2001,0.4,0,0,0,0,0,0,0,,0,3,0,3,0,0,0,0
