General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Adrien Thomasson,FRA,MF,28,1993,10.4,640,9,88,305,249,50,640,16,8,50.0,6,37.5,481,2357,930,15,17,3,21,18,453,73
Alexander Djiku,GHA,DF,27,1994,29.7,1873,241,878,932,74,26,1873,6,4,66.7,2,33.3,1173,6156,2955,4,9,1,8,7,1035,4
Colin Dagba,FRA,"DF,MF",23,1998,10.6,617,22,148,258,220,20,617,25,11,44.0,12,48.0,402,2384,1286,26,21,5,9,10,361,48
Dany Jean,HAI,"DF,MF",19,2002,0.1,13,0,1,4,8,0,13,1,0,0.0,1,100.0,9,74,21,1,1,0,1,1,8,2
Dimitri Liénard,FRA,"DF,MF",34,1988,17.1,1169,35,291,514,379,9,1169,27,10,37.0,15,55.6,733,3725,1516,24,39,2,28,10,664,111
Eduard Sobol,UKR,DF,27,1995,9.7,479,19,97,230,156,8,479,25,11,44.0,9,36.0,300,1781,771,16,15,2,12,7,277,54
Franci Bouebari,FRA,DF,18,2003,0.8,36,1,13,12,11,0,36,1,1,100.0,0,0.0,14,46,11,0,0,0,1,2,13,2
Frederic Guilbert,FRA,DF,27,1994,16.2,1065,51,251,571,264,8,1065,35,15,42.9,16,45.7,618,3388,1483,21,25,1,23,6,528,52
Gerzino Nyamsi,FRA,DF,25,1997,17.5,1008,128,472,503,43,18,1008,15,10,66.7,4,26.7,719,4492,2479,13,9,0,11,2,634,3
Habib Diallo,SEN,FW,27,1995,32.0,1007,34,90,430,494,192,1003,71,29,40.8,39,54.9,665,3878,1285,40,28,20,118,35,768,203
Habib Diarra,SEN,"MF,FW",18,2004,18.1,867,12,132,413,336,41,867,62,25,40.3,25,40.3,649,4270,2145,68,44,18,37,21,574,89
Ibrahima Sissoko,MLI,MF,24,1997,14.6,803,40,177,464,176,28,803,17,8,47.1,8,47.1,543,2796,1159,18,23,1,22,19,480,41
Ismaël Doukouré,FRA,"DF,MF",19,2003,25.5,1340,85,467,784,108,3,1340,45,29,64.4,12,26.7,953,5737,2683,27,25,2,21,20,830,20
Jean-Eudes Aholou,CIV,MF,28,1994,14.4,799,26,131,483,194,27,799,34,14,41.2,14,41.2,538,2906,1220,25,18,9,34,15,477,37
Jean-Ricner Bellegarde,FRA,"MF,FW",24,1998,26.9,1589,30,219,833,569,45,1589,111,57,51.4,32,28.8,1129,8275,4230,104,97,16,64,44,1035,110
Karol Fila,POL,DF,24,1998,0.5,46,1,3,19,25,5,46,0,0,,0,,36,237,191,4,1,2,1,0,32,4
Kévin Gameiro,FRA,FW,35,1987,23.3,946,7,71,431,454,102,944,49,19,38.8,24,49.0,723,4243,1691,48,51,17,47,27,693,158
Lebo Mothiba,RSA,"FW,MF",26,1996,4.8,157,5,11,76,71,12,157,9,3,33.3,4,44.4,110,618,198,7,4,2,15,7,116,30
Lucas Perrin,FRA,DF,23,1998,19.6,1006,90,423,501,89,18,1006,12,6,50.0,3,25.0,702,4038,2243,13,12,1,6,4,607,14
Ludovic Ajorque,FRA,FW,28,1994,8.6,336,8,32,172,136,50,335,5,3,60.0,2,40.0,225,901,202,2,7,1,19,10,262,55
Marvin Senaya,TOG,DF,21,2001,0.1,7,2,4,1,2,0,7,0,0,,0,,4,30,11,1,0,0,0,0,3,0
Matz Sels,BEL,GK,30,1992,38.0,1082,936,1076,8,0,0,1082,0,0,,0,,685,3758,2281,0,0,0,1,0,432,0
Maxime Le Marchand,FRA,DF,32,1989,22.4,1405,177,627,720,74,12,1405,17,15,88.2,1,5.9,969,5240,2725,10,19,0,11,4,854,4
Morgan Sanson,FRA,MF,27,1994,15.8,843,11,115,479,265,36,843,46,17,37.0,19,41.3,641,4176,1880,43,49,12,34,23,585,70
Nordine Kandil,FRA,"MF,FW",20,2001,1.1,87,1,11,33,46,5,87,13,6,46.2,7,53.8,69,536,294,9,10,3,5,3,61,9
Ronaël Pierre-Gabriel,FRA,DF,24,1998,7.3,464,34,132,220,114,9,464,16,11,68.8,5,31.3,289,1665,774,16,17,1,10,6,252,35
Sanjin Prcić,BIH,MF,28,1993,18.1,1218,54,292,708,235,7,1218,20,14,70.0,5,25.0,893,4698,1921,14,35,1,9,7,791,14
Thomas Delaine,FRA,"DF,MF",30,1992,11.9,642,28,148,267,239,20,642,27,12,44.4,11,40.7,415,2770,1239,38,27,9,18,5,374,92
Yuito Suzuki,JPN,"FW,MF",20,2001,0.4,23,1,2,10,12,4,23,3,2,66.7,1,33.3,14,135,52,3,1,2,3,0,16,6
