General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adrien Thomasson,FRA,MF,28,1993,10.4,429,524,81.9,6717,1586,214,251,85.3,161,191,84.3,29,41,70.7,2,1.9,1.9,0.1,17,25,13,2,41
Alexander Djiku,GHA,DF,27,1994,29.7,1215,1507,80.6,25533,10650,326,384,84.9,679,778,87.3,190,303,62.7,2,0.7,1.2,1.3,11,117,13,4,136
Colin Dagba,FRA,"DF,MF",23,1998,10.6,401,496,80.8,5529,2050,260,290,89.7,116,148,78.4,12,31,38.7,0,0.8,0.8,-0.8,12,26,15,8,31
Dany Jean,HAI,"DF,MF",19,2002,0.1,4,9,44.4,46,26,2,5,40.0,1,3,33.3,0,0,,0,0.0,0.1,0.0,1,0,1,0,2
Dimitri Liénard,FRA,"DF,MF",34,1988,17.1,728,982,74.1,13692,4011,299,347,86.2,299,372,80.4,106,224,47.3,0,1.9,2.5,-1.9,31,49,25,9,67
Eduard Sobol,UKR,DF,27,1995,9.7,298,391,76.2,4795,1729,156,179,87.2,108,151,71.5,21,43,48.8,1,0.8,0.7,0.2,8,25,10,3,34
Franci Bouebari,FRA,DF,18,2003,0.8,13,23,56.5,195,77,8,12,66.7,5,8,62.5,0,2,0.0,0,0.0,0.0,0.0,1,0,0,0,0
Frederic Guilbert,FRA,DF,27,1994,16.2,617,864,71.4,10774,4127,280,338,82.8,261,346,75.4,56,134,41.8,1,1.0,1.3,0.0,16,35,13,7,52
Gerzino Nyamsi,FRA,DF,25,1997,17.5,710,841,84.4,14214,5117,207,234,88.5,421,460,91.5,74,131,56.5,1,0.1,0.3,0.9,3,55,6,0,68
Habib Diallo,SEN,FW,27,1995,32.0,397,597,66.5,5478,968,245,348,70.4,109,147,74.1,16,24,66.7,1,3.5,4.0,-2.5,27,26,12,1,41
Habib Diarra,SEN,"MF,FW",18,2004,18.1,506,660,76.7,8400,1973,215,258,83.3,217,264,82.2,42,79,53.2,2,2.2,3.1,-0.2,24,42,21,10,52
Ibrahima Sissoko,MLI,MF,24,1997,14.6,489,636,76.9,8178,2320,232,287,80.8,199,245,81.2,41,59,69.5,2,0.9,1.2,1.1,11,50,15,3,67
Ismaël Doukouré,FRA,"DF,MF",19,2003,25.5,910,1106,82.3,17110,6266,348,396,87.9,430,487,88.3,101,176,57.4,1,0.4,0.9,0.6,4,99,9,2,99
Jean-Eudes Aholou,CIV,MF,28,1994,14.4,447,592,75.5,7451,2109,207,255,81.2,179,230,77.8,38,68,55.9,1,1.1,1.3,-0.1,9,53,11,1,50
Jean-Ricner Bellegarde,FRA,"MF,FW",24,1998,26.9,952,1242,76.7,16743,5003,423,489,86.5,396,483,82.0,105,209,50.2,6,5.2,5.8,0.8,57,93,49,18,153
Karol Fila,POL,DF,24,1998,0.5,33,41,80.5,464,131,15,17,88.2,16,19,84.2,0,1,0.0,0,0.0,0.0,0.0,0,5,1,0,4
Kévin Gameiro,FRA,FW,35,1987,23.3,591,747,79.1,7909,1399,354,413,85.7,177,224,79.0,18,24,75.0,0,3.3,3.4,-3.3,25,35,23,3,69
Lebo Mothiba,RSA,"FW,MF",26,1996,4.8,75,98,76.5,969,140,42,49,85.7,25,32,78.1,1,6,16.7,0,0.1,0.1,-0.1,1,5,1,0,7
Lucas Perrin,FRA,DF,23,1998,19.6,678,829,81.8,13175,5389,231,261,88.5,353,400,88.3,82,144,56.9,1,1.0,1.5,0.0,8,56,9,2,50
Ludovic Ajorque,FRA,FW,28,1994,8.6,178,255,69.8,2614,397,103,137,75.2,55,79,69.6,11,16,68.8,0,0.8,0.8,-0.8,10,10,6,0,13
Marvin Senaya,TOG,DF,21,2001,0.1,4,5,80.0,77,58,2,2,100.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,1
Matz Sels,BEL,GK,30,1992,38.0,636,973,65.4,18508,14417,123,125,98.4,269,275,97.8,239,566,42.2,0,0.3,0.0,-0.3,1,17,0,0,0
Maxime Le Marchand,FRA,DF,32,1989,22.4,958,1208,79.3,18366,7641,364,412,88.3,461,527,87.5,111,231,48.1,0,0.3,0.5,-0.3,2,85,9,3,90
Morgan Sanson,FRA,MF,27,1994,15.8,480,620,77.4,8228,2377,221,259,85.3,185,230,80.4,52,89,58.4,2,2.1,2.2,-0.1,18,67,16,3,60
Nordine Kandil,FRA,"MF,FW",20,2001,1.1,44,61,72.1,565,140,27,31,87.1,13,21,61.9,1,3,33.3,1,0.8,0.8,0.2,2,4,2,0,6
Ronaël Pierre-Gabriel,FRA,DF,24,1998,7.3,287,364,78.8,4660,1705,141,164,86.0,122,146,83.6,14,30,46.7,1,0.8,0.7,0.2,4,26,3,3,22
Sanjin Prcić,BIH,MF,28,1993,18.1,890,1056,84.3,17168,4866,341,382,89.3,382,427,89.5,142,204,69.6,1,0.8,1.4,0.2,12,90,10,2,112
Thomas Delaine,FRA,"DF,MF",30,1992,11.9,356,537,66.3,5526,1983,174,216,80.6,155,218,71.1,14,61,23.0,2,1.4,2.5,0.6,9,14,18,13,21
Yuito Suzuki,JPN,"FW,MF",20,2001,0.4,11,13,84.6,196,32,5,7,71.4,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,1,0,3
