name,position,id
James Ward-Prowse,MF,3515d404
Oriol Romeu,MF,4b511457
Mohammed Salisu,DF,0b33f6ad
Jan Bednarek,DF,4115ce4e
Kyle Walker-Peters,DF,984a5a64
Valentino Livramento,DF,afed6722
Mohamed Elyounoussi,"MF,FW",68dc0dac
Che Adams,FW,f2bf1b0f
Armando Broja,FW,97220da2
Nathan Redmond,"MF,FW",ab651565
Fraser Forster,GK,c3e39f12
Romain Perraud,DF,6dfd8f05
Alex McCarthy,GK,36c2ca73
Adam Armstrong,FW,68c720b5
Stuart Armstrong,MF,97333cf5
Ibrahima Diallo,MF,11ff3d56
Nathan Tella,"MF,FW",f1e94cd6
Lyanco,DF,b5bf1770
Jack Stephens,DF,6adbc307
Moussa Djenepo,MF,254147d4
Theo Walcott,"MF,FW",1ecb65be
Yan Valery,DF,531a4aa8
Shane Long,FW,9f472354
Willy Caballero,GK,a179d516
William Smallbone,"MF,FW",5e105217
Kgagelo Chauke,MF,06791660
Tyler Dibling,MF,bdcc89ae
Harry Lewis,GK,c35e99d8
Dynel Simeu,DF,6df49f02
Thierry Small,"DF,MF",6f487e5d
