name,position,id
Hugo Lloris,GK,8f62b6ee
Harry Kane,FW,21a66f6a
Pierre Højbjerg,MF,8b04d6c1
Eric Dier,DF,ac861941
Son Heung-min,"MF,FW",92e7e919
Ben Davies,DF,44781702
Emerson,"DF,MF",df8b52a5
Sergio Reguilón,"DF,MF",3353737a
Cristian Romero,DF,a3d94a58
Lucas Moura,"FW,MF",2b622f01
Davinson Sánchez,DF,da7b447d
Rodrigo Bentancur,MF,3b8674e6
Oliver Skipp,MF,6250083a
Dejan Kulusevski,"MF,FW",df3cda47
Ryan Sessegnon,"DF,MF",6aa3e78b
Japhet Tanganga,DF,e9971f2d
Harry Winks,MF,2f7acede
Matt Doherty,DF,d557d734
Dele Alli,MF,cea4ee8f
Tanguy Ndombele,MF,5cdddffa
Steven Bergwijn,"FW,MF",a29b1131
Giovani Lo Celso,"MF,FW",d7553721
Bryan Gil,"FW,MF",7b5ab7f2
Joe Rodon,DF,8d62d31a
Dane Scarlett,MF,21945a9e
Brandon Austin,GK,5e253986
Jamie Bowden,MF,9a5675c9
Matthew Craig,MF,bc914523
Alfie Devine,MF,ba08056d
Pierluigi Gollini,GK,f0f7f62f
Marcel Lavinier,DF,6b3e4b53
Dilan Markanday,"FW,MF",4f242e0e
Tobi Omole,DF,296904e8
Moussa Sissoko,MF,2acd49b9
Harvey White,MF,4d90ce8c
