name,position,id
Jordan Pickford,GK,4806ec67
Michael Keane,DF,c5b7c315
Séamus Coleman,DF,0420d84f
Abdoulaye Doucouré,MF,02b29014
Richarlison,FW,fa031b34
Demarai Gray,"MF,FW",4468ec10
Anthony Gordon,"MF,FW",2bd83368
Allan,MF,cc700722
Mason Holgate,DF,d0042ab9
Ben Godfrey,DF,9f7c837d
Alex Iwobi,"MF,DF",6ca5ec4b
Andros Townsend,"MF,FW",b28bbd58
Dominic Calvert-Lewin,FW,59e6e5bf
Lucas Digne,DF,1b84dbe1
Vitaliy Mykolenko,DF,30d4a2e5
Jonjoe Kenny,DF,099e666f
Yerry Mina,DF,6d5701f2
Salomón Rondón,FW,b318a643
Fabian Delph,MF,111c3236
André Gomes,MF,1961b2aa
Donny van de Beek,MF,50dc94ce
Jarrad Branthwaite,DF,c1949191
Asmir Begović,GK,7b4de647
Tom Davies,MF,9228b07c
Dele Alli,"MF,FW",cea4ee8f
Jean-Philippe Gbamin,MF,6bd603db
Ellis Simms,FW,26d3b5be
Lewis Dobbin,"FW,MF",e814e1cf
Tyler Onyango,MF,d86a1f3e
Isaac Price,MF,b9403c99
Anwar El Ghazi,"FW,MF",ffa90327
Cenk Tosun,MF,9a104dee
Moise Kean,FW,3d50bcdb
Nathan Broadhead,"FW,MF",43309491
Andy Lonergan,GK,165cf989
Niels Nkounkou,"DF,MF",f5b281e7
Nathan Patterson,DF,230f0471
Harry Tyrer,GK,af49fb14
Reece Welch,DF,a182122b
Charlie Whitaker,MF,08288a57
