NED-Eredivisie
2223
Emmen
Ahmed El Messaoudi
MAR
"MF,FW"
26
1995
25
16
1408
15.6
2
0
2
2
0
0
0
0
2.6
2.6
0.8
3.4
34
58
52
0.13
0.0
0.13
0.13
0.13
0.17
0.05
0.22
0.17
0.22
