General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Anthony Losilla,FRA,MF,36,1986,30.2,650,962,67.6,10825,3793,311,413,75.3,266,376,70.7,52,110,47.3,2,2.2,2.2,-0.2,14,62,8,2,93
Christopher Antwi-Adjei,GHA,"FW,MF",28,1994,22.0,432,712,60.7,6857,2576,234,287,81.5,145,243,59.7,37,116,31.9,6,3.8,3.8,2.2,33,17,30,15,36
Cristian Gamboa,CRC,DF,32,1989,16.4,458,684,67.0,9419,3894,171,206,83.0,190,271,70.1,92,178,51.7,0,0.5,0.7,-0.5,9,57,14,9,56
Danilo Soares,BRA,DF,30,1991,19.6,751,1004,74.8,13624,5004,333,383,86.9,312,412,75.7,92,159,57.9,0,1.3,1.1,-1.3,11,82,14,5,93
Dominique Heintz,GER,DF,28,1993,8.8,269,326,82.5,5201,1712,98,108,90.7,139,158,88.0,30,53,56.6,0,0.2,0.7,-0.2,3,16,8,2,21
Erhan Mašović,SRB,"DF,MF",23,1998,24.2,662,821,80.6,12688,4290,223,259,86.1,367,407,90.2,62,127,48.8,0,1.0,1.0,-1.0,10,41,2,0,60
Gerrit Holtmann,PHI,"FW,MF",27,1995,10.5,155,270,57.4,2007,519,104,132,78.8,35,66,53.0,7,26,26.9,1,0.8,0.8,0.2,10,5,8,4,8
Ivan Ordets,UKR,DF,30,1992,27.2,731,1005,72.7,14758,4989,195,269,72.5,452,542,83.4,75,160,46.9,0,0.8,1.0,-0.8,8,30,3,0,53
Jacek Góralski,POL,MF,29,1992,1.6,31,39,79.5,488,138,14,17,82.4,12,12,100.0,3,6,50.0,0,0.1,0.0,-0.1,2,0,0,0,3
Jannes Horn,GER,"DF,FW",25,1997,0.7,15,19,78.9,211,120,6,7,85.7,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Jordi Osei-Tutu,ENG,"DF,FW",23,1998,8.3,150,217,69.1,2287,881,84,102,82.4,50,71,70.4,12,26,46.2,0,0.2,0.3,-0.2,5,11,5,2,19
Keven Schlotterbeck,GER,DF,25,1997,8.2,208,315,66.0,4404,1552,68,96,70.8,111,145,76.6,29,67,43.3,0,0.5,0.2,-0.5,4,15,1,0,21
Kevin Stöger,AUT,MF,28,1993,28.9,1114,1607,69.3,20465,7740,504,609,82.8,414,570,72.6,163,321,50.8,3,5.7,7.8,-2.7,68,153,46,11,214
Kostas Stafylidis,GRE,"DF,MF",28,1993,11.6,297,423,70.2,5874,2037,113,128,88.3,139,190,73.2,42,89,47.2,2,0.7,0.7,1.3,7,23,5,4,26
Manuel Riemann,GER,GK,33,1988,34.0,1065,1761,60.5,41782,36334,86,87,98.9,302,312,96.8,677,1348,50.2,0,0.1,0.8,-0.1,2,136,7,1,18
Moritz Broschinski,GER,"FW,MF",21,2000,2.4,29,50,58.0,423,74,20,30,66.7,7,11,63.6,2,3,66.7,0,0.0,0.1,0.0,1,2,0,0,3
Patrick Osterhage,GER,MF,22,2000,11.4,238,340,70.0,3496,985,132,171,77.2,82,109,75.2,12,23,52.2,0,0.3,0.6,-0.3,5,15,6,3,26
Philipp Förster,GER,MF,27,1995,14.5,394,546,72.2,6401,2309,218,251,86.9,122,169,72.2,41,86,47.7,7,3.4,2.9,3.6,27,51,16,6,63
Philipp Hofmann,GER,FW,29,1993,29.2,433,743,58.3,5894,1381,269,418,64.4,130,240,54.2,15,24,62.5,2,2.7,3.2,-0.7,27,41,17,0,71
Pierre Kunde,CMR,"MF,FW",27,1995,4.2,119,202,58.9,2164,730,51,68,75.0,53,81,65.4,13,46,28.3,0,0.2,0.2,-0.2,4,18,3,2,16
Saidy Janko,GAM,DF,26,1995,12.6,312,451,69.2,5445,1514,146,184,79.3,127,179,70.9,34,65,52.3,0,0.1,0.2,-0.1,2,26,3,0,29
Silvère Ganvoula M'Boussy,CGO,"FW,MF",26,1996,2.7,49,87,56.3,669,184,32,48,66.7,15,27,55.6,1,6,16.7,0,0.5,0.2,-0.5,5,8,5,0,12
Simon Zoller,GER,FW,31,1991,16.2,208,332,62.7,3203,725,118,171,69.0,72,115,62.6,13,19,68.4,2,1.1,0.5,0.9,9,16,4,0,21
Takuma Asano,JPN,"FW,MF",27,1994,19.0,237,342,69.3,3302,967,147,183,80.3,72,98,73.5,8,23,34.8,3,2.1,2.1,0.9,22,18,18,7,34
Tim Oermann,GER,DF,18,2003,2.2,39,51,76.5,738,268,14,16,87.5,18,19,94.7,6,12,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Vassilis Lambropoulos,GRE,DF,32,1990,7.0,163,240,67.9,3280,1390,51,61,83.6,96,124,77.4,16,52,30.8,0,0.2,0.3,-0.2,1,12,2,0,26
