General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Anthony Losilla,FRA,MF,36,1986,30.2,76,49,32,34,10,38,77,49.4,39,39,12,27,37,113,67,0
Christopher Antwi-Adjei,GHA,"FW,MF",28,1994,22.0,23,15,7,8,8,10,29,34.5,19,17,0,17,5,28,16,0
Cristian Gamboa,CRC,DF,32,1989,16.4,42,24,27,14,1,21,31,67.7,10,20,7,13,16,58,34,1
Danilo Soares,BRA,DF,30,1991,19.6,72,46,42,23,7,43,72,59.7,29,29,6,23,30,102,56,1
Dominique Heintz,GER,DF,28,1993,8.8,13,9,5,7,1,6,17,35.3,11,11,7,4,12,25,34,0
Erhan Mašović,SRB,"DF,MF",23,1998,24.2,50,31,28,21,1,30,51,58.8,21,30,14,16,27,77,79,0
Gerrit Holtmann,PHI,"FW,MF",27,1995,10.5,14,7,6,7,1,12,21,57.1,9,15,1,14,2,16,4,0
Ivan Ordets,UKR,DF,30,1992,27.2,31,19,21,9,1,16,28,57.1,12,34,17,17,57,88,139,0
Jacek Góralski,POL,MF,29,1992,1.6,6,3,3,3,0,4,6,66.7,2,4,0,4,3,9,5,0
Jannes Horn,GER,"DF,FW",25,1997,0.7,2,1,1,1,0,1,1,100.0,0,1,0,1,3,5,2,0
Jordi Osei-Tutu,ENG,"DF,FW",23,1998,8.3,23,18,13,5,5,12,23,52.2,11,12,5,7,10,33,8,0
Keven Schlotterbeck,GER,DF,25,1997,8.2,17,9,12,5,0,9,11,81.8,2,11,5,6,14,31,49,0
Kevin Stöger,AUT,MF,28,1993,28.9,84,45,38,32,14,31,94,33.0,63,27,4,23,26,110,21,1
Kostas Stafylidis,GRE,"DF,MF",28,1993,11.6,27,16,13,8,6,10,24,41.7,14,21,8,13,20,47,31,1
Manuel Riemann,GER,GK,33,1988,34.0,3,2,3,0,0,3,5,60.0,2,1,0,1,5,8,23,7
Moritz Broschinski,GER,"FW,MF",21,2000,2.4,0,0,0,0,0,0,5,0.0,5,1,0,1,0,0,6,0
Patrick Osterhage,GER,MF,22,2000,11.4,20,17,8,10,2,11,16,68.8,5,17,6,11,12,32,25,0
Philipp Förster,GER,MF,27,1995,14.5,31,19,11,15,5,12,40,30.0,28,22,0,22,6,37,6,0
Philipp Hofmann,GER,FW,29,1993,29.2,18,11,0,13,5,5,12,41.7,7,20,8,12,6,24,48,0
Pierre Kunde,CMR,"MF,FW",27,1995,4.2,12,6,3,8,1,6,14,42.9,8,7,1,6,7,19,9,0
Saidy Janko,GAM,DF,26,1995,12.6,23,15,13,8,2,12,20,60.0,8,24,10,14,11,34,33,1
Silvère Ganvoula M'Boussy,CGO,"FW,MF",26,1996,2.7,2,2,0,1,1,0,0,,0,0,0,0,0,2,3,0
Simon Zoller,GER,FW,31,1991,16.2,11,4,2,8,1,4,12,33.3,8,14,1,13,6,17,21,0
Takuma Asano,JPN,"FW,MF",27,1994,19.0,14,9,4,4,6,7,16,43.8,9,17,1,16,8,22,8,0
Tim Oermann,GER,DF,18,2003,2.2,2,1,2,0,0,1,1,100.0,0,3,2,1,1,3,8,1
Vassilis Lambropoulos,GRE,DF,32,1990,7.0,10,8,7,3,0,6,9,66.7,3,5,3,2,13,23,41,0
