General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Alou Kuol,AUS,FW,21,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Atakan Karazor,GER,MF,25,1996,21.8,0,6,0,0.0,0.28,0.0,0.0,,20.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Borna Sosa,CRO,DF,24,1998,21.7,2,15,6,40.0,0.69,0.28,0.13,0.33,20.7,6,0,0,1.0,1.0,0.07,1.0,1.0
Chris Führich,GER,"FW,MF",24,1998,20.9,5,43,13,30.2,2.05,0.62,0.09,0.31,18.5,0,1,1,3.6,2.9,0.07,1.4,1.1
Clinton Mola,ENG,DF,21,2001,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dan-Axel Zagadou,FRA,DF,23,1999,14.1,0,13,3,23.1,0.92,0.21,0.0,0.0,11.1,0,0,0,1.7,1.7,0.13,-1.7,-1.7
Darko Churlinov,MKD,FW,22,2000,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Enzo Millot,FRA,MF,20,2002,9.9,0,17,7,41.2,1.72,0.71,0.0,0.0,18.0,1,0,0,1.2,1.2,0.07,-1.2,-1.2
Fabian Bredlow,GER,GK,27,1995,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Florian Müller,GER,GK,24,1997,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Genki Haraguchi,JPN,MF,31,1991,8.3,0,5,1,20.0,0.6,0.12,0.0,0.0,24.8,1,0,0,0.3,0.3,0.06,-0.3,-0.3
Gil Bastião Dias,POR,FW,25,1996,4.4,1,10,4,40.0,2.26,0.9,0.1,0.25,20.2,0,0,0,0.5,0.5,0.05,0.5,0.5
Hiroki Ito,JPN,DF,23,1999,28.5,1,21,7,33.3,0.74,0.25,0.05,0.14,32.9,2,0,0,0.8,0.8,0.04,0.2,0.2
Josha Vagnoman,GER,DF,21,2000,16.4,2,25,5,20.0,1.52,0.3,0.08,0.4,13.9,0,0,0,2.9,2.9,0.12,-0.9,-0.9
Juan Perea,COL,FW,22,2000,4.6,1,2,1,50.0,0.43,0.22,0.5,1.0,10.6,0,0,0,0.2,0.2,0.09,0.8,0.8
Konstantinos Mavropanos,GRE,DF,24,1997,25.4,2,48,12,25.0,1.89,0.47,0.04,0.17,15.5,0,0,0,4.0,4.0,0.08,-2.0,-2.0
Lauren Ulrich,GER,MF,17,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lilian Egloff,GER,"MF,FW",19,2002,2.7,0,8,0,0.0,2.99,0.0,0.0,,20.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Luca Pfeiffer,GER,FW,25,1996,7.8,0,12,1,8.3,1.54,0.13,0.0,0.0,13.8,0,0,0,1.6,1.6,0.13,-1.6,-1.6
Naouirou Ahamada,FRA,MF,20,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.4,22.1,0,0,0,0.8,0.8,0.05,1.2,1.2
Nikolas Nartey,DEN,"DF,MF",22,2000,5.3,0,4,0,0.0,0.76,0.0,0.0,,23.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Pascal Stenzel,GER,DF,26,1996,3.7,0,2,0,0.0,0.54,0.0,0.0,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Sasa Kalajdzic,AUT,FW,25,1997,2.6,0,5,1,20.0,1.93,0.39,0.0,0.0,10.8,0,0,0,0.5,0.5,0.1,-0.5,-0.5
Serhou Guirassy,GUI,FW,26,1996,18.3,11,47,18,38.3,2.57,0.98,0.19,0.5,15.7,4,2,2,10.8,9.2,0.2,0.2,-0.2
Silas Katompa,COD,"FW,MF",23,1998,22.1,5,42,16,38.1,1.9,0.72,0.1,0.25,16.1,0,1,1,6.5,5.7,0.14,-1.5,-1.7
Tanguy Coulibaly,FRA,"FW,DF",21,2001,3.6,4,11,6,54.5,3.04,1.66,0.27,0.5,19.4,0,1,1,2.3,1.5,0.14,1.7,1.5
Thomas Kastanaras,GRE,"FW,DF",19,2003,0.8,0,2,1,50.0,2.5,1.25,0.0,0.0,13.7,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Tiago Tomás,POR,"FW,MF",20,2002,14.3,3,34,13,38.2,2.37,0.91,0.09,0.23,19.1,0,0,0,2.9,2.9,0.09,0.1,0.1
Waldemar Anton,GER,DF,26,1996,32.6,1,24,5,20.8,0.74,0.15,0.04,0.2,18.3,0,0,0,1.6,1.6,0.07,-0.6,-0.6
Wataru Endo,JPN,MF,29,1993,32.5,5,45,15,33.3,1.39,0.46,0.11,0.33,16.7,0,0,0,3.8,3.8,0.09,1.2,1.2
