General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Alou Kuol,AUS,FW,21,2000,0.1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,1,0,0
Atakan Karazor,GER,MF,25,1996,21.8,1349,79,415,802,147,7,1349,23,14,60.9,5,21.7,598,2253,888,5,10,0,20,17,783,12
Borna Sosa,CRO,DF,24,1998,21.7,1630,51,386,631,630,20,1630,33,17,51.5,13,39.4,890,4751,2414,58,54,8,20,16,999,152
Chris Führich,GER,"FW,MF",24,1998,20.9,948,16,131,376,461,69,947,106,50,47.2,45,42.5,575,4471,2403,93,60,31,36,29,641,142
Clinton Mola,ENG,DF,21,2001,0.2,14,4,9,4,2,0,14,0,0,,0,,1,11,0,0,0,0,0,0,0,0
Dan-Axel Zagadou,FRA,DF,23,1999,14.1,1150,155,631,497,28,20,1150,1,1,100.0,0,0.0,673,2911,1308,3,1,0,5,3,787,0
Darko Churlinov,MKD,FW,22,2000,0.3,5,1,2,3,0,0,5,0,0,,0,,1,1,0,0,0,0,1,1,1,0
Enzo Millot,FRA,MF,20,2002,9.9,545,15,94,264,196,35,545,46,21,45.7,19,41.3,285,1785,729,23,14,7,18,13,354,58
Fabian Bredlow,GER,GK,27,1995,15.0,625,524,623,2,0,0,625,0,0,,0,,383,1919,929,0,0,0,0,0,339,0
Florian Müller,GER,GK,24,1997,19.0,775,628,761,16,0,0,775,0,0,,0,,447,2237,1279,0,0,0,0,0,419,0
Genki Haraguchi,JPN,MF,31,1991,8.3,381,13,66,219,100,9,381,15,9,60.0,5,33.3,238,1148,539,16,10,3,15,5,262,28
Gil Bastião Dias,POR,FW,25,1996,4.4,246,4,46,111,97,13,246,19,10,52.6,8,42.1,157,1079,531,16,5,4,17,11,164,33
Hiroki Ito,JPN,DF,23,1999,28.5,2367,224,1077,1156,160,11,2367,12,5,41.7,6,50.0,1417,7044,4013,29,27,2,21,6,1552,29
Josha Vagnoman,GER,DF,21,2000,16.4,765,38,200,293,281,48,765,35,22,62.9,12,34.3,387,2071,1007,27,24,7,34,18,465,93
Juan Perea,COL,FW,22,2000,4.6,145,3,14,65,66,12,145,16,4,25.0,12,75.0,89,664,165,9,4,2,17,10,95,29
Konstantinos Mavropanos,GRE,DF,24,1997,25.4,1875,217,874,875,157,47,1875,40,16,40.0,16,40.0,982,4958,2663,34,26,2,31,5,1099,13
Lauren Ulrich,GER,MF,17,2005,0.1,8,0,0,1,7,1,8,0,0,,0,,1,16,16,1,0,0,2,0,3,0
Lilian Egloff,GER,"MF,FW",19,2002,2.7,113,1,15,40,58,14,113,5,3,60.0,1,20.0,62,325,131,8,3,3,10,5,68,22
Luca Pfeiffer,GER,FW,25,1996,7.8,255,5,16,156,85,29,255,6,2,33.3,3,50.0,136,565,254,9,8,0,13,6,195,38
Naouirou Ahamada,FRA,MF,20,2002,15.5,674,18,139,387,160,22,674,44,20,45.5,20,45.5,408,2988,1511,43,27,6,34,11,453,54
Nikolas Nartey,DEN,"DF,MF",22,2000,5.3,340,10,103,172,70,4,340,8,4,50.0,3,37.5,163,718,356,7,5,1,4,9,205,20
Pascal Stenzel,GER,DF,26,1996,3.7,259,14,90,117,54,2,259,4,0,0.0,3,75.0,109,410,221,3,5,2,5,0,131,5
Sasa Kalajdzic,AUT,FW,25,1997,2.6,85,0,4,44,37,18,85,1,0,0.0,1,100.0,31,71,14,0,0,0,5,3,66,13
Serhou Guirassy,GUI,FW,26,1996,18.3,647,17,40,333,278,89,645,35,14,40.0,13,37.1,379,1676,675,20,19,14,53,20,525,97
Silas Katompa,COD,"FW,MF",23,1998,22.1,675,7,62,272,364,102,674,111,48,43.2,55,49.5,455,3712,1655,71,40,39,68,44,469,165
Tanguy Coulibaly,FRA,"FW,DF",21,2001,3.6,206,2,30,81,101,17,205,22,11,50.0,11,50.0,126,811,415,14,9,5,7,9,123,38
Thomas Kastanaras,GRE,"FW,DF",19,2003,0.8,29,1,5,13,11,3,29,1,0,0.0,1,100.0,15,45,23,1,0,0,5,0,17,6
Tiago Tomás,POR,"FW,MF",20,2002,14.3,510,8,57,199,259,55,510,58,19,32.8,29,50.0,322,1677,812,31,17,16,43,25,382,95
Waldemar Anton,GER,DF,26,1996,32.6,2435,244,1128,1083,249,36,2435,38,19,50.0,18,47.4,1383,8281,4557,56,34,4,24,17,1531,52
Wataru Endo,JPN,MF,29,1993,32.5,1873,108,507,1013,380,55,1873,55,28,50.9,20,36.4,994,4470,2190,32,38,5,55,52,1217,67
