General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Alou Kuol,AUS,FW,21,2000,0.1,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Atakan Karazor,GER,MF,25,1996,21.8,945,1116,84.7,16475,4393,407,468,87.0,444,498,89.2,75,105,71.4,1,0.6,1.2,0.4,14,73,7,0,79
Borna Sosa,CRO,DF,24,1998,21.7,1076,1458,73.8,18458,7607,558,626,89.1,375,515,72.8,116,256,45.3,7,6.5,8.2,0.5,67,80,57,37,128
Chris Führich,GER,"FW,MF",24,1998,20.9,552,704,78.4,8781,2032,300,342,87.7,195,236,82.6,43,78,55.1,2,4.8,3.5,-2.8,24,43,21,3,83
Clinton Mola,ENG,DF,21,2001,0.2,3,6,50.0,52,24,1,1,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Dan-Axel Zagadou,FRA,DF,23,1999,14.1,841,985,85.4,17357,6453,237,273,86.8,478,523,91.4,124,171,72.5,0,0.6,0.2,-0.6,9,45,1,0,44
Darko Churlinov,MKD,FW,22,2000,0.3,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Enzo Millot,FRA,MF,20,2002,9.9,311,396,78.5,4366,1069,176,207,85.0,107,122,87.7,13,28,46.4,1,1.6,2.2,-0.6,12,22,12,4,29
Fabian Bredlow,GER,GK,27,1995,15.0,510,595,85.7,12242,7412,114,114,100.0,278,280,99.3,117,199,58.8,0,0.0,0.0,0.0,0,6,0,0,0
Florian Müller,GER,GK,24,1997,19.0,597,733,81.4,15453,10711,130,131,99.2,299,304,98.4,164,292,56.2,0,0.1,0.1,-0.1,2,7,1,0,2
Genki Haraguchi,JPN,MF,31,1991,8.3,243,301,80.7,3710,864,134,153,87.6,79,93,84.9,16,25,64.0,2,0.7,0.3,1.3,8,30,2,2,30
Gil Bastião Dias,POR,FW,25,1996,4.4,120,174,69.0,1874,372,57,77,74.0,52,61,85.2,5,13,38.5,0,0.7,0.5,-0.7,8,7,7,1,14
Hiroki Ito,JPN,DF,23,1999,28.5,1708,2100,81.3,35665,12945,564,631,89.4,885,983,90.0,246,432,56.9,1,2.1,2.8,-1.1,20,142,11,2,158
Josha Vagnoman,GER,DF,21,2000,16.4,453,584,77.6,6868,2125,247,291,84.9,164,217,75.6,24,33,72.7,2,1.6,1.9,0.4,11,28,14,3,43
Juan Perea,COL,FW,22,2000,4.6,50,79,63.3,753,185,30,40,75.0,13,21,61.9,5,9,55.6,0,0.7,0.4,-0.7,2,7,2,1,8
Konstantinos Mavropanos,GRE,DF,24,1997,25.4,1255,1512,83.0,27727,9978,370,430,86.0,631,711,88.7,246,329,74.8,1,1.1,0.9,-0.1,15,92,12,2,120
Lauren Ulrich,GER,MF,17,2005,0.1,4,5,80.0,52,7,3,3,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Lilian Egloff,GER,"MF,FW",19,2002,2.7,42,73,57.5,574,201,29,39,74.4,11,16,68.8,1,5,20.0,0,0.4,0.8,-0.4,4,3,3,0,7
Luca Pfeiffer,GER,FW,25,1996,7.8,129,201,64.2,2051,499,68,96,70.8,44,67,65.7,11,16,68.8,0,1.0,1.1,-1.0,12,8,5,1,22
Naouirou Ahamada,FRA,MF,20,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,0.8,15,38,7,2,56
Nikolas Nartey,DEN,"DF,MF",22,2000,5.3,225,282,79.8,3486,1202,130,149,87.2,80,100,80.0,12,26,46.2,0,0.3,0.2,-0.3,4,17,5,1,22
Pascal Stenzel,GER,DF,26,1996,3.7,174,223,78.0,3784,1405,71,78,91.0,58,72,80.6,44,67,65.7,1,0.6,0.6,0.4,8,11,4,2,13
Sasa Kalajdzic,AUT,FW,25,1997,2.6,40,63,63.5,689,172,19,30,63.3,14,22,63.6,4,5,80.0,3,0.6,0.3,2.4,6,3,0,0,4
Serhou Guirassy,GUI,FW,26,1996,18.3,329,448,73.4,4462,708,204,243,84.0,92,125,73.6,14,27,51.9,0,1.4,1.0,-1.4,19,20,6,0,30
Silas Katompa,COD,"FW,MF",23,1998,22.1,295,399,73.9,4429,1102,163,203,80.3,105,127,82.7,14,27,51.9,2,1.9,2.7,0.1,18,17,18,5,40
Tanguy Coulibaly,FRA,"FW,DF",21,2001,3.6,98,141,69.5,1412,420,61,70,87.1,29,40,72.5,5,13,38.5,0,0.5,0.7,-0.5,6,8,4,1,12
