General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Abdallah Sima,SEN,FW,21,2001,20.4,34,1.67,24,0,1,4,5,0,7,0.34,2,0,1,1,3,0
Abdoulaye Bamba,CIV,DF,32,1990,15.2,8,0.53,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Adrien Hunou,FRA,"MF,FW",28,1994,24.8,48,1.94,36,1,1,3,7,0,6,0.24,3,0,0,1,2,0
Amine Salama,FRA,"FW,MF",22,2000,13.9,27,1.94,18,0,4,3,2,0,1,0.07,1,0,0,0,0,0
Antonin Bobichon,FRA,MF,26,1995,0.2,2,10.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Azzedine Ounahi,MAR,"MF,FW",22,2000,12.5,43,3.42,34,1,4,3,1,0,3,0.24,2,0,0,1,0,0
Batista Mendy,FRA,"MF,DF",22,2000,31.8,40,1.26,36,0,3,1,0,0,0,0.0,0,0,0,0,0,0
Cédric Hountondji,BEN,DF,28,1994,34.4,13,0.38,12,0,0,1,0,0,2,0.06,1,0,0,1,0,0
Faouzi Ghoulam,ALG,DF,31,1991,5.3,17,3.2,6,10,0,0,1,0,1,0.19,1,0,0,0,0,0
Farid El Melali,ALG,"DF,FW",25,1997,9.0,12,1.34,7,1,2,0,2,0,1,0.11,1,0,0,0,0,0
Halid Šabanović,BIH,DF,22,1999,7.1,3,0.42,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Himad Abdelli,ALG,"MF,FW",22,1999,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0
Ibrahim Amadou,FRA,"DF,MF",29,1993,4.7,3,0.64,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ibrahima Niane,SEN,FW,23,1999,12.6,20,1.58,12,1,1,0,6,0,3,0.24,2,1,0,0,0,0
Ilyes Cheti,ALG,DF,27,1995,2.3,1,0.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jason Mbock,FRA,"MF,FW",22,1999,0.3,1,3.6,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Jean Mattéo Bahoya,FRA,"FW,MF",17,2005,3.0,4,1.34,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Justin-Noël Kalumba,FRA,DF,17,2004,6.1,8,1.32,3,0,0,1,4,0,0,0.0,0,0,0,0,0,0
Lilian Raolisoa,FRA,"DF,MF",22,2000,1.9,6,3.12,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Lois Diony,FRA,FW,29,1992,5.6,11,1.96,7,0,2,1,1,0,0,0.0,0,0,0,0,0,0
Marin Jakoliš,CRO,FW,25,1996,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Miha Blažič,SVN,DF,29,1993,22.0,5,0.23,5,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Nabil Bentaleb,ALG,MF,27,1994,27.7,72,2.61,42,18,6,1,3,2,8,0.29,6,2,0,0,0,0
Ousmane Camara,FRA,DF,19,2003,5.8,1,0.17,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Paul Bernardoni,FRA,GK,25,1997,27.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Pierrick Capelle,FRA,"MF,DF",35,1987,15.9,33,2.08,22,8,1,2,0,0,5,0.32,3,1,1,0,0,0
Sada Thioub,SEN,"DF,FW",27,1995,11.8,37,3.14,27,4,4,1,0,1,4,0.34,4,0,0,0,0,0
Sofiane Boufal,MAR,"FW,MF",28,1993,9.3,52,5.61,38,3,4,1,6,0,6,0.65,3,1,0,0,2,0
Souleyman Doumbia,CIV,"DF,FW",25,1996,19.9,32,1.61,25,0,3,0,3,1,0,0.0,0,0,0,0,0,0
Waniss Taibi,FRA,MF,20,2002,2.1,2,0.95,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Yahia Fofana,CIV,GK,21,2000,11.0,2,0.18,2,0,0,0,0,0,1,0.09,1,0,0,0,0,0
Yan Valery,TUN,DF,23,1999,27.7,37,1.33,25,2,5,2,3,0,1,0.04,1,0,0,0,0,0
Zinédine Ould Khaled,FRA,"MF,FW",22,2000,0.6,1,1.76,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
