General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Abdallah Sima,SEN,FW,21,2001,20.4,374,334,39,0,1,1,16,6,0,0,0,0,274,1,15
Abdoulaye Bamba,CIV,DF,32,1990,15.2,721,651,70,17,2,0,19,53,0,0,0,0,619,0,10
Adrien Hunou,FRA,"MF,FW",28,1994,24.8,753,712,34,2,2,1,16,13,4,1,1,0,572,7,17
Amine Salama,FRA,"FW,MF",22,2000,13.9,321,303,16,0,2,0,12,0,0,0,0,0,236,2,10
Antonin Bobichon,FRA,MF,26,1995,0.2,20,19,1,0,1,0,2,0,1,1,0,0,12,0,2
Azzedine Ounahi,MAR,"MF,FW",22,2000,12.5,630,603,24,13,2,7,17,4,5,4,0,0,542,3,11
Batista Mendy,FRA,"MF,DF",22,2000,31.8,1432,1399,29,27,4,13,9,2,0,0,0,0,1234,4,18
Cédric Hountondji,BEN,DF,28,1994,34.4,1446,1400,44,38,0,8,2,6,0,0,0,0,1251,2,6
Faouzi Ghoulam,ALG,DF,31,1991,5.3,329,242,86,22,0,1,38,48,15,3,12,0,233,1,10
Farid El Melali,ALG,"DF,FW",25,1997,9.0,282,241,38,2,0,2,16,33,3,1,0,0,196,3,13
Halid Šabanović,BIH,DF,22,1999,7.1,280,233,47,3,0,2,8,44,0,0,0,0,228,0,2
Himad Abdelli,ALG,"MF,FW",22,1999,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22
Ibrahim Amadou,FRA,"DF,MF",29,1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5
Ibrahima Niane,SEN,FW,23,1999,12.6,232,206,25,1,2,3,7,2,0,0,0,0,175,1,6
Ilyes Cheti,ALG,DF,27,1995,2.3,118,99,19,0,0,0,5,19,0,0,0,0,102,0,2
Jason Mbock,FRA,"MF,FW",22,1999,0.3,10,6,4,0,0,0,4,1,2,2,0,0,6,0,1
Jean Mattéo Bahoya,FRA,"FW,MF",17,2005,3.0,82,81,1,0,0,0,2,0,1,0,0,0,69,0,2
Justin-Noël Kalumba,FRA,DF,17,2004,6.1,164,152,12,0,0,0,13,10,2,1,1,0,131,0,9
Lilian Raolisoa,FRA,"DF,MF",22,2000,1.9,119,103,16,2,1,1,10,13,1,1,0,0,98,0,0
Lois Diony,FRA,FW,29,1992,5.6,142,127,15,0,0,1,3,2,0,0,0,0,109,0,3
Marin Jakoliš,CRO,FW,25,1996,0.3,7,6,1,0,0,0,2,0,1,0,1,0,4,0,0
Miha Blažič,SVN,DF,29,1993,22.0,1182,1129,52,48,1,5,1,3,0,0,0,0,1034,1,1
Nabil Bentaleb,ALG,MF,27,1994,27.7,1853,1660,185,123,7,20,96,1,61,49,11,0,1512,8,22
Ousmane Camara,FRA,DF,19,2003,5.8,363,354,7,6,0,1,0,1,0,0,0,0,330,2,5
Paul Bernardoni,FRA,GK,25,1997,27.0,667,416,248,63,0,0,0,0,0,0,0,0,438,3,1
Pierrick Capelle,FRA,"MF,DF",35,1987,15.9,714,651,63,12,0,4,46,21,29,16,8,0,590,0,10
Sada Thioub,SEN,"DF,FW",27,1995,11.8,533,479,52,4,2,4,37,38,10,3,7,0,427,2,9
Sofiane Boufal,MAR,"FW,MF",28,1993,9.3,487,446,39,11,4,6,37,10,16,10,0,0,370,2,13
Souleyman Doumbia,CIV,"DF,FW",25,1996,19.9,952,779,173,16,0,0,48,154,3,3,0,0,762,0,26
Waniss Taibi,FRA,MF,20,2002,2.1,150,148,2,1,1,0,1,1,0,0,0,0,134,0,5
Yahia Fofana,CIV,GK,21,2000,11.0,325,229,96,27,0,0,0,0,0,0,0,0,227,0,0
Yan Valery,TUN,DF,23,1999,27.7,1292,1066,225,21,0,6,81,204,0,0,0,0,950,1,38
Zinédine Ould Khaled,FRA,"MF,FW",22,2000,0.6,36,36,0,0,0,0,0,0,0,0,0,0,34,0,0
