comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,date,match_id
Premier League,Matchweek 10,L 1–3,cd051869,943e8050,0,0,0,0,0,0,0,0,0,0,0,2021-10-30,c8915e9e
Premier League,Matchweek 11,L 1–2,cd051869,1c781004,0,0,0,0,0,0,0,0,0,0,0,2021-11-06,0f029791
Premier League,Matchweek 12,D 3–3,cd051869,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,2021-11-20,adbf56bc
Premier League,Matchweek 13,W 1–0,cd051869,d3fd31cc,0,0,0,0,0,0,0,0,0,0,0,2021-11-28,286c4c1c
Premier League,Matchweek 14,L 0–2,cd051869,361ca564,0,0,0,0,0,0,0,0,0,0,0,2021-12-02,a80b3790
Premier League,Matchweek 15,D 2–2,cd051869,5bfb9659,0,0,0,0,0,0,0,0,0,0,0,2021-12-05,175160b7
Premier League,Matchweek 16,W 2–1,cd051869,2abfe087,0,0,0,0,0,0,0,0,0,0,0,2021-12-10,49a36a4e
Premier League,Matchweek 19,L 0–2,cd051869,d07537b9,0,0,0,0,0,0,0,0,0,0,0,2021-12-26,1f64133b
Premier League,Matchweek 20,L 0–1,cd051869,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,2021-12-29,1a0df937
Premier League,Matchweek 21,W 2–1,cd051869,8602292d,0,0,0,0,0,0,0,0,0,0,0,2022-01-02,dfaa1817
