NED-Eredivisie
2223
Twente
Alfons Sampsted
ISL
DF
24
1998
12
5
457
5.1
0
0
0
0
0
0
1
0
0.0
0.0
0.7
0.7
8
18
23
0.0
0.0
0.0
0.0
0.0
0.01
0.14
0.15
0.01
0.15
