comp,round,result,squad,opponent,start,min,performance_sota,performance_ga,performance_saves,performance_save%,performance_cs,penalty kicks_pkatt,penalty kicks_pka,penalty kicks_pksv,penalty kicks_pkm,date,match_id
Premier League,Matchweek 1,L 0–1,d3fd31cc,fd962109,0,0,0,0,0,0,0,0,0,0,0,2023-08-12,15addfc7
Premier League,Matchweek 2,L 0–4,d3fd31cc,8602292d,0,0,0,0,0,0,0,0,0,0,0,2023-08-20,959b558d
Premier League,Matchweek 3,L 0–1,d3fd31cc,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,2023-08-26,18dfee28
Premier League,Matchweek 4,D 2–2,d3fd31cc,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,2023-09-02,87b46bb9
Premier League,Matchweek 5,L 0–1,d3fd31cc,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,2023-09-17,b1278924
Premier League,Matchweek 6,W 3–1,d3fd31cc,cd051869,0,0,0,0,0,0,0,0,0,0,0,2023-09-23,96681b93
Premier League,Matchweek 7,L 1–2,d3fd31cc,e297cd13,0,0,0,0,0,0,0,0,0,0,0,2023-09-30,921d5f17
Premier League,Matchweek 8,W 3–0,d3fd31cc,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,2023-10-07,497b9558
Premier League,Matchweek 9,L 0–2,d3fd31cc,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,2023-10-21,e747ddb3
Premier League,Matchweek 10,W 1–0,d3fd31cc,7c21e445,0,0,0,0,0,0,0,0,0,0,0,2023-10-29,868a89be
Premier League,Matchweek 11,D 1–1,d3fd31cc,d07537b9,0,0,0,0,0,0,0,0,0,0,0,2023-11-04,6ecb53ac
Premier League,Matchweek 12,W 3–2,d3fd31cc,47c64c55,0,0,0,0,0,0,0,0,0,0,0,2023-11-11,a4795b68
Premier League,Matchweek 13,L 0–3,d3fd31cc,19538871,0,0,0,0,0,0,0,0,0,0,0,2023-11-26,f82a83dd
Premier League,Matchweek 14,W 1–0,d3fd31cc,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,2023-12-02,0486198b
Premier League,Matchweek 15,W 3–0,d3fd31cc,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,2023-12-07,2fe9d766
Premier League,Matchweek 16,W 2–0,d3fd31cc,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,2023-12-10,953b5f9b
Premier League,Matchweek 17,W 2–0,d3fd31cc,943e8050,0,0,0,0,0,0,0,0,0,0,0,2023-12-16,01904d1d
Premier League,Matchweek 18,L 1–2,d3fd31cc,361ca564,0,0,0,0,0,0,0,0,0,0,0,2023-12-23,849071fe
Premier League,Matchweek 19,L 1–3,d3fd31cc,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,2023-12-27,b9f69f01
Premier League,Matchweek 20,L 0–3,d3fd31cc,8cec06e1,0,0,0,0,0,0,0,0,0,0,0,2023-12-30,7dfc59ca
Premier League,Matchweek 21,D 0–0,d3fd31cc,8602292d,0,0,0,0,0,0,0,0,0,0,0,2024-01-14,1628c63e
Premier League,Matchweek 22,D 0–0,d3fd31cc,fd962109,0,0,0,0,0,0,0,0,0,0,0,2024-01-30,17d24e01
Premier League,Matchweek 23,D 2–2,d3fd31cc,361ca564,0,0,0,0,0,0,0,0,0,0,0,2024-02-03,fd68d50e
Premier League,Matchweek 24,L 0–2,d3fd31cc,b8fd03ef,0,0,0,0,0,0,0,0,0,0,0,2024-02-10,00ea7906
Premier League,Matchweek 25,D 1–1,d3fd31cc,47c64c55,0,0,0,0,0,0,0,0,0,0,0,2024-02-19,573f2f77
Premier League,Matchweek 26,D 1–1,d3fd31cc,d07537b9,0,0,0,0,0,0,0,0,0,0,0,2024-02-24,eb7c6993
Premier League,Matchweek 27,L 1–3,d3fd31cc,7c21e445,0,0,0,0,0,0,0,0,0,0,0,2024-03-02,e9183936
Premier League,Matchweek 28,L 0–2,d3fd31cc,19538871,0,0,0,0,0,0,0,0,0,0,0,2024-03-09,fede7f6e
Premier League,Matchweek 30,L 1–2,d3fd31cc,4ba7cbea,0,0,0,0,0,0,0,0,0,0,0,2024-03-30,0eaaf0ab
Premier League,Matchweek 31,D 1–1,d3fd31cc,b2b47a98,0,0,0,0,0,0,0,0,0,0,0,2024-04-02,52846bc3
Premier League,Matchweek 32,W 1–0,d3fd31cc,943e8050,0,0,0,0,0,0,0,0,0,0,0,2024-04-06,cc7efb48
Premier League,Matchweek 33,L 0–6,d3fd31cc,cff3d9bb,0,0,0,0,0,0,0,0,0,0,0,2024-04-15,1a41ac25
Premier League,Matchweek 34,W 2–0,d3fd31cc,e4a775cb,0,0,0,0,0,0,0,0,0,0,0,2024-04-21,3025d010
Premier League,Matchweek 29,W 2–0,d3fd31cc,822bd0ba,0,0,0,0,0,0,0,0,0,0,0,2024-04-24,971e0a29
Premier League,Matchweek 35,W 1–0,d3fd31cc,cd051869,0,0,0,0,0,0,0,0,0,0,0,2024-04-27,c813a2ae
Premier League,Matchweek 36,D 1–1,d3fd31cc,e297cd13,0,0,0,0,0,0,0,0,0,0,0,2024-05-03,76d10c7d
Premier League,Matchweek 37,W 1–0,d3fd31cc,1df6b87e,0,0,0,0,0,0,0,0,0,0,0,2024-05-11,482e6ce4
Premier League,Matchweek 38,L 1–2,d3fd31cc,18bb7c10,0,0,0,0,0,0,0,0,0,0,0,2024-05-19,3e33bd98
