General,General,General,General,General,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial duels,Aerial duels,Aerial duels
Player,Nation,Pos,Age,Born,90s,Crdy,Crdr,2crdy,Fls,Fld,Off,Crs,Int,Tklw,Pkwon,Pkcon,Og,Recov,Won,Lost,Won%
Agustín Marchesín,ARG,GK,34,1988,19.0,2,0,0,0,4,0,0,0,0,0,0,0,22,3,0,100.0
Augusto Solari,ARG,MF,30,1992,2.9,0,0,0,9,4,0,3,4,6,0,0,0,18,4,3,57.1
Carles Pérez,ESP,"MF,FW",24,1998,23.8,5,0,0,35,37,9,36,6,23,1,0,0,110,6,40,13.0
Carlos Dominguez,ESP,DF,21,2001,1.2,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,100.0
Fernando Medrano,ESP,DF,22,2000,0.1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,
Fran Beltrán,ESP,MF,23,1999,31.7,4,0,0,26,16,2,51,53,22,0,1,0,196,18,48,27.3
Franco Cervi,ARG,"MF,DF",28,1994,21.0,2,1,0,27,42,2,113,36,46,0,0,0,145,12,25,32.4
Gabriel Veiga,ESP,MF,20,2002,25.5,6,1,0,42,41,4,27,21,19,0,0,0,132,19,17,52.8
Gonçalo Paciência,POR,"FW,MF",27,1994,7.4,2,1,0,19,17,0,6,0,5,0,0,0,20,29,23,55.8
Haris Seferović,SUI,FW,30,1992,9.9,3,0,0,4,7,14,21,1,3,0,0,0,24,19,19,50.0
Hugo Mallo,ESP,DF,31,1991,24.0,6,1,1,44,23,6,67,24,29,0,1,0,124,52,46,53.1
Hugo Sotelo,ESP,MF,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Iago Aspas,ESP,FW,34,1987,31.9,6,0,0,16,59,12,45,7,4,0,0,0,103,31,45,40.8
Iván Villar,ESP,GK,25,1997,19.0,0,0,0,0,2,0,0,0,0,0,0,0,23,2,1,66.7
Javi Galán,ESP,DF,27,1994,35.1,6,0,0,50,73,8,162,41,72,0,1,0,211,33,24,57.9
Joseph Aidoo,GHA,DF,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
Jørgen Strand Larsen,NOR,FW,22,2000,18.9,4,0,0,34,43,13,4,3,7,1,0,0,42,42,47,47.2
Kevin Vázquez,ESP,"DF,MF",29,1993,4.9,2,0,0,8,5,1,7,2,8,0,0,0,28,2,6,25.0
Luca de la Torre,USA,MF,24,1998,16.5,6,0,0,33,12,4,21,9,19,0,0,0,98,5,23,17.9
Miguel Rodríguez,ESP,"MF,FW",19,2003,2.8,0,0,0,6,8,1,13,1,5,0,0,0,16,1,8,11.1
Pablo Durán,ESP,"MF,DF",21,2001,0.4,0,0,0,1,0,1,1,1,0,0,0,0,3,1,1,50.0
Renato Tapia,PER,"MF,DF",27,1995,16.1,8,1,1,29,16,0,11,19,25,0,1,0,80,26,18,59.1
Unai Núñez,ESP,DF,25,1997,35.0,8,0,0,25,31,1,3,72,35,0,0,1,205,70,53,56.9
Williot Swedberg,SWE,MF,18,2004,0.6,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,
Óscar Mingueza,ESP,DF,23,1999,14.3,2,0,0,19,8,1,29,12,21,0,2,0,90,8,8,50.0
Óscar Rodríguez Arnaiz,ESP,MF,24,1998,19.7,6,0,0,22,26,2,83,24,25,0,1,0,115,11,20,35.5
