General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Agustín Marchesín,ARG,GK,34,1988,19,1710,90,50.0,19.0,19,90,19,0,,0,1.05,18,29,-11,-0.58,-0.63,21.2,19.7,1.6,0.08,0.31
Augusto Solari,ARG,MF,30,1992,12,262,22,7.7,2.9,3,48,0,9,13,19,1.92,5,3,2,0.69,1.03,3.3,2.3,1.0,0.36,0.47
Barcia,ESP,DF,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Carles Pérez,ESP,"MF,FW",24,1998,35,2144,61,62.7,23.8,23,77,8,12,30,1,1.14,26,26,0,0.0,0.71,25.3,28.2,-2.9,-0.12,-0.13
Carlos Dominguez,ESP,DF,21,2001,3,108,36,3.2,1.2,1,90,1,2,9,35,3.0,2,1,1,0.83,1.13,0.8,1.3,-0.5,-0.38,-0.31
Christian Joel,CUB,GK,23,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,
Coke Carrillo,ESP,GK,20,2002,0,,,,,0,,0,0,,17,,,,,,,,,,,
Diego Alves,BRA,GK,37,1985,0,,,,,0,,0,0,,6,,,,,,,,,,,
Fernando Medrano,ESP,DF,22,2000,1,13,13,0.4,0.1,0,,0,1,13,8,0.0,0,0,0,0.0,0.26,0.1,0.0,0.0,0.18,0.25
Fran Beltrán,ESP,MF,23,1999,36,2855,79,83.5,31.7,33,84,22,3,28,0,1.17,35,44,-9,-0.28,-0.12,37.3,35.8,1.5,0.05,0.73
Francisco Lopez,ESP,FW,20,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
Franco Cervi,ARG,"MF,DF",28,1994,36,1894,53,55.4,21.0,21,76,6,15,21,1,1.11,19,37,-18,-0.86,-1.33,23.9,26.1,-2.3,-0.11,-0.07
Gabriel Veiga,ESP,MF,20,2002,36,2294,64,67.1,25.5,28,74,3,8,26,0,1.17,29,30,-1,-0.04,0.68,28.6,28.5,0.1,0.0,0.24
Gonçalo Paciência,POR,"FW,MF",27,1994,25,662,26,19.4,7.4,5,61,0,20,18,9,0.92,7,7,0,0.0,0.33,10.0,8.6,1.4,0.19,0.33
Haris Seferović,SUI,FW,30,1992,18,887,49,25.9,9.9,10,67,0,8,28,1,1.11,14,11,3,0.3,0.77,11.4,15.5,-4.1,-0.41,-0.46
Hugo Mallo,ESP,DF,31,1991,26,2163,83,63.2,24.0,26,83,17,0,,7,1.12,27,34,-7,-0.29,-0.08,28.5,28.0,0.5,0.02,0.26
Hugo Sotelo,ESP,MF,18,2003,1,17,17,0.5,0.2,0,,0,1,17,7,3.0,0,0,0,0.0,0.26,0.2,0.0,0.1,0.72,0.8
Hugo Álvarez,ESP,DF,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Iago Aspas,ESP,FW,34,1987,37,2868,78,83.9,31.9,31,89,27,6,20,0,1.16,36,46,-10,-0.31,-0.31,37.7,37.4,0.3,0.01,0.52
Iván Villar,ESP,GK,25,1997,19,1710,90,50.0,19.0,19,90,19,0,,19,1.21,25,24,1,0.05,0.63,21.4,25.8,-4.4,-0.23,-0.31
Javi Galán,ESP,DF,27,1994,37,3160,85,92.4,35.1,36,87,32,1,15,0,1.16,42,49,-7,-0.2,0.84,40.0,41.3,-1.2,-0.03,0.52
Javier Dominguez,ESP,DF,21,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Joseph Aidoo,GHA,DF,26,1995,35,3119,89,91.2,34.7,35,89,33,0,,0,1.14,40,48,-8,-0.23,0.37,40.1,40.6,-0.5,-0.02,0.66
Jørgen Strand Larsen,NOR,FW,22,2000,32,1705,53,49.9,18.9,20,66,3,12,32,2,1.09,25,32,-7,-0.37,-0.21,21.8,20.4,1.4,0.07,0.29
Kevin Vázquez,ESP,"DF,MF",29,1993,10,441,44,12.9,4.9,6,66,2,4,11,28,1.4,4,8,-4,-0.82,-0.64,5.4,7.0,-1.6,-0.32,-0.28
Luca de la Torre,USA,MF,24,1998,28,1481,53,43.3,16.5,16,72,2,12,27,6,1.32,22,17,5,0.3,1.0,18.1,19.4,-1.3,-0.08,-0.01
Martín Conde,ESP,DF,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Miguel Baeza,ESP,MF,22,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Miguel Rodríguez,ESP,"MF,FW",19,2003,7,252,36,7.4,2.8,3,53,0,4,23,13,0.71,5,4,1,0.36,0.67,1.8,3.6,-1.8,-0.64,-0.61
Pablo Durán,ESP,"MF,DF",21,2001,4,36,9,1.1,0.4,0,,0,4,9,6,0.5,0,1,-1,-2.5,-2.26,0.5,0.7,-0.2,-0.55,-0.48
Renato Tapia,PER,"MF,DF",27,1995,28,1451,52,42.4,16.1,16,75,6,12,21,5,1.14,10,28,-18,-1.12,-1.48,15.5,21.4,-5.9,-0.36,-0.5
Ruly,ESP,GK,22,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Unai Núñez,ESP,DF,25,1997,36,3151,88,92.1,35.0,35,90,35,1,1,1,1.19,41,48,-7,-0.2,0.8,37.8,41.9,-4.1,-0.12,-0.55
Williot Swedberg,SWE,MF,18,2004,4,55,14,1.6,0.6,0,,0,4,14,34,0.25,0,0,0,0.0,0.27,0.7,0.2,0.5,0.83,0.92
Óscar Mingueza,ESP,DF,23,1999,21,1284,61,37.5,14.3,13,84,8,8,24,6,1.14,15,20,-5,-0.35,-0.14,17.2,16.0,1.2,0.08,0.25
Óscar Rodríguez Arnaiz,ESP,MF,24,1998,33,1775,54,51.9,19.7,19,78,10,14,20,3,1.18,25,31,-6,-0.3,-0.09,19.8,25.3,-5.5,-0.28,-0.42
