General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Agustín Marchesín,ARG,GK,34,1988,19.0,449,635,70.7,12898,9202,81,81,100.0,206,212,97.2,161,337,47.8,0,0.0,0.0,0.0,0,6,0,0,1
Augusto Solari,ARG,MF,30,1992,2.9,94,125,75.2,1364,362,53,60,88.3,33,40,82.5,5,13,38.5,1,0.2,0.3,0.8,4,9,2,0,12
Carles Pérez,ESP,"MF,FW",24,1998,23.8,564,689,81.9,8850,1735,291,330,88.2,218,259,84.2,36,61,59.0,5,2.0,1.7,3.0,23,33,19,3,66
Carlos Dominguez,ESP,DF,21,2001,1.2,28,34,82.4,465,222,14,16,87.5,12,12,100.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,2
Fernando Medrano,ESP,DF,22,2000,0.1,3,3,100.0,53,39,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Fran Beltrán,ESP,MF,23,1999,31.7,1604,1816,88.3,28935,6589,658,716,91.9,743,808,92.0,164,221,74.2,2,1.7,2.5,0.3,24,136,12,4,138
Franco Cervi,ARG,"MF,DF",28,1994,21.0,620,874,70.9,9395,3007,348,410,84.9,207,272,76.1,44,109,40.4,4,2.7,2.9,1.3,27,49,26,9,69
Gabriel Veiga,ESP,MF,20,2002,25.5,552,742,74.4,8847,2937,285,354,80.5,200,261,76.6,47,73,64.4,4,2.6,2.9,1.4,28,79,22,2,109
Gonçalo Paciência,POR,"FW,MF",27,1994,7.4,98,168,58.3,1609,391,55,85,64.7,31,48,64.6,10,20,50.0,0,0.6,0.5,-0.6,6,10,5,2,11
Haris Seferović,SUI,FW,30,1992,9.9,134,218,61.5,1847,367,74,107,69.2,40,66,60.6,7,19,36.8,1,0.5,0.6,0.5,6,11,4,0,17
Hugo Mallo,ESP,DF,31,1991,24.0,1094,1427,76.7,18160,7399,521,578,90.1,467,588,79.4,78,173,45.1,1,2.6,2.6,-1.6,20,89,23,11,93
Hugo Sotelo,ESP,MF,18,2003,0.2,20,23,87.0,265,86,11,12,91.7,9,9,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2
Iago Aspas,ESP,FW,34,1987,31.9,936,1227,76.3,14650,3382,517,625,82.7,275,353,77.9,91,131,69.5,3,5.6,5.4,-2.6,83,90,47,2,162
Iván Villar,ESP,GK,25,1997,19.0,414,599,69.1,11814,8420,65,67,97.0,227,233,97.4,122,292,41.8,0,0.0,0.0,0.0,1,6,0,0,1
Javi Galán,ESP,DF,27,1994,35.1,1577,2039,77.3,26915,8515,750,845,88.8,655,791,82.8,143,293,48.8,3,4.1,4.2,-1.1,52,76,56,28,125
Joseph Aidoo,GHA,DF,26,1995,34.7,1525,1766,86.4,31337,9650,383,439,87.2,974,1050,92.8,163,244,66.8,0,0.1,0.3,-0.1,2,83,4,0,95
Jørgen Strand Larsen,NOR,FW,22,2000,18.9,232,339,68.4,3020,423,139,192,72.4,53,80,66.3,12,19,63.2,4,2.0,1.1,2.0,12,14,3,1,14
Kevin Vázquez,ESP,"DF,MF",29,1993,4.9,173,234,73.9,2631,1149,101,115,87.8,57,80,71.3,10,23,43.5,0,0.1,0.2,-0.1,2,16,4,2,13
Luca de la Torre,USA,MF,24,1998,16.5,510,613,83.2,7305,1296,304,327,93.0,167,191,87.4,21,39,53.8,2,1.3,1.3,0.7,13,51,7,2,62
Miguel Rodríguez,ESP,"MF,FW",19,2003,2.8,60,91,65.9,966,245,32,43,74.4,21,28,75.0,6,14,42.9,1,0.1,0.5,0.9,1,4,5,3,6
Pablo Durán,ESP,"MF,DF",21,2001,0.4,14,21,66.7,201,13,10,14,71.4,3,4,75.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0
Renato Tapia,PER,"MF,DF",27,1995,16.1,687,811,84.7,13506,3634,256,283,90.5,321,352,91.2,99,153,64.7,0,1.1,0.8,-1.1,9,63,7,1,68
Unai Núñez,ESP,DF,25,1997,35.0,1744,2023,86.2,35775,12950,501,553,90.6,1032,1124,91.8,203,316,64.2,0,0.1,0.4,-0.1,5,131,2,1,146
Williot Swedberg,SWE,MF,18,2004,0.6,14,17,82.4,176,50,8,10,80.0,4,5,80.0,0,0,,0,0.0,0.1,0.0,0,1,2,0,4
Óscar Mingueza,ESP,DF,23,1999,14.3,721,908,79.4,12216,4925,370,408,90.7,285,338,84.3,58,126,46.0,0,1.4,1.3,-1.4,11,70,13,4,69
Óscar Rodríguez Arnaiz,ESP,MF,24,1998,19.7,833,1057,78.8,13804,4087,431,477,90.4,294,363,81.0,82,159,51.6,0,2.2,2.1,-2.2,24,113,11,2,118
