General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Agustín Marchesín,ARG,GK,34,1988,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Augusto Solari,ARG,MF,30,1992,2.9,0,2,0,0.0,0.69,0.0,0.0,,14.4,0,0,0,0.3,0.3,0.14,-0.3,-0.3
Carles Pérez,ESP,"MF,FW",24,1998,23.8,3,54,20,37.0,2.27,0.84,0.06,0.15,21.8,0,0,0,2.7,2.7,0.05,0.3,0.3
Carlos Dominguez,ESP,DF,21,2001,1.2,0,1,1,100.0,0.83,0.83,0.0,0.0,21.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Fernando Medrano,ESP,DF,22,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Fran Beltrán,ESP,MF,23,1999,31.7,0,24,2,8.3,0.76,0.06,0.0,0.0,27.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9
Franco Cervi,ARG,"MF,DF",28,1994,21.0,0,23,6,26.1,1.09,0.29,0.0,0.0,19.4,0,0,0,2.3,2.3,0.1,-2.3,-2.3
Gabriel Veiga,ESP,MF,20,2002,25.5,11,62,29,46.8,2.43,1.14,0.18,0.38,19.8,0,0,0,6.1,6.1,0.1,4.9,4.9
Gonçalo Paciência,POR,"FW,MF",27,1994,7.4,2,30,10,33.3,4.08,1.36,0.07,0.2,17.2,1,0,0,1.9,1.9,0.06,0.1,0.1
Haris Seferović,SUI,FW,30,1992,9.9,3,13,7,53.8,1.32,0.71,0.23,0.43,11.0,0,0,0,1.8,1.8,0.14,1.2,1.2
Hugo Mallo,ESP,DF,31,1991,24.0,0,19,7,36.8,0.79,0.29,0.0,0.0,13.0,0,0,0,1.4,1.4,0.07,-1.4,-1.4
Hugo Sotelo,ESP,MF,18,2003,0.2,0,1,0,0.0,5.29,0.0,0.0,,20.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Iago Aspas,ESP,FW,34,1987,31.9,12,75,29,38.7,2.35,0.91,0.13,0.34,19.5,7,2,3,11.0,8.7,0.12,1.0,1.3
Iván Villar,ESP,GK,25,1997,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Javi Galán,ESP,DF,27,1994,35.1,0,13,1,7.7,0.37,0.03,0.0,0.0,22.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Joseph Aidoo,GHA,DF,26,1995,34.7,3,14,3,21.4,0.4,0.09,0.21,1.0,13.2,0,0,0,1.0,1.0,0.07,2.0,2.0
Jørgen Strand Larsen,NOR,FW,22,2000,18.9,4,41,15,36.6,2.16,0.79,0.1,0.27,12.6,0,0,0,5.6,5.6,0.14,-1.6,-1.6
Kevin Vázquez,ESP,"DF,MF",29,1993,4.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Luca de la Torre,USA,MF,24,1998,16.5,0,17,3,17.6,1.03,0.18,0.0,0.0,19.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Miguel Rodríguez,ESP,"MF,FW",19,2003,2.8,1,3,2,66.7,1.07,0.71,0.33,0.5,18.8,0,0,0,0.2,0.2,0.07,0.8,0.8
Pablo Durán,ESP,"MF,DF",21,2001,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Renato Tapia,PER,"MF,DF",27,1995,16.1,0,15,3,20.0,0.93,0.19,0.0,0.0,19.3,1,0,0,1.0,1.0,0.06,-1.0,-1.0
Unai Núñez,ESP,DF,25,1997,35.0,0,15,5,33.3,0.43,0.14,0.0,0.0,14.4,0,0,0,1.2,1.2,0.08,-1.2,-1.2
Williot Swedberg,SWE,MF,18,2004,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Óscar Mingueza,ESP,DF,23,1999,14.3,0,5,0,0.0,0.35,0.0,0.0,,12.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Óscar Rodríguez Arnaiz,ESP,MF,24,1998,19.7,2,43,17,39.5,2.18,0.86,0.05,0.12,24.6,10,0,0,3.6,3.6,0.08,-1.6,-1.6
