General,General,General,General,General,General,Sca,Sca,Sca types,Sca types,Sca types,Sca types,Sca types,Sca types,Gca,Gca,Gca types,Gca types,Gca types,Gca types,Gca types,Gca types
Player,Nation,Pos,Age,Born,90s,Sca,Sca90,Passlive,Passdead,To,Sh,Fld,Def,Gca,Gca90,Passlive,Passdead,To,Sh,Fld,Def
Ashley Young,ENG,DF,37,1985,22.6,40,1.77,34,3,2,1,0,0,2,0.09,2,0,0,0,0,0
Bertrand Traoré,BFA,"FW,MF",26,1995,2.6,4,1.55,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Boubacar Kamara,FRA,MF,22,1999,19.7,23,1.17,19,0,1,0,3,0,4,0.2,2,0,1,0,1,0
Calum Chambers,ENG,"DF,MF",27,1995,3.9,6,1.53,5,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Cameron Archer,ENG,"FW,MF",21,2001,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Danny Ings,ENG,FW,30,1992,9.2,16,1.75,12,0,2,2,0,0,1,0.11,0,0,1,0,0,0
Diego Carlos,BRA,DF,29,1993,2.3,3,1.32,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Douglas Luiz,BRA,MF,24,1998,32.5,96,2.95,61,26,4,1,1,3,12,0.37,9,1,0,0,0,2
Emi Buendía,ARG,"MF,FW",25,1996,26.8,90,3.36,72,2,8,3,4,1,10,0.37,7,0,1,2,0,0
Emiliano Martínez,ARG,GK,29,1992,34.9,5,0.14,3,2,0,0,0,0,0,0.0,0,0,0,0,0,0
Ezri Konsa,ENG,DF,24,1997,36.9,15,0.41,13,0,0,1,1,0,2,0.05,2,0,0,0,0,0
Jacob Ramsey,ENG,"MF,FW",21,2001,29.3,81,2.76,69,0,4,2,5,1,11,0.38,8,0,1,1,1,0
Jan Bednarek,POL,DF,26,1996,1.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Jhon Durán,COL,"FW,MF",18,2003,1.5,5,3.31,3,0,0,1,0,1,0,0.0,0,0,0,0,0,0
John McGinn,SCO,"MF,FW",27,1994,29.9,80,2.67,56,10,5,3,5,1,10,0.33,7,1,0,0,2,0
Leander Dendoncker,BEL,MF,27,1995,7.7,8,1.03,6,0,0,1,0,1,0,0.0,0,0,0,0,0,0
Leon Bailey,JAM,"FW,MF",24,1997,21.9,62,2.84,40,2,10,7,3,0,8,0.37,5,0,0,3,0,0
Lucas Digne,FRA,DF,29,1993,16.7,29,1.74,24,4,0,0,1,0,0,0.0,0,0,0,0,0,0
Ludwig Augustinsson,SWE,DF,28,1994,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Matty Cash,POL,DF,24,1997,20.2,28,1.38,25,0,1,0,1,1,3,0.15,2,0,0,0,0,1
Morgan Sanson,FRA,MF,27,1994,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Ollie Watkins,ENG,FW,26,1995,34.7,79,2.27,51,0,6,11,11,0,14,0.4,6,0,2,5,1,0
Philippe Coutinho,BRA,"MF,FW",30,1992,8.8,24,2.74,19,1,3,1,0,0,0,0.0,0,0,0,0,0,0
Robin Olsen,SWE,GK,32,1990,3.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Tyrone Mings,ENG,DF,29,1993,35.0,23,0.66,17,0,0,2,4,0,4,0.11,2,0,0,1,1,0
Álex Moreno,ESP,DF,29,1993,14.8,34,2.3,31,0,2,1,0,0,3,0.2,3,0,0,0,0,0
