General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adam Marušić,MNE,DF,29,1992,30.7,41,30,23,14,4,25,39,64.1,14,20,6,14,38,79,63,1
Alessio Romagnoli,ITA,DF,27,1995,32.5,33,15,19,14,0,11,22,50.0,11,33,26,7,38,71,108,0
Ciro Immobile,ITA,FW,32,1990,24.7,11,5,4,4,3,6,9,66.7,3,10,2,8,1,12,14,0
Danilo Cataldi,ITA,MF,27,1994,21.3,25,16,7,15,3,14,40,35.0,26,23,9,14,24,49,33,0
Elseid Hysaj,ALB,DF,28,1994,22.2,39,23,24,11,4,23,41,56.1,18,31,7,24,20,59,42,0
Felipe Anderson,BRA,FW,29,1993,32.9,80,50,31,41,8,31,88,35.2,57,58,6,52,31,111,27,0
Ivan Provedel,ITA,GK,28,1994,37.9,1,0,1,0,0,0,0,,0,0,0,0,0,1,15,1
Luca Pellegrini,ITA,DF,23,1999,2.0,1,0,0,1,0,1,4,25.0,3,3,0,3,7,8,4,0
Luis Alberto,ESP,MF,29,1992,27.1,49,29,18,20,11,23,72,31.9,49,35,6,29,9,58,4,0
Luka Romero,ARG,FW,17,2004,1.7,0,0,0,0,0,0,3,0.0,3,4,0,4,3,3,1,0
Luís Maximiano,POR,GK,23,1999,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Manuel Lazzari,ITA,DF,28,1993,20.9,33,21,13,14,6,21,36,58.3,15,20,6,14,18,51,36,1
Marco Bertini,ITA,MF,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Marcos Antônio,BRA,MF,22,2000,6.6,9,6,4,5,0,9,20,45.0,11,7,2,5,11,20,18,0
Mario Gila,ESP,DF,21,2000,1.0,3,1,3,0,0,0,1,0.0,1,0,0,0,3,6,3,0
Matteo Cancellieri,ITA,FW,20,2002,2.8,10,4,5,3,2,5,9,55.6,4,4,0,4,1,11,2,0
Mattia Zaccagni,ITA,FW,27,1995,30.8,42,28,16,18,8,14,38,36.8,24,37,3,34,21,63,10,1
Matías Vecino,URU,MF,30,1991,18.8,47,27,13,23,11,23,48,47.9,25,33,10,23,16,63,39,1
Nicolò Casale,ITA,DF,24,1998,27.1,42,20,28,14,0,22,34,64.7,12,25,17,8,17,59,73,1
Patric,ESP,DF,29,1993,15.7,17,11,12,3,2,11,16,68.8,5,17,12,5,11,28,53,1
Pedro,ESP,FW,35,1987,21.1,35,24,14,10,11,11,30,36.7,19,18,2,16,6,41,4,1
Sergej Milinković-Savić,SRB,MF,27,1995,33.6,58,35,22,23,13,24,67,35.8,43,50,12,38,28,86,49,0
Toma Bašić,CRO,MF,25,1996,5.7,6,4,4,1,1,3,8,37.5,5,9,0,9,7,13,8,0
Ștefan Radu,ROU,FW,35,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
