General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adam Marušić,MNE,DF,29,1992,30.7,1829,1573,253,28,0,8,17,225,0,0,0,0,1564,3,18
Alessio Romagnoli,ITA,DF,27,1995,32.5,1849,1688,161,91,1,13,0,2,0,0,0,0,1673,0,6
Ciro Immobile,ITA,FW,32,1990,24.7,629,605,19,0,5,2,5,8,0,0,0,0,472,5,25
Danilo Cataldi,ITA,MF,27,1994,21.3,1325,1245,76,40,3,5,44,3,33,6,20,0,1147,4,14
Elseid Hysaj,ALB,DF,28,1994,22.2,1399,1208,190,23,2,5,16,167,0,0,0,0,1186,1,27
Felipe Anderson,BRA,FW,29,1993,32.9,1410,1370,34,2,4,8,50,21,3,1,2,0,1093,6,41
Ivan Provedel,ITA,GK,28,1994,37.9,1323,1037,282,84,0,9,0,0,0,0,0,0,1061,4,0
Luca Pellegrini,ITA,DF,23,1999,2.0,168,142,26,1,0,3,15,25,0,0,0,0,137,0,4
Luis Alberto,ESP,MF,29,1992,27.1,1988,1732,246,81,14,7,147,7,117,55,49,0,1640,10,30
Luka Romero,ARG,FW,17,2004,1.7,80,78,2,0,0,0,0,2,0,0,0,0,70,0,1
Luís Maximiano,POR,GK,23,1999,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Manuel Lazzari,ITA,DF,28,1993,20.9,1183,987,194,17,0,2,36,177,0,0,0,0,1033,2,25
Marco Bertini,ITA,MF,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Antônio,BRA,MF,22,2000,6.6,420,418,2,2,1,0,0,0,0,0,0,0,380,0,5
Mario Gila,ESP,DF,21,2000,1.0,61,56,5,3,0,0,0,2,0,0,0,0,56,0,0
Matteo Cancellieri,ITA,FW,20,2002,2.8,87,86,1,0,0,0,7,1,0,0,0,0,61,0,4
Mattia Zaccagni,ITA,FW,27,1995,30.8,1047,1024,21,7,2,7,62,8,6,4,1,0,841,2,35
Matías Vecino,URU,MF,30,1991,18.8,968,962,5,5,2,7,1,0,0,0,0,0,830,1,14
Nicolò Casale,ITA,DF,24,1998,27.1,1616,1535,79,72,2,9,0,3,0,0,0,0,1485,2,8
Patric,ESP,DF,29,1993,15.7,1063,979,82,43,0,18,0,0,0,0,0,0,947,2,1
Pedro,ESP,FW,35,1987,21.1,950,919,26,10,2,10,34,12,3,2,0,0,771,5,18
Sergej Milinković-Savić,SRB,MF,27,1995,33.6,1930,1882,41,25,15,22,29,16,0,0,0,0,1465,7,41
Toma Bašić,CRO,MF,25,1996,5.7,293,273,20,6,2,0,20,0,7,3,4,0,214,0,13
Ștefan Radu,ROU,FW,35,1986,0.0,7,6,1,0,0,0,0,1,0,0,0,0,6,0,0
