General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Adam Marušić,MNE,DF,29,1992,30.7,1564,1829,85.5,23902,9688,866,939,92.2,546,644,84.8,104,164,63.4,2,1.1,1.2,0.9,9,107,7,4,116
Alessio Romagnoli,ITA,DF,27,1995,32.5,1673,1849,90.5,28906,11821,753,789,95.4,717,764,93.8,153,223,68.6,0,0.1,0.4,-0.1,2,91,4,0,62
Ciro Immobile,ITA,FW,32,1990,24.7,472,629,75.0,6048,963,295,356,82.9,120,156,76.9,19,26,73.1,5,1.9,1.6,3.1,26,19,11,0,43
Danilo Cataldi,ITA,MF,27,1994,21.3,1147,1325,86.6,17538,6173,658,708,92.9,354,410,86.3,94,142,66.2,1,1.1,1.5,-0.1,16,99,9,0,83
Elseid Hysaj,ALB,DF,28,1994,22.2,1186,1399,84.8,17630,7029,669,715,93.6,420,487,86.2,60,114,52.6,1,1.1,1.1,-0.1,13,101,15,6,103
Felipe Anderson,BRA,FW,29,1993,32.9,1093,1410,77.5,15203,3384,665,780,85.3,331,416,79.6,49,86,57.0,2,4.8,4.2,-2.8,47,61,47,6,114
Ivan Provedel,ITA,GK,28,1994,37.9,1061,1323,80.2,28575,20681,236,237,99.6,410,421,97.4,408,654,62.4,0,0.0,0.1,0.0,1,21,1,0,0
Luca Pellegrini,ITA,DF,23,1999,2.0,137,168,81.5,2378,735,72,76,94.7,45,57,78.9,19,29,65.5,0,0.2,0.3,-0.2,4,9,8,6,9
Luis Alberto,ESP,MF,29,1992,27.1,1640,1988,82.5,25338,8690,905,986,91.8,560,646,86.7,116,238,48.7,7,7.0,6.3,0.0,66,210,56,1,248
Luka Romero,ARG,FW,17,2004,1.7,70,80,87.5,800,152,56,60,93.3,10,12,83.3,1,2,50.0,0,0.1,0.1,-0.1,2,2,0,0,4
Luís Maximiano,POR,GK,23,1999,0.1,3,4,75.0,98,90,1,1,100.0,0,0,,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0
Manuel Lazzari,ITA,DF,28,1993,20.9,1033,1183,87.3,14314,5026,622,666,93.4,327,376,87.0,38,55,69.1,0,0.7,0.9,-0.7,10,49,13,7,64
Marco Bertini,ITA,MF,19,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Marcos Antônio,BRA,MF,22,2000,6.6,380,420,90.5,5541,1381,225,236,95.3,118,130,90.8,22,30,73.3,1,0.3,0.3,0.7,3,40,2,0,25
Mario Gila,ESP,DF,21,2000,1.0,56,61,91.8,953,330,25,27,92.6,24,26,92.3,6,7,85.7,0,0.0,0.0,0.0,0,1,0,0,6
Matteo Cancellieri,ITA,FW,20,2002,2.8,61,87,70.1,757,98,44,50,88.0,15,25,60.0,0,5,0.0,0,0.4,0.3,-0.4,3,1,1,1,2
Mattia Zaccagni,ITA,FW,27,1995,30.8,841,1047,80.3,10898,2314,563,630,89.4,212,261,81.2,25,57,43.9,6,4.5,3.2,1.5,35,44,27,5,76
Matías Vecino,URU,MF,30,1991,18.8,830,968,85.7,12291,3427,480,526,91.3,281,323,87.0,44,68,64.7,0,0.5,0.5,-0.5,9,86,8,0,88
Nicolò Casale,ITA,DF,24,1998,27.1,1485,1616,91.9,26275,9500,591,633,93.4,701,741,94.6,142,169,84.0,1,0.3,0.6,0.7,4,55,1,0,70
Patric,ESP,DF,29,1993,15.7,947,1063,89.1,19277,6374,317,342,92.7,426,448,95.1,173,235,73.6,0,0.0,0.2,0.0,2,30,2,0,27
Pedro,ESP,FW,35,1987,21.1,771,950,81.2,10609,2051,473,524,90.3,216,280,77.1,37,69,53.6,3,2.6,2.0,0.4,23,36,23,3,52
Sergej Milinković-Savić,SRB,MF,27,1995,33.6,1465,1930,75.9,22950,6133,813,978,83.1,479,600,79.8,117,216,54.2,8,7.1,4.9,0.9,42,138,43,3,166
Toma Bašić,CRO,MF,25,1996,5.7,214,293,73.0,3132,612,101,123,82.1,94,111,84.7,6,28,21.4,0,0.4,0.4,-0.4,8,14,5,2,22
Ștefan Radu,ROU,FW,35,1986,0.0,6,7,85.7,78,21,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
