General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Guglielmo Vicario,ITA,GK,25,1996,30.9,39,4,0,8,1,40.9,0.27,2.9,0.09,138,455,30.3,1106,151,33.5,33.8,170,50.0,42.9,606,34,5.6,22,0.71,11.5
Samir Ujkani,KVX,GK,34,1988,0.1,1,0,0,0,0,0.2,0.25,-0.8,-9.69,0,0,,2,1,0.0,18.5,1,0.0,27.0,1,0,0.0,0,0.0,
Samuele Perisan,ITA,GK,24,1997,7.0,9,0,0,2,0,7.5,0.31,-1.5,-0.22,25,75,33.3,153,39,32.0,32.7,75,34.7,34.3,134,5,3.7,4,0.57,11.6
