General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,49,34,15,23,11,20,66,30.3,46,34,3,31,24,73,31,0
Antonio Gomis,ESP,GK,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Axel Witsel,BEL,"DF,MF",33,1989,25.1,36,22,22,11,3,17,31,54.8,14,20,11,9,23,59,76,0
Carlos Martín,ESP,"FW,MF",20,2002,0.3,2,2,0,2,0,2,3,66.7,1,0,0,0,1,3,0,0
Felipe,BRA,DF,33,1989,2.2,3,2,1,2,0,2,4,50.0,2,2,2,0,0,3,7,0
Geoffrey Kondogbia,CTA,MF,29,1993,11.2,40,23,19,20,1,17,25,68.0,8,9,1,8,26,66,12,1
Ivo Grbić,CRO,GK,26,1996,10.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
Jan Oblak,SVN,GK,29,1993,27.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0
José María Giménez,URU,DF,27,1995,26.9,43,25,28,14,1,24,35,68.6,11,37,17,20,24,67,138,1
João Félix,POR,"FW,MF",22,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0
Koke,ESP,MF,30,1992,28.3,55,38,23,25,7,28,72,38.9,44,35,13,22,20,75,19,0
Marcos Llorente,ESP,"MF,DF",27,1995,18.9,32,15,16,10,6,17,30,56.7,13,26,2,24,17,49,19,0
Mario Hermoso,ESP,DF,27,1995,23.4,22,15,14,6,2,9,30,30.0,21,19,9,10,19,41,85,1
Matheus Cunha,BRA,"FW,MF",23,1999,4.2,4,1,1,3,0,0,3,0.0,3,4,1,3,2,6,3,0
Matt Doherty,IRL,DF,30,1992,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Memphis,NED,FW,28,1994,3.0,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0
Nahuel Molina,ARG,DF,24,1998,31.9,69,43,38,18,13,39,91,42.9,52,38,7,31,18,87,63,1
Pablo Barrios,ESP,MF,19,2003,8.0,19,10,3,10,6,8,15,53.3,7,12,2,10,9,28,6,1
Reinildo Mandava,MOZ,DF,28,1994,20.6,66,43,46,19,1,38,49,77.6,11,27,12,15,30,96,59,0
Rodrigo De Paul,ARG,MF,28,1994,21.4,35,21,11,18,6,18,35,51.4,17,20,3,17,8,43,7,0
Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,42,27,18,18,6,22,37,59.5,15,27,5,22,15,57,29,0
Sergio Reguilón,ESP,DF,25,1996,3.4,7,5,5,2,0,5,7,71.4,2,3,0,3,2,9,4,0
Stefan Savić,MNE,DF,31,1991,21.6,39,26,29,7,3,26,39,66.7,13,17,8,9,33,72,67,2
Thomas Lemar,FRA,MF,26,1995,13.9,30,18,10,13,7,10,28,35.7,18,12,3,9,7,37,12,0
Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,35,14,21,10,4,23,54,42.6,31,23,1,22,12,47,19,0
Álvaro Morata,ESP,FW,29,1992,21.1,16,11,4,8,4,3,8,37.5,5,11,3,8,0,16,23,0
Ángel Correa,ARG,"FW,MF",27,1995,16.2,12,6,6,3,3,5,16,31.3,11,17,0,17,10,22,6,1
