General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,1971,45,247,933,818,153,1970,83,47,56.6,28,33.7,1104,5999,3089,99,66,25,41,35,1445,202
Antonio Gomis,ESP,GK,19,2003,0.1,3,3,3,0,0,0,3,0,0,,0,,1,19,7,0,0,0,0,0,0,0
Axel Witsel,BEL,"DF,MF",33,1989,25.1,1521,168,634,810,82,18,1521,7,6,85.7,1,14.3,949,4096,1965,6,9,0,8,3,1059,11
Carlos Martín,ESP,"FW,MF",20,2002,0.3,14,0,0,9,5,1,14,0,0,,0,,6,20,8,0,0,0,0,0,9,3
Felipe,BRA,DF,33,1989,2.2,149,9,56,90,5,2,149,2,1,50.0,1,50.0,102,581,332,2,0,0,0,0,98,1
Geoffrey Kondogbia,CTA,MF,29,1993,11.2,751,29,196,498,66,8,751,10,5,50.0,2,20.0,413,1449,637,6,7,1,6,10,511,5
Ivo Grbić,CRO,GK,26,1996,10.2,361,330,360,1,0,0,361,0,0,,0,,181,1016,681,0,0,0,0,0,123,0
Jan Oblak,SVN,GK,29,1993,27.7,861,783,857,4,0,0,861,1,1,100.0,0,0.0,416,2241,1218,0,1,1,0,0,345,0
José María Giménez,URU,DF,27,1995,26.9,1623,277,941,643,50,30,1623,10,6,60.0,4,40.0,861,3631,1867,9,5,0,9,1,1041,3
João Félix,POR,"FW,MF",22,1999,7.2,322,3,23,158,142,21,322,24,6,25.0,14,58.3,211,1078,554,17,16,2,20,12,260,42
Koke,ESP,MF,30,1992,28.3,2244,70,542,1337,376,21,2244,22,13,59.1,8,36.4,1246,4448,2069,15,25,0,21,18,1736,37
Marcos Llorente,ESP,"MF,DF",27,1995,18.9,997,35,216,378,415,64,997,27,12,44.4,13,48.1,558,3321,1942,64,45,15,23,11,661,139
Mario Hermoso,ESP,DF,27,1995,23.4,1717,139,717,840,171,21,1717,22,14,63.6,7,31.8,886,3555,1979,23,16,0,20,9,1145,17
Matheus Cunha,BRA,"FW,MF",23,1999,4.2,131,4,17,61,58,22,131,7,6,85.7,1,14.3,74,473,221,6,7,4,9,5,89,19
Matt Doherty,IRL,DF,30,1992,0.2,11,0,6,3,2,0,11,0,0,,0,,6,15,5,0,0,0,0,0,6,1
Memphis,NED,FW,28,1994,3.0,139,0,7,47,86,27,139,11,4,36.4,6,54.5,87,368,181,4,2,4,16,9,122,22
Nahuel Molina,ARG,DF,24,1998,31.9,2229,87,696,833,709,47,2229,51,21,41.2,24,47.1,1080,4854,2929,73,43,9,32,10,1386,249
Pablo Barrios,ESP,MF,19,2003,8.0,554,12,106,314,140,12,554,30,15,50.0,12,40.0,320,1795,690,16,10,3,15,10,405,27
Reinildo Mandava,MOZ,DF,28,1994,20.6,1297,102,501,658,143,15,1297,24,6,25.0,12,50.0,708,3214,1819,28,20,9,20,9,770,41
Rodrigo De Paul,ARG,MF,28,1994,21.4,1598,14,261,923,425,18,1598,32,16,50.0,11,34.4,1026,5240,2897,55,41,3,32,15,1279,68
Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,695,42,182,336,181,31,695,14,12,85.7,2,14.3,301,1438,621,12,10,4,22,6,447,47
Sergio Reguilón,ESP,DF,25,1996,3.4,178,7,44,72,66,10,178,6,3,50.0,1,16.7,101,758,444,16,12,5,5,3,115,30
Stefan Savić,MNE,DF,31,1991,21.6,1317,166,647,636,35,6,1317,5,4,80.0,0,0.0,777,3967,2536,20,5,1,2,3,892,6
Thomas Lemar,FRA,MF,26,1995,13.9,936,17,148,483,316,23,936,44,21,47.7,15,34.1,607,3165,1620,36,36,3,20,19,744,79
Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,1404,32,230,456,745,160,1403,124,60,48.4,51,41.1,822,6278,3577,146,58,71,52,34,922,264
Álvaro Morata,ESP,FW,29,1992,21.1,655,29,68,297,299,105,655,41,20,48.8,16,39.0,387,2142,929,33,19,16,55,24,527,102
Ángel Correa,ARG,"FW,MF",27,1995,16.2,738,11,84,283,379,119,738,59,23,39.0,33,55.9,472,2244,971,44,20,24,58,31,568,142
