General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Achraf Hakimi,MAR,"DF,MF",23,1998,22.8,1538,1422,116,12,1,1,42,101,3,0,0,0,1373,0,35
Alexandre Letellier,FRA,GK,31,1990,0.1,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0
Carlos Soler,ESP,MF,25,1997,13.2,641,619,20,5,3,1,22,5,10,5,3,0,544,2,15
Danilo Pereira,POR,"DF,MF",30,1991,26.8,2068,1989,74,36,1,6,3,21,0,0,0,0,1950,5,8
El Chadaille Bitshiabu,FRA,DF,17,2005,6.5,465,453,12,2,0,1,0,10,0,0,0,0,430,0,1
Fabián Ruiz Peña,ESP,MF,26,1996,21.0,1763,1716,44,25,9,11,13,15,4,0,3,0,1614,3,24
Gianluigi Donnarumma,ITA,GK,23,1999,37.9,935,681,254,47,0,1,0,0,0,0,0,0,811,0,1
Hugo Ekitike,FRA,FW,20,2002,12.8,331,310,20,1,3,1,2,0,0,0,0,0,271,1,6
Ilyes Housni,FRA,FW,17,2005,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Ismaël Gharbi,ESP,"MF,FW",18,2004,0.6,36,33,3,2,0,0,0,0,1,0,0,0,32,0,0
Juan Bernat,ESP,"DF,MF",29,1993,18.3,1049,950,98,10,0,2,16,88,0,0,0,0,969,1,12
Kylian Mbappé,FRA,FW,23,1998,31.3,1355,1291,59,2,8,2,47,13,17,3,0,0,1096,5,27
Leandro Paredes,ARG,MF,28,1994,0.6,70,65,5,5,1,1,0,0,0,0,0,0,68,0,0
Lionel Messi,ARG,"FW,MF",35,1987,31.5,2050,1867,157,38,58,11,91,2,96,33,37,0,1641,26,63
Marco Verratti,ITA,MF,29,1992,24.4,2573,2444,123,99,17,2,7,23,1,0,0,0,2383,6,17
Marquinhos,BRA,DF,28,1994,30.2,2175,2114,57,34,4,7,1,17,0,0,0,0,2068,4,11
Neymar,BRA,"MF,FW",30,1992,17.2,1262,1147,106,33,25,8,54,12,52,26,8,0,1011,9,27
Nordi Mukiele,FRA,DF,24,1997,12.6,674,609,63,9,0,2,16,54,0,0,0,0,585,2,11
Nuno Mendes,POR,DF,20,2002,17.2,932,844,86,12,2,4,30,74,0,0,0,0,793,2,32
Pablo Sarabia,ESP,"FW,MF",30,1992,4.1,187,171,15,2,5,1,16,1,12,5,5,0,147,1,5
Presnel Kimpembe,FRA,DF,26,1995,8.1,503,454,48,13,1,0,0,20,0,0,0,0,471,1,6
Renato Sanches,POR,MF,24,1997,8.0,669,653,14,7,2,3,5,5,2,0,2,0,608,2,10
Sergio Ramos,ESP,DF,36,1986,30.0,2535,2453,80,47,2,38,13,27,0,0,0,0,2394,2,13
Timothee Pembele,FRA,DF,19,2002,2.9,89,69,20,2,0,0,4,18,0,0,0,0,71,0,7
Vitinha,POR,MF,22,2000,27.2,1945,1923,18,9,7,6,13,3,6,2,3,0,1786,4,26
Warren Zaïre-Emery,FRA,"MF,DF",16,2006,10.3,624,589,34,6,0,0,4,28,0,0,0,0,571,1,11
