General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Adam Ounas,ALG,FW,25,1996,2,15,8,0.4,0.2,0,,0,2,8,0,3.0,1,0,1,6.0,4.73,0.3,0.0,0.3,1.51,0.64
Alessandro Zanoli,ITA,DF,21,2000,1,12,12,0.4,0.1,0,,0,1,12,15,3.0,0,0,0,0.0,-1.29,0.1,0.0,0.1,0.7,-0.17
Alessio Zerbin,ITA,FW,23,1999,10,198,20,5.8,2.2,2,62,0,8,9,28,2.5,5,3,2,0.91,-0.4,2.9,3.9,-1.0,-0.48,-1.43
Alex Meret,ITA,GK,25,1997,34,3060,90,89.5,34.0,34,90,34,0,,4,2.44,72,24,48,1.41,1.16,58.9,27.2,31.7,0.93,0.61
Amir Rrahmani,KVX,DF,28,1994,29,2448,84,71.6,27.2,27,89,25,2,23,3,2.31,56,22,34,1.25,-0.14,45.6,22.3,23.3,0.86,-0.04
Andre-Frank Zambo Anguissa,CMR,MF,26,1995,36,3050,85,89.2,33.9,36,85,24,0,,0,2.33,69,26,43,1.27,-0.19,56.4,28.7,27.7,0.82,-0.46
Bartosz Bereszyński,POL,DF,30,1992,3,166,55,4.9,1.8,2,76,1,1,15,18,1.33,3,4,-1,-0.54,-1.93,2.1,3.3,-1.2,-0.64,-1.59
Davide Marfella,ITA,GK,22,1999,0,,,,,0,,0,0,,37,,,,,,,,,,,
Diego Demme,GER,MF,30,1991,7,146,21,4.3,1.6,2,54,0,5,8,24,2.71,1,0,1,0.62,-0.7,1.3,1.0,0.3,0.19,-0.71
Elif Elmas,MKD,"FW,MF",22,1999,36,1627,45,47.6,18.1,14,79,4,22,24,1,2.39,35,10,25,1.38,0.18,29.3,14.5,14.8,0.82,-0.09
Giacomo Raspadori,ITA,"FW,MF",22,2000,25,911,36,26.6,10.1,10,62,1,15,19,7,2.24,17,8,9,0.89,-0.55,16.5,8.7,7.8,0.77,-0.13
Gianluca Gaetano,ITA,MF,22,2000,8,76,10,2.2,0.8,0,,0,8,10,25,2.75,4,0,4,4.74,3.53,2.1,0.5,1.6,2.13,1.29
Giovanni Di Lorenzo,ITA,DF,28,1993,37,3257,88,95.2,36.2,36,90,35,1,29,1,2.41,75,24,51,1.41,2.51,62.7,28.6,34.1,0.94,1.56
Giovanni Simeone,ARG,FW,27,1995,25,406,16,11.9,4.5,1,75,0,24,14,10,2.2,9,7,2,0.44,-0.96,7.4,7.3,0.1,0.03,-0.95
Hirving Lozano,MEX,FW,27,1995,32,1605,50,46.9,17.8,20,67,1,12,22,1,2.41,39,8,31,1.74,0.85,29.3,11.9,17.4,0.98,0.21
Hubert Idasiak,POL,GK,20,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
Juan Jesus,BRA,DF,31,1991,15,933,62,27.3,10.4,10,87,9,5,13,22,2.2,20,8,12,1.16,-0.18,17.6,9.6,8.0,0.77,-0.13
Karim Zedadka,FRA,FW,22,2000,3,20,7,0.6,0.2,0,,0,3,7,28,0.67,0,1,-1,-4.5,-5.82,0.2,1.0,-0.8,-3.41,-4.3
Khvicha Kvaratskhelia,GEO,FW,21,2001,34,2518,74,73.6,28.0,30,79,8,4,38,0,2.29,58,21,37,1.32,0.13,49.9,23.1,26.8,0.96,0.34
Kim Min-jae,KOR,DF,25,1996,35,3050,87,89.2,33.9,35,87,30,0,,2,2.4,70,24,46,1.36,0.63,57.0,27.9,29.1,0.86,-0.08
Leo Skiri Østigård,NOR,DF,22,1999,7,419,60,12.3,4.7,4,90,4,3,20,31,2.71,8,3,5,1.07,-0.25,9.7,3.9,5.8,1.24,0.43
Mathías Olivera,URU,DF,24,1997,30,1643,55,48.0,18.3,17,87,14,13,13,6,2.37,29,11,18,0.99,-0.58,24.8,15.5,9.3,0.51,-0.69
Matteo Politano,ITA,FW,28,1993,27,1166,43,34.1,13.0,14,63,0,13,22,6,2.33,22,12,10,0.77,-0.79,23.8,11.3,12.6,0.97,0.16
Mário Rui,POR,DF,31,1991,22,1749,80,51.1,19.4,21,81,7,1,45,8,2.77,47,16,31,1.6,0.63,39.4,16.1,23.3,1.2,0.68
Pierluigi Gollini,ITA,GK,27,1995,4,360,90,10.5,4.0,4,90,4,0,,15,1.75,5,4,1,0.25,-1.16,5.9,4.6,1.3,0.32,-0.61
Piotr Zieliński,POL,MF,28,1994,37,2287,62,66.9,25.4,27,73,3,10,31,1,2.35,57,21,36,1.42,0.38,46.6,22.8,23.8,0.93,0.2
Salvatore Sirigu,ITA,GK,35,1987,0,,,,,0,,0,0,,15,,,,,,,,,,,
Stanislav Lobotka,SVK,MF,27,1994,38,3101,82,90.7,34.5,34,87,20,4,38,0,2.37,75,27,48,1.39,1.11,60.1,29.1,31.0,0.9,0.34
Tanguy Ndombele,FRA,MF,25,1996,30,807,27,23.6,9.0,8,58,0,22,16,6,2.43,10,7,3,0.33,-1.25,12.2,6.7,5.5,0.62,-0.32
Victor Osimhen,NGA,FW,23,1998,32,2566,80,75.0,28.5,30,83,13,2,32,0,2.34,59,17,42,1.47,0.74,49.0,20.0,29.1,1.02,0.61
