General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aster Vranckx,BEL,MF,19,2002,0.1,2,3,66.7,32,10,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Bartol Franjić,CRO,MF,22,2000,2.5,61,79,77.2,929,258,33,36,91.7,21,27,77.8,4,7,57.1,1,0.1,0.1,0.9,2,6,1,0,4
Dženan Pejčinović,GER,FW,17,2005,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Felix Nmecha,GER,MF,21,2000,20.4,534,706,75.6,9025,2662,249,311,80.1,218,264,82.6,50,82,61.0,5,3.3,1.6,1.7,20,70,11,1,86
Jakub Kamiński,POL,"FW,DF",20,2002,22.9,495,667,74.2,7398,2278,275,335,82.1,169,214,79.0,30,56,53.6,2,3.7,3.9,-1.7,28,30,39,5,78
Jonas Wind,DEN,FW,23,1999,14.3,247,371,66.6,3189,901,166,215,77.2,63,98,64.3,5,10,50.0,0,1.3,2.0,-1.3,14,37,11,0,41
Josip Brekalo,CRO,"MF,FW",24,1998,3.0,103,148,69.6,1684,475,57,65,87.7,31,41,75.6,11,20,55.0,1,0.4,0.4,0.6,5,10,4,0,13
Josuha Guilavogui,FRA,"DF,MF",31,1990,13.1,678,805,84.2,13280,5021,217,253,85.8,380,423,89.8,75,109,68.8,0,0.4,1.0,-0.4,4,63,6,0,64
Jérôme Roussillon,FRA,"MF,DF",29,1993,0.2,3,7,42.9,40,5,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Kevin Paredes,USA,"FW,MF",19,2003,5.9,159,211,75.4,2576,866,82,98,83.7,59,73,80.8,12,27,44.4,3,1.7,1.4,1.3,13,15,16,5,29
Kilian Fischer,GER,"DF,FW",21,2000,5.6,223,273,81.7,3747,1495,109,120,90.8,91,109,83.5,19,31,61.3,0,0.4,0.3,-0.4,5,19,4,4,23
Koen Casteels,BEL,GK,30,1992,34.0,1220,1585,77.0,36421,25230,171,172,99.4,544,552,98.6,503,858,58.6,1,0.7,0.1,0.3,1,40,0,0,2
Luca Waldschmidt,GER,"FW,MF",26,1996,5.8,117,153,76.5,1524,260,73,85,85.9,34,44,77.3,4,11,36.4,0,0.0,0.5,0.0,1,9,2,0,12
Lukas Nmecha,GER,FW,23,1998,10.0,133,201,66.2,1973,348,69,92,75.0,43,62,69.4,10,14,71.4,0,0.5,0.4,-0.5,6,17,5,0,18
Lukáš Ambros,CZE,MF,18,2004,0.2,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Mattias Svanberg,SWE,"MF,FW",23,1999,20.4,394,567,69.5,6388,1971,188,247,76.1,146,191,76.4,38,74,51.4,6,5.0,4.4,1.0,27,34,23,6,74
Max Kruse,GER,"MF,FW",34,1988,3.0,90,121,74.4,1644,240,36,49,73.5,42,48,87.5,9,12,75.0,0,0.1,0.2,-0.1,3,4,3,1,7
Maxence Lacroix,FRA,DF,22,2000,18.1,952,1095,86.9,19895,7749,242,272,89.0,589,628,93.8,115,176,65.3,0,0.1,0.2,-0.1,3,71,0,0,83
Maximilian Arnold,GER,MF,28,1994,30.7,1269,1642,77.3,28055,8726,360,405,88.9,645,741,87.0,247,448,55.1,3,4.9,4.9,-1.9,43,115,19,2,150
Maximilian Philipp,GER,FW,28,1994,1.3,27,42,64.3,427,64,17,19,89.5,7,9,77.8,2,9,22.2,0,0.0,0.1,0.0,1,1,1,0,1
Micky van de Ven,NED,DF,21,2001,33.0,1541,1758,87.7,30569,9937,459,502,91.4,927,982,94.4,145,236,61.4,1,1.4,1.4,-0.4,6,98,5,0,111
Nicolas Cozza,FRA,DF,23,1999,1.1,33,44,75.0,571,190,16,19,84.2,14,15,93.3,3,9,33.3,0,0.0,0.0,0.0,0,3,0,0,4
Omar Marmoush,EGY,FW,23,1999,16.4,299,458,65.3,4423,987,161,233,69.1,99,136,72.8,21,36,58.3,1,1.2,1.4,-0.2,11,29,14,1,51
Patrick Wimmer,AUT,"FW,MF",21,2001,18.3,334,549,60.8,5267,1842,168,234,71.8,122,161,75.8,26,76,34.2,8,5.0,5.6,3.0,37,23,30,8,64
Paulo Otávio,BRA,DF,27,1994,22.7,873,1182,73.9,15683,5876,376,442,85.1,417,526,79.3,72,163,44.2,5,2.7,3.3,2.3,23,69,28,17,98
Ridle Baku,GER,"DF,FW",24,1998,28.7,1216,1551,78.4,22159,7294,486,563,86.3,593,719,82.5,121,202,59.9,3,4.1,5.0,-1.1,28,116,37,14,126
Sebastiaan Bornauw,BEL,DF,23,1999,21.4,1062,1234,86.1,20707,7058,326,367,88.8,647,701,92.3,86,147,58.5,0,0.1,0.3,-0.1,1,67,0,0,85
Yannick Gerhardt,GER,MF,28,1994,20.7,503,674,74.6,8116,2535,269,313,85.9,193,246,78.5,30,63,47.6,4,2.2,2.0,1.8,20,63,13,3,82
