General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aster Vranckx,BEL,MF,19,2002,0.1,4,2,2,1,1,0,4,0,0,,0,,2,5,3,0,0,0,0,0,0,0
Bartol Franjić,CRO,MF,22,2000,2.5,114,8,35,64,17,3,114,2,1,50.0,1,50.0,51,222,88,3,2,0,6,0,62,1
Dženan Pejčinović,GER,FW,17,2005,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Felix Nmecha,GER,MF,21,2000,20.4,967,38,183,536,258,40,967,46,26,56.5,13,28.3,540,2356,1235,23,22,2,41,13,615,54
Jakub Kamiński,POL,"FW,DF",20,2002,22.9,942,21,145,334,470,78,942,66,28,42.4,34,51.5,550,2883,1463,47,30,18,57,32,606,171
Jonas Wind,DEN,FW,23,1999,14.3,536,16,42,267,232,62,535,20,7,35.0,13,65.0,302,941,325,7,13,1,46,18,406,89
Josip Brekalo,CRO,"MF,FW",24,1998,3.0,168,0,21,103,48,3,168,8,5,62.5,2,25.0,106,752,296,9,7,2,3,6,134,17
Josuha Guilavogui,FRA,"DF,MF",31,1990,13.1,949,100,354,542,55,10,949,5,3,60.0,0,0.0,523,2117,1072,4,5,0,8,6,577,6
Jérôme Roussillon,FRA,"MF,DF",29,1993,0.2,11,0,0,4,7,0,11,1,0,0.0,1,100.0,7,21,5,0,0,0,2,2,7,2
Kevin Paredes,USA,"FW,MF",19,2003,5.9,277,9,52,105,122,15,277,15,4,26.7,7,46.7,177,1090,651,24,7,7,9,4,180,40
Kilian Fischer,GER,"DF,FW",21,2000,5.6,327,16,113,137,78,7,327,6,3,50.0,3,50.0,160,726,355,6,5,2,4,1,177,21
Koen Casteels,BEL,GK,30,1992,34.0,1653,1196,1636,17,1,1,1653,0,0,,0,,1030,4948,2681,0,1,1,0,0,884,0
Luca Waldschmidt,GER,"FW,MF",26,1996,5.8,202,4,28,110,64,15,201,2,1,50.0,1,50.0,106,449,191,5,1,0,12,3,146,26
Lukas Nmecha,GER,FW,23,1998,10.0,317,6,19,131,169,34,317,26,10,38.5,8,30.8,189,1050,304,15,7,5,38,11,251,70
Lukáš Ambros,CZE,MF,18,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0
Mattias Svanberg,SWE,"MF,FW",23,1999,20.4,811,29,137,393,300,59,811,45,17,37.8,22,48.9,431,2119,1024,29,21,8,48,19,483,85
Max Kruse,GER,"MF,FW",34,1988,3.0,144,2,11,62,72,18,144,4,2,50.0,2,50.0,68,317,146,4,3,1,4,3,105,30
Maxence Lacroix,FRA,DF,22,2000,18.1,1298,160,690,586,29,9,1298,8,7,87.5,1,12.5,777,3937,2250,15,9,0,10,6,833,4
Maximilian Arnold,GER,MF,28,1994,30.7,1927,113,470,1108,364,11,1922,17,8,47.1,5,29.4,974,4616,2330,29,25,1,18,22,1064,19
Maximilian Philipp,GER,FW,28,1994,1.3,51,0,3,19,29,4,51,2,0,0.0,2,100.0,31,113,31,3,0,2,1,1,34,6
Micky van de Ven,NED,DF,21,2001,33.0,2043,188,981,935,141,21,2043,32,19,59.4,8,25.0,1232,6625,3777,43,34,5,13,11,1330,23
Nicolas Cozza,FRA,DF,23,1999,1.1,53,2,26,26,3,0,53,1,0,0.0,0,0.0,36,246,85,2,0,0,1,2,35,2
Omar Marmoush,EGY,FW,23,1999,16.4,744,10,79,290,392,91,744,99,38,38.4,52,52.5,473,2737,1076,36,31,22,75,42,562,160
Patrick Wimmer,AUT,"FW,MF",21,2001,18.3,820,16,100,310,425,67,820,66,26,39.4,33,50.0,446,2681,1205,42,17,13,50,30,480,133
Paulo Otávio,BRA,DF,27,1994,22.7,1507,83,508,676,338,29,1507,47,22,46.8,19,40.4,744,3969,2264,41,24,2,28,7,808,84
Ridle Baku,GER,"DF,FW",24,1998,28.7,1889,80,521,880,498,45,1889,61,23,37.7,27,44.3,1052,4917,2381,50,23,8,59,20,1155,157
Sebastiaan Bornauw,BEL,DF,23,1999,21.4,1433,170,693,695,54,16,1433,4,2,50.0,2,50.0,871,3766,2030,6,3,0,5,3,948,6
Yannick Gerhardt,GER,MF,28,1994,20.7,856,34,161,445,254,55,856,16,4,25.0,11,68.8,468,2089,842,12,11,3,22,10,557,88
