NED-Eredivisie
2223
Heerenveen
Alex Timossi Andersson
SWE
"FW,MF"
21
2001
12
1
260
2.9
0
0
0
0
0
0
0
0
0.6
0.6
0.7
1.3
2
5
14
0.0
0.0
0.0
0.0
0.0
0.21
0.23
0.44
0.21
0.44
