General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Arnaut Danjuma,NED,"FW,MF",25,1997,1.9,56,56,0,0,0,0,2,0,0,0,0,0,39,0,4
Ben Davies,WAL,DF,29,1993,25.4,1281,1190,87,27,1,8,35,60,0,0,0,0,1040,4,22
Bryan Gil,ESP,"MF,FW",21,2001,1.6,60,57,3,1,0,0,2,1,0,0,0,0,47,0,3
Clément Lenglet,FRA,DF,27,1995,22.4,1465,1431,29,22,5,20,16,6,0,0,0,0,1270,5,11
Cristian Romero,ARG,DF,24,1998,26.3,1606,1523,80,60,4,20,0,19,0,0,0,0,1407,3,24
Davinson Sánchez,COL,DF,26,1996,9.5,594,583,10,7,0,1,2,3,0,0,0,0,515,1,10
Dejan Kulusevski,SWE,"MF,FW",22,2000,23.0,746,684,61,1,5,3,62,7,23,6,3,0,582,1,26
Djed Spence,ENG,"FW,DF",21,2000,0.1,9,9,0,0,0,0,0,0,0,0,0,0,5,0,2
Emerson,BRA,DF,23,1999,19.3,1060,884,170,23,2,6,46,146,1,0,0,0,848,6,37
Eric Dier,ENG,DF,28,1994,31.3,2001,1929,68,58,2,17,11,8,0,0,0,0,1708,4,15
Fraser Forster,ENG,GK,34,1988,13.5,363,241,121,28,0,0,0,0,0,0,0,0,266,1,1
George Abbott,ENG,MF,16,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Harry Kane,ENG,FW,29,1993,37.8,921,853,60,14,20,18,37,25,0,0,0,0,642,8,39
Harvey White,ENG,MF,20,2001,0.1,8,6,2,0,1,0,3,0,2,2,0,0,3,0,0
Hugo Lloris,FRA,GK,35,1986,24.5,728,513,212,26,0,0,0,0,0,0,0,0,561,3,1
Ivan Perišić,CRO,"DF,MF",33,1989,23.4,1121,895,221,16,0,13,196,138,67,57,6,0,713,5,43
Japhet Tanganga,ENG,DF,23,1999,1.6,92,91,1,1,0,0,1,0,0,0,0,0,82,0,0
Lucas Moura,BRA,"MF,DF",29,1992,1.7,89,83,6,0,1,0,9,5,1,0,0,0,62,0,6
Matt Doherty,IRL,"DF,MF",30,1992,7.4,408,345,61,2,0,1,18,59,0,0,0,0,329,2,8
Matthew Craig,SCO,MF,19,2003,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Oliver Skipp,ENG,MF,21,2000,16.6,772,755,12,7,1,4,10,0,0,0,0,0,660,5,14
Pape Matar Sarr,SEN,"MF,FW",19,2002,2.4,154,150,4,2,0,1,0,0,0,0,0,0,141,0,0
Pedro Porro,ESP,"DF,MF",22,1999,12.6,648,525,121,6,7,4,77,91,24,12,12,0,465,2,29
Pierre Højbjerg,DEN,MF,26,1995,34.8,2292,2206,81,56,10,39,15,16,1,0,0,0,2021,5,28
Richarlison,BRA,"MF,FW",25,1997,11.2,279,270,9,0,4,1,16,0,0,0,0,0,196,0,13
Rodrigo Bentancur,URU,MF,25,1997,16.7,880,852,25,11,3,3,16,4,1,0,0,0,738,3,19
Ryan Sessegnon,ENG,DF,22,2000,9.0,390,318,72,2,2,1,30,70,0,0,0,0,280,0,19
Son Heung-min,KOR,"MF,FW",30,1992,32.1,909,780,123,23,5,0,113,5,83,36,30,0,680,6,28
Yves Bissouma,MLI,MF,25,1996,11.2,733,714,16,11,1,5,2,1,0,0,0,0,666,3,12
