General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Fraser Forster,ENG,GK,34,1988,13.5,24,2,1,4,0,21.3,0.34,-2.7,-0.2,36,124,29.0,269,71,29.0,30.2,93,49.5,37.6,193,5,2.6,16,1.19,15.2
Hugo Lloris,FRA,GK,35,1986,24.5,39,1,0,3,1,33.9,0.29,-4.1,-0.17,77,218,35.3,539,109,31.7,31.4,186,25.3,25.8,322,20,6.2,29,1.18,13.7
