NED-Eredivisie
2223
Cambuur
Alex Bangura
SLE
DF
23
1999
29
28
2449
27.2
1
3
4
1
0
0
5
1
0.5
0.5
4.0
4.5
91
82
115
0.04
0.11
0.15
0.04
0.15
0.02
0.15
0.16
0.02
0.16
