General,General,General,General,General,General,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Player,Nation,Pos,Age,Born,90s,Gls,Sh,Sot,Sot%,Sh/90,Sot/90,G/sh,G/sot,Dist,Fk,Pk,Pkatt,Xg,Npxg,Npxg/sh,G-xg,Np:g-xg
Abdoul Kader Bamba,FRA,"FW,MF",28,1994,0.9,0,1,1,100.0,1.15,1.15,0.0,0.0,19.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Alban Lafont,FRA,GK,23,1999,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrei Girotto,BRA,"DF,MF",30,1992,35.0,1,27,6,22.2,0.77,0.17,0.04,0.17,17.2,2,0,0,1.7,1.7,0.06,-0.7,-0.7
Andy Delort,ALG,FW,30,1991,5.2,0,18,10,55.6,3.45,1.92,0.0,0.0,16.1,2,0,0,2.5,2.5,0.14,-2.5,-2.5
Charles Traore,MLI,DF,30,1992,5.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Dennis Appiah,FRA,"DF,MF",30,1992,8.8,0,5,1,20.0,0.57,0.11,0.0,0.0,19.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Evann Guessand,CIV,"FW,MF",21,2001,14.0,3,22,12,54.5,1.57,0.86,0.14,0.25,12.1,0,0,0,2.6,2.6,0.12,0.4,0.4
Fabien Centonze,FRA,DF,26,1996,18.8,0,14,0,0.0,0.75,0.0,0.0,,23.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Florent Mollet,FRA,MF,30,1991,12.1,1,22,9,40.9,1.82,0.74,0.05,0.11,23.2,5,0,0,1.2,1.2,0.06,-0.2,-0.2
Fábio,BRA,"DF,MF",32,1990,2.5,0,3,2,66.7,1.21,0.8,0.0,0.0,13.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Ignatius Ganago,CMR,"FW,MF",23,1999,16.9,5,33,14,42.4,1.95,0.83,0.15,0.36,13.0,0,0,0,3.7,3.7,0.11,1.3,1.3
Jaouen Hadjam,ALG,DF,19,2003,8.9,0,6,3,50.0,0.67,0.34,0.0,0.0,30.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Jean-Charles Castelletto,CMR,DF,27,1995,28.5,0,9,3,33.3,0.32,0.11,0.0,0.0,13.4,0,0,0,0.7,0.7,0.08,-0.7,-0.7
João Victor,BRA,DF,24,1998,9.4,0,2,0,0.0,0.21,0.0,0.0,,15.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Lohann Doucet,FRA,"MF,FW",19,2002,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,16.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Ludovic Blas,FRA,"MF,FW",24,1997,31.3,7,95,32,33.7,3.04,1.02,0.05,0.16,21.5,4,2,4,9.3,6.4,0.07,-2.3,-1.4
Marcus Coco,FRA,"FW,MF",26,1996,7.1,1,7,1,14.3,0.98,0.14,0.14,1.0,13.6,0,0,0,1.1,1.1,0.16,-0.1,-0.1
Mohamed Achi,FRA,FW,20,2002,0.4,0,1,0,0.0,2.5,0.0,0.0,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Moses Simon,NGA,"FW,MF",27,1995,26.1,5,32,9,28.1,1.23,0.35,0.13,0.44,18.3,1,1,1,4.6,3.6,0.11,0.4,0.4
Mostafa Mohamed,EGY,FW,24,1997,21.5,8,58,24,41.4,2.69,1.11,0.14,0.33,14.2,0,0,0,7.3,7.3,0.13,0.7,0.7
Moussa Sissoko,FRA,MF,32,1989,21.3,2,17,4,23.5,0.8,0.19,0.12,0.5,16.3,0,0,0,2.4,2.4,0.14,-0.4,-0.4
Nathan Zeze,FRA,DF,17,2005,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolas Pallois,FRA,DF,34,1987,24.6,1,9,3,33.3,0.37,0.12,0.11,0.33,12.9,0,0,0,1.2,1.2,0.13,-0.2,-0.2
Pedro Chirivella,ESP,MF,25,1997,22.5,0,16,5,31.3,0.71,0.22,0.0,0.0,22.2,0,0,0,0.8,0.8,0.05,-0.8,-0.8
Quentin Merlin,FRA,DF,20,2002,19.9,1,15,4,26.7,0.75,0.2,0.07,0.25,22.8,1,0,0,0.8,0.8,0.05,0.2,0.2
Rémy Descamps,FRA,GK,26,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Samuel Moutoussamy,COD,MF,25,1996,26.7,0,22,5,22.7,0.83,0.19,0.0,0.0,16.8,0,0,0,1.7,1.7,0.08,-1.7,-1.7
Stredair Appuah,FRA,"DF,MF",18,2004,0.7,0,3,0,0.0,4.09,0.0,0.0,,26.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Sébastien Corchia,FRA,DF,31,1990,8.7,0,5,2,40.0,0.57,0.23,0.0,0.0,27.4,1,0,0,0.2,0.2,0.03,-0.2,-0.2
