General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Abdoul Kader Bamba,FRA,"FW,MF",28,1994,0.9,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,1,0
Alban Lafont,FRA,GK,23,1999,37.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,20,4
Andrei Girotto,BRA,"DF,MF",30,1992,35.0,122,73,71,45,6,74,132,56.1,58,55,24,31,73,195,176,1
Andy Delort,ALG,FW,30,1991,5.2,5,4,1,2,2,2,6,33.3,4,3,0,3,0,5,2,0
Charles Traore,MLI,DF,30,1992,5.4,8,5,5,2,1,5,7,71.4,2,9,2,7,10,18,12,0
Dennis Appiah,FRA,"DF,MF",30,1992,8.8,21,11,14,7,0,10,27,37.0,17,13,5,8,10,31,16,0
Evann Guessand,CIV,"FW,MF",21,2001,14.0,24,16,8,13,3,6,12,50.0,6,17,1,16,9,33,6,0
Fabien Centonze,FRA,DF,26,1996,18.8,58,37,30,22,6,30,42,71.4,12,24,7,17,44,102,55,1
Florent Mollet,FRA,MF,30,1991,12.1,14,6,5,4,5,7,24,29.2,17,12,1,11,10,24,11,0
Fábio,BRA,"DF,MF",32,1990,2.5,4,2,1,2,1,4,6,66.7,2,2,0,2,3,7,11,0
Ignatius Ganago,CMR,"FW,MF",23,1999,16.9,9,7,2,3,4,4,7,57.1,3,13,1,12,2,11,12,0
Jaouen Hadjam,ALG,DF,19,2003,8.9,27,21,13,9,5,16,25,64.0,9,10,3,7,12,39,12,0
Jean-Charles Castelletto,CMR,DF,27,1995,28.5,43,26,29,12,2,22,36,61.1,14,35,22,13,58,101,90,0
João Victor,BRA,DF,24,1998,9.4,19,11,9,7,3,12,22,54.5,10,11,1,10,15,34,30,0
Lohann Doucet,FRA,"MF,FW",19,2002,1.0,3,0,2,0,1,3,4,75.0,1,2,0,2,2,5,4,0
Ludovic Blas,FRA,"MF,FW",24,1997,31.3,47,30,17,19,11,17,49,34.7,32,26,1,25,19,66,8,0
Marcus Coco,FRA,"FW,MF",26,1996,7.1,24,15,11,9,4,11,23,47.8,12,13,3,10,14,38,7,0
Mohamed Achi,FRA,FW,20,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Moses Simon,NGA,"FW,MF",27,1995,26.1,18,9,6,7,5,7,15,46.7,8,14,1,13,11,29,3,0
Mostafa Mohamed,EGY,FW,24,1997,21.5,18,13,5,7,6,9,20,45.0,11,23,1,22,10,28,33,0
Moussa Sissoko,FRA,MF,32,1989,21.3,26,16,16,7,3,12,18,66.7,6,22,5,17,16,42,17,0
Nathan Zeze,FRA,DF,17,2005,0.7,3,2,2,1,0,1,1,100.0,0,0,0,0,0,3,1,0
Nicolas Pallois,FRA,DF,34,1987,24.6,69,44,51,16,2,42,70,60.0,28,35,18,17,30,99,131,2
Pedro Chirivella,ESP,MF,25,1997,22.5,33,22,12,15,6,17,44,38.6,27,24,1,23,20,53,7,0
Quentin Merlin,FRA,DF,20,2002,19.9,31,19,19,8,4,18,38,47.4,20,27,4,23,24,55,30,0
Rémy Descamps,FRA,GK,26,1996,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Samuel Moutoussamy,COD,MF,25,1996,26.7,64,34,27,28,9,26,76,34.2,50,23,2,21,24,88,15,0
Stredair Appuah,FRA,"DF,MF",18,2004,0.7,2,1,0,2,0,0,0,,0,2,0,2,1,3,0,0
Sébastien Corchia,FRA,DF,31,1990,8.7,16,6,10,2,4,11,22,50.0,11,9,3,6,14,30,21,0
