General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Abdoul Kader Bamba,FRA,"FW,MF",28,1994,0.9,54,0,8,23,23,2,54,1,0,0.0,0,0.0,42,236,79,1,1,1,1,4,40,12
Alban Lafont,FRA,GK,23,1999,37.0,1312,1112,1309,4,0,0,1312,3,1,33.3,2,66.7,864,4528,2496,1,0,0,2,0,547,0
Andrei Girotto,BRA,"DF,MF",30,1992,35.0,2260,303,982,1157,131,31,2260,10,3,30.0,6,60.0,1474,7367,3598,14,13,0,11,6,1341,7
Andy Delort,ALG,FW,30,1991,5.2,193,2,10,78,105,32,193,9,6,66.7,2,22.2,125,532,138,2,2,1,14,8,131,44
Charles Traore,MLI,DF,30,1992,5.4,288,30,123,129,38,2,288,2,0,0.0,0,0.0,159,729,332,2,3,0,3,0,134,8
Dennis Appiah,FRA,"DF,MF",30,1992,8.8,554,37,158,292,113,4,554,18,6,33.3,10,55.6,372,2193,1173,15,13,0,12,10,339,51
Evann Guessand,CIV,"FW,MF",21,2001,14.0,510,10,73,233,219,48,510,77,37,48.1,33,42.9,381,3091,1313,46,24,8,49,31,354,97
Fabien Centonze,FRA,DF,26,1996,18.8,1217,87,331,564,332,13,1217,66,38,57.6,22,33.3,757,4676,2055,42,39,5,25,11,671,125
Florent Mollet,FRA,MF,30,1991,12.1,690,14,100,345,251,20,690,27,10,37.0,13,48.1,484,2836,1151,25,11,2,19,13,449,67
Fábio,BRA,"DF,MF",32,1990,2.5,149,10,32,64,53,4,149,4,1,25.0,3,75.0,87,409,191,4,6,0,4,1,80,18
Ignatius Ganago,CMR,"FW,MF",23,1999,16.9,507,13,53,227,237,80,507,30,10,33.3,18,60.0,342,2040,670,27,9,10,40,19,359,101
Jaouen Hadjam,ALG,DF,19,2003,8.9,593,30,161,303,141,13,593,44,29,65.9,12,27.3,380,2697,1302,22,20,6,15,14,329,39
Jean-Charles Castelletto,CMR,DF,27,1995,28.5,1650,164,691,876,89,24,1650,18,11,61.1,5,27.8,1112,5790,3067,19,22,0,20,7,959,20
João Victor,BRA,DF,24,1998,9.4,539,41,188,281,80,6,539,11,6,54.5,3,27.3,338,2231,1227,17,22,1,10,8,293,14
Lohann Doucet,FRA,"MF,FW",19,2002,1.0,92,5,20,59,14,1,92,2,1,50.0,1,50.0,63,355,201,2,3,0,0,0,54,1
Ludovic Blas,FRA,"MF,FW",24,1997,31.3,1627,10,154,785,723,103,1623,172,82,47.7,74,43.0,1235,8989,3850,122,69,39,90,76,1128,248
Marcus Coco,FRA,"FW,MF",26,1996,7.1,347,13,74,152,131,22,347,15,7,46.7,8,53.3,232,1445,733,23,9,4,17,11,210,56
Mohamed Achi,FRA,FW,20,2002,0.4,25,0,4,11,10,0,25,1,0,0.0,1,100.0,21,134,75,2,2,0,0,1,19,1
Moses Simon,NGA,"FW,MF",27,1995,26.1,967,5,103,321,567,104,966,95,34,35.8,50,52.6,729,6355,3150,138,61,43,49,36,669,218
Mostafa Mohamed,EGY,FW,24,1997,21.5,607,37,64,259,288,107,607,39,21,53.8,15,38.5,355,1972,552,13,13,11,53,23,408,109
Moussa Sissoko,FRA,MF,32,1989,21.3,963,32,189,562,240,25,963,36,15,41.7,19,52.8,700,4357,2141,33,30,4,29,18,618,70
Nathan Zeze,FRA,DF,17,2005,0.7,30,1,15,15,0,0,30,0,0,,0,,20,103,49,0,0,0,0,0,18,0
Nicolas Pallois,FRA,DF,34,1987,24.6,1475,182,688,771,35,14,1475,9,7,77.8,2,22.2,1005,5025,2486,8,8,1,18,9,847,3
Pedro Chirivella,ESP,MF,25,1997,22.5,1494,22,225,1071,206,10,1494,15,8,53.3,6,40.0,1196,5875,2375,15,18,1,5,6,1103,22
Quentin Merlin,FRA,DF,20,2002,19.9,1356,54,326,664,387,16,1356,39,22,56.4,14,35.9,886,5051,2457,43,40,7,25,10,793,96
Rémy Descamps,FRA,GK,26,1996,1.0,28,26,28,0,0,0,28,0,0,,0,,18,149,124,0,0,0,0,0,5,0
Samuel Moutoussamy,COD,MF,25,1996,26.7,1459,43,275,950,254,33,1459,29,16,55.2,11,37.9,1079,5649,2735,41,29,4,24,19,967,45
Stredair Appuah,FRA,"DF,MF",18,2004,0.7,43,0,4,21,20,2,43,5,4,80.0,1,20.0,27,361,197,7,6,2,4,2,26,10
Sébastien Corchia,FRA,DF,31,1990,8.7,468,27,116,200,162,10,468,11,3,27.3,2,18.2,288,1550,639,21,10,4,14,7,251,65
