General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Abdoul Kader Bamba,FRA,"FW,MF",28,1994,0.9,36,44,81.8,485,148,16,20,80.0,15,17,88.2,0,1,0.0,0,0.0,0.0,0.0,1,2,0,0,3
Alban Lafont,FRA,GK,23,1999,37.0,835,1191,70.1,25417,19277,118,119,99.2,386,395,97.7,329,672,49.0,0,0.1,0.1,-0.1,1,16,1,0,1
Andrei Girotto,BRA,"DF,MF",30,1992,35.0,1445,1750,82.6,29344,9608,475,538,88.3,700,795,88.1,231,351,65.8,1,1.9,1.1,-0.9,13,129,6,3,140
Andy Delort,ALG,FW,30,1991,5.2,73,138,52.9,1159,281,42,75,56.0,20,35,57.1,8,20,40.0,0,0.7,0.6,-0.7,9,7,5,3,9
Charles Traore,MLI,DF,30,1992,5.4,181,239,75.7,3371,1427,68,81,84.0,84,107,78.5,21,38,55.3,0,0.5,0.4,-0.5,2,18,4,2,11
Dennis Appiah,FRA,"DF,MF",30,1992,8.8,339,468,72.4,5590,2196,152,191,79.6,154,204,75.5,22,53,41.5,0,0.2,0.3,-0.2,4,30,7,4,39
Evann Guessand,CIV,"FW,MF",21,2001,14.0,196,308,63.6,2835,906,111,155,71.6,64,102,62.7,11,28,39.3,2,1.3,1.0,0.7,13,18,13,2,37
Fabien Centonze,FRA,DF,26,1996,18.8,715,945,75.7,11285,4732,364,437,83.3,275,352,78.1,47,97,48.5,0,0.9,0.9,-0.9,12,59,21,12,102
Florent Mollet,FRA,MF,30,1991,12.1,444,565,78.6,7342,2315,201,225,89.3,178,210,84.8,43,90,47.8,2,2.8,2.2,-0.8,23,41,11,4,73
Fábio,BRA,"DF,MF",32,1990,2.5,87,117,74.4,1376,431,47,57,82.5,34,44,77.3,4,11,36.4,0,0.6,0.7,-0.6,4,5,5,1,11
Ignatius Ganago,CMR,"FW,MF",23,1999,16.9,212,349,60.7,2964,597,127,180,70.6,55,94,58.5,13,30,43.3,3,1.7,1.6,1.3,10,16,4,0,20
Jaouen Hadjam,ALG,DF,19,2003,8.9,378,477,79.2,6006,1961,190,213,89.2,153,194,78.9,23,44,52.3,1,0.3,0.4,0.7,7,30,11,5,45
Jean-Charles Castelletto,CMR,DF,27,1995,28.5,1130,1373,82.3,21032,8232,417,484,86.2,567,638,88.9,113,199,56.8,0,0.4,1.1,-0.4,5,103,9,4,120
João Victor,BRA,DF,24,1998,9.4,347,436,79.6,6390,1715,133,160,83.1,168,198,84.8,39,64,60.9,1,0.6,0.4,0.4,4,19,5,3,40
Lohann Doucet,FRA,"MF,FW",19,2002,1.0,67,79,84.8,1244,307,24,30,80.0,34,35,97.1,7,11,63.6,0,0.2,0.0,-0.2,1,3,1,0,9
Ludovic Blas,FRA,"MF,FW",24,1997,31.3,933,1186,78.7,17210,3890,392,449,87.3,393,464,84.7,117,209,56.0,5,5.8,4.8,-0.8,47,87,27,8,147
Marcus Coco,FRA,"FW,MF",26,1996,7.1,175,244,71.7,2841,897,97,124,78.2,48,67,71.6,20,35,57.1,0,1.1,0.7,-1.1,10,15,8,5,26
Mohamed Achi,FRA,FW,20,2002,0.4,18,21,85.7,274,76,7,7,100.0,10,12,83.3,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,3
Moses Simon,NGA,"FW,MF",27,1995,26.1,463,725,63.9,7630,2088,232,296,78.4,173,264,65.5,41,104,39.4,4,3.5,4.0,0.5,43,34,31,18,62
Mostafa Mohamed,EGY,FW,24,1997,21.5,215,351,61.3,3003,648,116,183,63.4,65,95,68.4,15,24,62.5,2,1.7,1.1,0.3,15,17,5,1,22
Moussa Sissoko,FRA,MF,32,1989,21.3,628,787,79.8,10251,3230,292,356,82.0,257,299,86.0,45,71,63.4,0,0.9,1.0,-0.9,17,80,10,6,105
Nathan Zeze,FRA,DF,17,2005,0.7,18,26,69.2,325,104,4,5,80.0,12,17,70.6,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Nicolas Pallois,FRA,DF,34,1987,24.6,977,1171,83.4,20669,7510,281,313,89.8,522,577,90.5,163,256,63.7,0,0.4,1.2,-0.4,4,88,8,2,86
Pedro Chirivella,ESP,MF,25,1997,22.5,1163,1360,85.5,21412,6260,493,528,93.4,465,522,89.1,159,239,66.5,1,1.7,0.8,-0.7,24,182,12,1,172
Quentin Merlin,FRA,DF,20,2002,19.9,857,1169,73.3,16268,5919,345,409,84.4,382,495,77.2,111,221,50.2,2,3.3,3.3,-1.3,34,73,23,13,94
Rémy Descamps,FRA,GK,26,1996,1.0,22,26,84.6,684,521,2,2,100.0,10,10,100.0,9,13,69.2,0,0.0,0.0,0.0,0,1,0,0,0
Samuel Moutoussamy,COD,MF,25,1996,26.7,1053,1226,85.9,17981,5126,457,509,89.8,456,506,90.1,94,130,72.3,2,1.0,1.6,1.0,18,124,13,1,156
Stredair Appuah,FRA,"DF,MF",18,2004,0.7,19,27,70.4,262,52,11,12,91.7,5,7,71.4,1,3,33.3,0,0.2,0.1,-0.2,3,0,1,0,3
Sébastien Corchia,FRA,DF,31,1990,8.7,257,371,69.3,4354,1895,120,150,80.0,103,151,68.2,23,45,51.1,1,0.3,0.4,0.7,5,18,7,5,29
